source,ticket_id,opened_date,closed_date,unit,summary,status_at_source,authoritative_note
service_desk,INC-2026-0311,2026-03-14,2026-04-08,Pool A,Temperature sensor drift detected during routine calibration,closed,"Superseded by INC-2026-0714. Sensor replaced in April 2026 and pool re-cleared."
service_desk,INC-2026-0714,2026-04-22,2026-05-12,Pool A,Post-calibration verification and biomed sign-off,closed,"Pool A cleared for immersion and delivery use. Board mirrors this closure."
service_desk,INC-2026-0982,2026-08-22,,Pool B,Seal replacement awaiting parts,awaiting_parts,"Superseded by biomed lead's October 27 board refresh recording seal replacement as completed. Ticket lagging by two weeks per usual pattern. Process gap in RR-EQ-002."
service_desk,INC-2026-1104,2026-10-14,,Peripheral kit,Doppler and thermometer routine calibration verification,in_progress,"Board records THERM-B recalibrated September 21 2026 with inline biomed note. Service desk record has not been updated. Board wins for calibration status (CR-005)."
service_desk,INC-2026-1188,2026-10-30,,TROLLEY-02,Replacement tablet cradle ordered from Nordic supplier,ordered,"Lead time 14 to 21 calendar days. Expected in service by November 20 2026. Confirm delivery on November 15 2026 per open questions queue."
service_desk,INC-2026-1224,2026-11-04,,Pool B,Biomed sign-off scheduling for completed seal replacement,scheduled,"Sign-off scheduled November 24 2026. Aligned with department board POOL-B-STATUS."
department_board,POOL-A-STATUS,2026-05-14,,Pool A,Green status confirmed and refreshed by biomed lead,green,"Latest refresh October 3 2026. Authoritative for Pool A readiness."
department_board,POOL-B-STATUS,2026-08-22,,Pool B,Seal replacement in progress,in_progress,"Board initial entry when replacement started."
department_board,POOL-B-STATUS,2026-10-27,,Pool B,Seal replacement completed awaiting sign-off,completed_awaiting_signoff,"Refreshed by biomed lead October 27 2026. Authoritative for Pool B status. Supersedes INC-2026-0982 awaiting_parts entry (CR-004)."
department_board,POOL-B-FILLTIME,2026-09-15,,Pool B,Fill-time measurement 26 minutes within tolerance,within_tolerance,"Biomed measurement supersedes the 22-minute figure in commissioning document GL-BIOMED-2023-04 (CR-007)."
department_board,KIT-STATUS,2026-10-18,,Peripheral kit,Dopplers and thermometers calibrated and operational,green,"Includes inline biomed note on THERM-B recalibration September 21 2026 (CR-005)."
department_board,KIT-STATUS,2026-10-30,,TROLLEY-02,Replacement tablet cradle ordered from Nordic supplier,ordered,"Mirrors INC-2026-1188. Expected in service by November 20 2026."
