id,type,status,title,space_key,parent_id,version,body,created_by,created_at
20001,page,current,Weekly status,WINDB,,2,"<h1>Weekly status</h1><p>Status notes for Windbridge Partners, week of 2025-12-15.</p><ul><li>Wins</li><li>Risks</li><li>Asks</li></ul>",brian,2025-12-11T10:33:14+00:00
20002,page,current,Quarterly plan,OPS,,3,"<h1>Quarterly plan</h1><p>Status notes for Windbridge Partners, week of 2025-12-15.</p><ul><li>Wins</li><li>Risks</li><li>Asks</li></ul>",brian,2025-12-07T04:18:24+00:00
20003,page,current,Project kickoff notes,ENG,,4,"<h1>Project kickoff notes</h1><p>Status notes for Windbridge Partners, week of 2025-12-15.</p><ul><li>Wins</li><li>Risks</li><li>Asks</li></ul>",brian,2025-12-07T08:33:18+00:00
20004,page,current,Postmortem draft,WINDB,,5,"<h1>Postmortem draft</h1><p>Status notes for Windbridge Partners, week of 2025-12-12.</p><ul><li>Wins</li><li>Risks</li><li>Asks</li></ul>",brian,2025-12-10T09:28:04+00:00
20005,page,current,Onboarding checklist,OPS,,2,"<h1>Onboarding checklist</h1><p>Status notes for Windbridge Partners, week of 2025-12-12.</p><ul><li>Wins</li><li>Risks</li><li>Asks</li></ul>",brian,2025-12-01T17:03:17+00:00
20006,page,current,Vendor evaluation,ENG,,3,"<h1>Vendor evaluation</h1><p>Status notes for Windbridge Partners, week of 2025-12-10.</p><ul><li>Wins</li><li>Risks</li><li>Asks</li></ul>",brian,2025-11-18T03:46:22+00:00
20007,page,current,Budget worksheet,WINDB,,4,"<h1>Budget worksheet</h1><p>Status notes for Windbridge Partners, week of 2025-12-10.</p><ul><li>Wins</li><li>Risks</li><li>Asks</li></ul>",brian,2025-11-24T09:01:09+00:00
20008,page,current,Roadmap one-pager,OPS,,5,"<h1>Roadmap one-pager</h1><p>Status notes for Windbridge Partners, week of 2025-12-12.</p><ul><li>Wins</li><li>Risks</li><li>Asks</li></ul>",brian,2025-11-17T22:13:20+00:00
20100,page,current,"Incident Postmortem 1",OPS,,4,"Documentation page covering incident postmortem 1 for the Windbridge Partners internal knowledge base.",uea1b2c3,2026-09-14T14:09:00Z
20101,page,current,"Roadmap Q4 2",OPS,,3,"Documentation page covering roadmap q4 2 for the Windbridge Partners internal knowledge base.",uea4d5e6,2026-03-24T18:24:00Z
20102,page,current,"Backup Procedures 3",OPS,,3,"Documentation page covering backup procedures 3 for the Windbridge Partners internal knowledge base.",uea1b2c3,2026-05-16T17:52:00Z
20103,page,current,"Architecture Overview 4",OPS,,1,"Documentation page covering architecture overview 4 for the Windbridge Partners internal knowledge base.",uea7f8a9,2026-06-24T16:20:00Z
20104,page,current,"Architecture Overview 5",WINDB,,6,"Documentation page covering architecture overview 5 for the Windbridge Partners internal knowledge base.",uea1b2c3,2026-09-16T15:29:00Z
20105,page,current,"Sprint Retrospective Notes 6",OPS,,7,"Documentation page covering sprint retrospective notes 6 for the Windbridge Partners internal knowledge base.",uea4d5e6,2026-06-05T14:27:00Z
20106,page,current,"API Reference 7",OPS,,8,"Documentation page covering api reference 7 for the Windbridge Partners internal knowledge base.",uea4d5e6,2026-05-15T12:52:00Z
20107,page,current,"Meeting Minutes 8",OPS,,5,"Documentation page covering meeting minutes 8 for the Windbridge Partners internal knowledge base.",uea4d5e6,2026-05-18T14:39:00Z
