id,number,repo,title,body,state,user,assignee,labels,milestone,created_at,updated_at,closed_at,is_pull_request
6000001,147,exhibits,hotfix: AudioPlaybackBuffer retry on Station 3 oral history clip,Patch the Station 3 PWA audio decoder so that an AudioPlaybackBuffer underrun event triggers a one shot retry on the underlying media element rather than letting the playback head stall. Pairs with the museum side Jira ticket CME-156. Awaiting museum review before merge. Do not let this land without an eyes on pass from the museum web lead. Sentry shows the underrun cluster between the 3:47 and 4:12 timestamps on the Ruthie clip; the retry brings the recovery to under one second in local repro.,open,digitization-vendor-bot,jennifer-clark,hotfix;kiosk;audio;needs-review,Opening Week,2026-10-02T04:42:00Z,2026-10-02T04:55:00Z,,true
6000002,101,exhibits,feat: lock the oral history station entry schema,feat: lock the oral history station entry schema. Standard exhibits monorepo change.,closed,cyrus-holt,cyrus-holt,feature,Opening Week,2026-09-07T15:00:00Z,2026-09-09T18:30:00Z,2026-09-09T18:30:00Z,true
6000003,108,exhibits,feat: kiosk heartbeat monitor for the fleet,feat: kiosk heartbeat monitor for the fleet. Standard exhibits monorepo change.,closed,digitization-vendor-bot,cyrus-holt,feature,Opening Week,2026-09-11T11:00:00Z,2026-09-12T17:00:00Z,2026-09-12T17:00:00Z,true
6000004,115,exhibits,fix: service worker cache invalidation missed one slug,fix: service worker cache invalidation missed one slug. Standard exhibits monorepo change.,closed,digitization-vendor-bot,cyrus-holt,bug,Opening Week,2026-09-15T09:30:00Z,2026-09-16T18:00:00Z,2026-09-16T18:00:00Z,true
6000005,122,exhibits,feat: donor wall scroll inertia tuning,feat: donor wall scroll inertia tuning. Standard exhibits monorepo change.,closed,cyrus-holt,cyrus-holt,feature,Opening Week,2026-09-19T14:00:00Z,2026-09-21T16:00:00Z,2026-09-21T16:00:00Z,true
6000006,129,exhibits,fix: retry on transient cdn.contentful.com timeouts,fix: retry on transient cdn.contentful.com timeouts. Standard exhibits monorepo change.,closed,digitization-vendor-bot,cyrus-holt,bug,Opening Week,2026-09-23T12:00:00Z,2026-09-25T11:30:00Z,2026-09-25T11:30:00Z,true
6000007,135,exhibits,feat: caption sweep for stations 1 to 4,feat: caption sweep for stations 1 to 4. Standard exhibits monorepo change.,closed,bea-donelson,bea-donelson,feature,Opening Week,2026-09-22T13:00:00Z,2026-09-25T15:00:00Z,2026-09-25T15:00:00Z,true
6000008,139,exhibits,fix: touch zone debounce on multi touch surfaces,fix: touch zone debounce on multi touch surfaces. Standard exhibits monorepo change.,closed,digitization-vendor-bot,cyrus-holt,bug,Opening Week,2026-09-25T14:30:00Z,2026-09-27T10:00:00Z,2026-09-27T10:00:00Z,true
6000009,142,exhibits,feat: press preview readout queue,feat: press preview readout queue. Standard exhibits monorepo change.,closed,angela-bates,angela-bates,feature,Opening Week,2026-09-26T10:00:00Z,2026-09-28T13:00:00Z,2026-09-28T13:00:00Z,true
6000010,144,exhibits,feat: confluence runbook page generator,feat: confluence runbook page generator. Standard exhibits monorepo change.,closed,angela-bates,angela-bates,feature,Opening Week,2026-09-28T16:00:00Z,2026-09-30T17:00:00Z,2026-09-30T17:00:00Z,true
6000011,145,exhibits,fix: graceful reload on WebGLContextLost for Station 5,fix: graceful reload on WebGLContextLost for Station 5. See the corresponding Jira ticket.,open,digitization-vendor-bot,cyrus-holt,needs-review,Opening Week,2026-09-30T16:15:00Z,2026-10-01T22:00:00Z,,true
6000012,146,exhibits,wip: placeholder content stub for Station 8 oral history entry,wip: placeholder content stub for Station 8 oral history entry. See the corresponding Jira ticket.,open,cyrus-holt,angela-bates,wip,Opening Week,2026-10-01T18:30:00Z,2026-10-01T22:30:00Z,,true
6000013,148,exhibits,fix: PWA shell update failure on Station 2 cold start,fix: PWA shell update failure on Station 2 cold start. See the corresponding Jira ticket.,open,digitization-vendor-bot,cyrus-holt,needs-review,Opening Week,2026-10-01T16:00:00Z,2026-10-01T22:30:00Z,,true
6000014,149,exhibits,feat: caption sweep for stations 5 to 7,feat: caption sweep for stations 5 to 7. See the corresponding Jira ticket.,open,bea-donelson,bea-donelson,needs-review,Opening Week,2026-09-30T13:00:00Z,2026-10-01T22:00:00Z,,true
6000015,150,exhibits,fix: donor wall search latency regression on staging,fix: donor wall search latency regression on staging. See the corresponding Jira ticket.,open,cyrus-holt,cyrus-holt,wip,Opening Week,2026-10-01T11:00:00Z,2026-10-01T22:30:00Z,,true
6000016,151,exhibits,Station 8 content load returns 404,Tracking issue mirroring Jira CME-187. Slug requested by the kiosk is the canonical content slug; entry appears to not exist on the headless side.,open,cyrus-holt,cyrus-holt,bug;blocker;kiosk,Opening Week,2026-10-01T19:30:00Z,2026-10-01T22:45:00Z,,false
6000017,152,exhibits,Tune Sentry alert thresholds for opening week,Bring the alert thresholds in line with expected opening week traffic so we are not paged for every kiosk twitch.,open,digitization-vendor-bot,cyrus-holt,ops,Opening Week,2026-09-29T13:30:00Z,2026-10-01T19:00:00Z,,false
6000018,153,exhibits,Headless preview pass for stations 1 through 7,Walk every station preview through the headless renderer before press preview.,closed,cyrus-holt,cyrus-holt,qa,Opening Week,2026-09-28T15:00:00Z,2026-10-01T11:30:00Z,2026-10-01T11:30:00Z,false
6000019,154,exhibits,Volunteer name badge print run,Volunteer name badge print run scheduled for opening week.,open,helena-park,helena-park,logistics,Opening Week,2026-10-01T18:00:00Z,2026-10-01T22:00:00Z,,false
6000020,155,exhibits,Press kit final layout pass,Final layout pass on the press kit with Angela.,open,angela-bates,angela-bates,press,Opening Week,2026-09-29T17:00:00Z,2026-10-01T22:30:00Z,,false
6000021,62,kiosk-pwa,feat: tighter heartbeat emit cadence for the fleet,feat: tighter heartbeat emit cadence for the fleet. Kiosk PWA shell change.,closed,digitization-vendor-bot,cyrus-holt,feature,Opening Week,2026-09-12T11:00:00Z,2026-09-13T17:00:00Z,2026-09-13T17:00:00Z,true
6000022,63,kiosk-pwa,fix: cold start was loading the wrong manifest path,fix: cold start was loading the wrong manifest path. Kiosk PWA shell change.,closed,digitization-vendor-bot,cyrus-holt,bug,Opening Week,2026-09-05T14:00:00Z,2026-09-08T17:00:00Z,2026-09-08T17:00:00Z,true
6000023,64,kiosk-pwa,feat: surface AudioPlaybackBuffer events to Sentry with kiosk id,feat: surface AudioPlaybackBuffer events to Sentry with kiosk id. Kiosk PWA shell change.,open,digitization-vendor-bot,cyrus-holt,feature,Opening Week,2026-09-26T13:00:00Z,2026-10-01T21:30:00Z,,true
6000024,65,kiosk-pwa,fix: PWA manifest field corrected for Station 2 install banner,fix: PWA manifest field corrected for Station 2 install banner. Kiosk PWA shell change.,open,digitization-vendor-bot,cyrus-holt,bug,Opening Week,2026-09-29T15:30:00Z,2026-10-01T22:30:00Z,,true
6000025,66,kiosk-pwa,KioskHeartbeatMissed events clustered on the evening pull window,Heartbeat misses cluster between 8 and 10 PM CT during the evening content pull. Needs investigation.,open,digitization-vendor-bot,cyrus-holt,bug;ops,Opening Week,2026-09-29T20:00:00Z,2026-10-01T22:00:00Z,,false
6000026,67,kiosk-pwa,Add Station 8 to the kiosk fleet config,"Once the Station 8 content entry exists, add the station id to the fleet config.",open,cyrus-holt,cyrus-holt,task,Opening Week,2026-10-01T09:00:00Z,2026-10-01T22:00:00Z,,false
6000027,24,labels-cms-bindings,feat: airtable to contentful canonical id sync,feat: airtable to contentful canonical id sync. CMS binding change.,closed,cyrus-holt,cyrus-holt,feature,Opening Week,2026-09-08T11:00:00Z,2026-09-12T16:00:00Z,2026-09-12T16:00:00Z,true
6000028,25,labels-cms-bindings,fix: canonical id validator was missing the oh prefix check,fix: canonical id validator was missing the oh prefix check. CMS binding change.,closed,cyrus-holt,cyrus-holt,bug,Opening Week,2026-09-22T10:00:00Z,2026-09-24T17:00:00Z,2026-09-24T17:00:00Z,true
6000029,26,labels-cms-bindings,feat: label status mirror from Airtable to Contentful state,feat: label status mirror from Airtable to Contentful state. CMS binding change.,open,cyrus-holt,bea-donelson,feature,Opening Week,2026-09-30T14:00:00Z,2026-10-01T22:00:00Z,,true
6000030,27,labels-cms-bindings,Validator should warn when a canonical id is referenced but missing,Right now the validator silently passes when the kiosk requests a canonical slug that is not present on the Contentful side. Should produce a warning at build time.,open,cyrus-holt,cyrus-holt,task;validator,Opening Week,2026-10-01T13:00:00Z,2026-10-01T22:00:00Z,,false
6000031,88,digitization-tools,feat: follow symlinks during reel batch ingest,feat: follow symlinks during reel batch ingest. Vendor open source tool change.,closed,vendor-eng-01,vendor-eng-02,feature,Q3 Tooling,2026-09-22T10:00:00Z,2026-09-25T14:00:00Z,2026-09-25T14:00:00Z,true
6000032,89,digitization-tools,fix: metadata schema roundtrip lost the title field,fix: metadata schema roundtrip lost the title field. Vendor open source tool change.,closed,vendor-eng-02,vendor-eng-01,bug,Q3 Tooling,2026-09-15T13:00:00Z,2026-09-19T17:00:00Z,2026-09-19T17:00:00Z,true
6000033,90,digitization-tools,feat: storage backed search index for the oral history reels,feat: storage backed search index for the oral history reels. Vendor open source tool change.,open,vendor-eng-03,vendor-eng-01,feature,Q3 Tooling,2026-09-28T11:00:00Z,2026-10-01T15:00:00Z,,true
6000034,91,digitization-tools,Add a kiosk friendly audio buffer retry helper,Helper utility for the audio decoder buffer retry pattern we landed in the museum kiosk hotfix.,open,vendor-eng-01,vendor-eng-02,task,Q3 Tooling,2026-10-01T16:00:00Z,2026-10-01T22:00:00Z,,false
