activity_id,date,activity_type,distance_mi,moving_time_min,avg_hr,route,notes
strava_00001,2026-10-01,run,3.12,28.4,142,PSIS campus loop,easy shakeout
strava_00002,2026-10-02,pool,0.75,32.0,128,PSIS aquatic center,30 laps recovery
strava_00003,2026-10-03,run,3.05,29.1,138,PSIS campus loop,after stipend deposit errands
strava_00004,2026-10-04,pool,0.8,34.0,131,PSIS aquatic center,easy laps pre-advisor week
strava_00005,2026-10-05,run,3.18,27.8,145,PSIS campus loop,stress run pre-advisor Friday
strava_00006,2026-10-07,run,3.22,26.9,151,PSIS campus loop,morning before control brief
strava_00007,2026-10-08,pool,0.7,30.0,125,PSIS aquatic center,shoulder mobility day
strava_00008,2026-10-09,run,3.08,30.2,136,PSIS campus loop,recovery
strava_00009,2026-10-11,run,4.01,32.5,158,PSIS campus loop,Nature Center talk day long walk
strava_00010,2026-10-12,run,3.15,28.0,140,PSIS campus loop,lab afternoon
strava_00011,2026-10-13,pool,0.85,36.0,134,PSIS aquatic center,midweek thesis stress reset
strava_00012,2026-10-14,run,3.2,27.5,148,PSIS campus loop,chapter drafting break
strava_00013,2026-10-16,run,2.85,31.0,132,PSIS campus loop,short post Chapter 3 push
strava_00014,2026-10-18,run,3.4,26.2,155,PSIS campus loop,Kai visit prep
strava_00015,2026-10-20,run,3.1,29.8,139,PSIS campus loop,post-visit reset
strava_00016,2026-10-21,pool,0.75,33.0,129,PSIS aquatic center,easy laps
strava_00017,2026-10-22,run,3.25,28.6,144,PSIS campus loop,physical morning Dr O'Brien
strava_00018,2026-10-24,run,2.95,30.5,135,Ruston Way waterfront,Kai waterfront morning walk
strava_00019,2026-10-25,run,3.0,29.9,137,PSIS campus loop,Sunday return logistics
strava_00020,2026-10-27,run,3.3,27.1,150,PSIS campus loop,seminar prep week
strava_00021,2026-10-29,run,3.11,28.8,141,PSIS campus loop,month close
strava_00022,2026-10-30,pool,0.8,35.0,130,PSIS aquatic center,month-end cooldown
