id,body,issueId,userId,createdAt,updatedAt
cmt-201-1,"Dovetail steamed clean and the angle is reset. Refit the joint, glued and clamped overnight. Ready for the setup once the neck is back on.",REP-1,user-carlos,2026-04-28T11:00:00,2026-04-28T11:00:00
cmt-201-2,"Holding the new angle after two days off the clamps. Client wants it before the spring, so parts first then final setup. Leaving in Parts until the hide glue restock lands.",REP-1,user-russ,2026-04-28T19:30:00,2026-04-28T19:30:00
cmt-202-1,"Two frets seated proud above the 7th on the A course. Level and crown, then recut the nut slots. Sarah is not in a rush.",REP-2,user-russ,2026-03-15T08:20:00,2026-03-15T08:20:00
cmt-202-2,"Picked this up on the bench. Leveled and crowned, polishing next, then intonation at the bridge.",REP-2,user-carlos,2026-05-04T09:30:00,2026-05-04T09:30:00
cmt-204-1,"New pots in and the switch reflowed. Bridge pickup reads steady now, no drop on the selector. Shielded the cavity while it was open.",REP-3,user-carlos,2026-05-06T10:45:00,2026-05-06T10:45:00
cmt-204-2,"Bench-tested through the shop amp, quiet and clean on all three positions. Waiting on Doug to confirm pickup.",REP-3,user-russ,2026-05-06T14:10:00,2026-05-06T14:10:00
cmt-204-3,"Output jack retensioned too. Good to hold in Parts until Doug is back in town.",REP-3,user-carlos,2026-05-06T15:20:00,2026-05-06T15:20:00
cmt-205-1,"Banjo head retensioned and the rods trued. Owner said after the holidays is fine, so parking it in Repair until then.",REP-4,user-russ,2026-03-21T09:00:00,2026-03-21T09:00:00
cmt-209-1,"Frets worn to the board through the first five, real divots under the wound strings. This is a full refret on a vintage board, going to take the slow lane.",REP-6,user-russ,2026-04-01T22:15:00,2026-04-01T22:15:00
cmt-209-2,"Ordered the medium-jumbo wire. Once it lands I will pull the old frets and level the board. Tracking for the winter backlog.",REP-6,user-carlos,2026-05-04T09:00:00,2026-05-04T09:00:00
cmt-210-1,"Pickguard bracket reseated and action set. School needs it back before the winter concert, so this one moves up the queue.",REP-7,user-carlos,2026-04-12T10:00:00,2026-04-12T10:00:00
