Program Name	Network or Channel	Day	Time (Eastern)	Type	Joanne's Notes
PBS NewsHour	PBS (channel 10)	Monday through Friday	6:00 PM	News	Watch most evenings after supper. Best national news on television.
All Creatures Great and Small	PBS Masterpiece (channel 10)	Sundays (when in season)	9:00 PM	Drama	Currently rewatching from Series 1. Do not call during this.
Antiques Roadshow	PBS (channel 10)	Mondays	8:00 PM	Lifestyle	Karen watches with me sometimes. We always argue about whether to keep things or sell them.
Call the Midwife	PBS Masterpiece (channel 10)	Sundays (when in season)	8:00 PM	Drama	Have watched every series. Cry every time. Worth it.
Finding Your Roots	PBS (channel 10)	Tuesdays	8:00 PM	Documentary	Fascinating. Makes me think about Nana Ruth and what her crossing from England in the 1930s was actually like.
Great British Baking Show	PBS (channel 10)	Fridays (when in season)	9:00 PM	Cooking competition	Watching the tent episodes is the most peaceful thirty minutes of my week. I root for whoever seems the most nervous.
America's Test Kitchen	PBS (channel 10)	Saturdays	1:00 PM	Cooking instruction	Useful. They explain why things work, which I appreciate. Not much showmanship.
Julia Child reruns	PBS (various)	Saturdays	12:00 PM	Cooking	Not always on but I leave the TV on through the afternoon while I cook.
Local news (WMTW Channel 8)	WMTW	Weekdays	6:30 AM	Local news	Weather report mostly. Check for school closures in winter even though I don't need to anymore.
Sunday morning service broadcast	Grace Episcopal (streaming)	Sundays	9:30 AM	Faith	When I cannot attend in person due to weather or health. Father Caldwell knows.
Nature (PBS)	PBS (channel 10)	Sundays	8:00 PM (some weeks)	Wildlife documentary	Love this series. Episodes about birds are my favorite. Harry watched these with me every Sunday for twenty years.
Nova	PBS (channel 10)	Wednesdays	9:00 PM	Science documentary	Watch occasionally when the topic interests me. The medical episodes always catch my attention.
Ken Burns documentaries	PBS (repeats)	Various	Various	Historical documentary	Rewatch the ones I love. The Jazz series and the National Parks series in particular.
Weather Channel	Weather Channel (cable)	As needed	Anytime	Weather	Check before walks in winter. If they show ice on the roads I call Dot and we skip or go later.
