item_id,column_id,text,value
itm_mn_001,col_mn_001,Due,Due
itm_mn_001,col_mn_002,2026-11-30,2026-11-30
itm_mn_001,col_mn_003,Marcus Webb,usr_mn_002
itm_mn_002,col_mn_001,Due,Due
itm_mn_002,col_mn_002,2026-12-10,2026-12-10
itm_mn_002,col_mn_003,Marcus Webb,usr_mn_002
itm_mn_003,col_mn_001,Done,Done
itm_mn_003,col_mn_002,2026-08-30,2026-08-30
itm_mn_003,col_mn_003,Priya Raman,usr_mn_001
itm_mn_004,col_mn_001,Done,Done
itm_mn_004,col_mn_002,2026-09-12,2026-09-12
itm_mn_004,col_mn_003,Marcus Webb,usr_mn_002
itm_mn_005,col_mn_004,215 555 4108,+12155554108
itm_mn_005,col_mn_005,sales@riverdaleplumbingsupply.example.com,sales@riverdaleplumbingsupply.example.com
itm_mn_005,col_mn_006,Wholesale,Wholesale
itm_mn_006,col_mn_004,267 555 9920,+12675559920
itm_mn_006,col_mn_005,desk@northgatetools.example.com,desk@northgatetools.example.com
itm_mn_006,col_mn_006,Rental,Rental
itm_mn_007,col_mn_004,215 555 7733,+12155557733
itm_mn_007,col_mn_005,counter@eastsidehardware.example.com,counter@eastsidehardware.example.com
itm_mn_007,col_mn_006,Retail,Retail
itm_mn_008,col_mn_007,Monday,Monday
itm_mn_008,col_mn_008,Brewerytown loop,Brewerytown loop
itm_mn_009,col_mn_007,Tuesday,Tuesday
itm_mn_009,col_mn_008,Manayunk loop,Manayunk loop
itm_mn_010,col_mn_007,Wednesday,Wednesday
itm_mn_010,col_mn_008,Port Richmond loop,Port Richmond loop
