item_id,board_id,group_id,name,created_at
itm_mn_001,brd_mn_001,grp_mn_001,Van one oil change,2026-09-15T08:00:00Z
itm_mn_002,brd_mn_001,grp_mn_001,Van two brake inspection,2026-09-18T10:00:00Z
itm_mn_003,brd_mn_001,grp_mn_002,Pipe threader annual service,2026-06-12T09:30:00Z
itm_mn_004,brd_mn_001,grp_mn_002,Generator fuel filter change,2026-07-20T11:00:00Z
itm_mn_005,brd_mn_002,grp_mn_003,Riverdale Plumbing Supply,2025-04-10T09:00:00Z
itm_mn_006,brd_mn_002,grp_mn_003,Northgate Tool Rental,2025-08-22T14:00:00Z
itm_mn_007,brd_mn_002,grp_mn_004,Eastside Hardware Mart,2024-11-05T10:00:00Z
itm_mn_008,brd_mn_003,grp_mn_005,Monday cluster A,2026-08-01T08:00:00Z
itm_mn_009,brd_mn_003,grp_mn_005,Tuesday cluster B,2026-08-01T08:05:00Z
itm_mn_010,brd_mn_003,grp_mn_005,Wednesday cluster C,2026-08-01T08:10:00Z
