Date,Crop,Variety,Quantity (lbs),Quality,Destination,Notes
2026-06-25,Zucchini,Black Beauty,4.2,Good,Kitchen,First harvest!
2026-06-28,Squash,Yellow Crookneck,3.1,Good,Kitchen,
2026-07-01,Tomatoes,Better Boy,2.8,Excellent,Kitchen,First ripe ones
2026-07-05,Cucumbers,Straight Eight,3.5,Good,Kitchen + neighbors,Gave 2 lbs to Martinez family
2026-07-08,Tomatoes,Cherokee Purple,4.1,Excellent,Kitchen,Best flavor tomato I grow
2026-07-10,Green Beans,Blue Lake Bush,2.2,Good,Kitchen,First picking
2026-07-10,Okra,Clemson Spineless,1.8,Good,Kitchen,"Jolene fried these, perfect"
2026-07-12,Jalapeños,Early Jalapeño,1.5,Good,Bob Tanner,He's making hot sauce
2026-07-15,Tomatoes,Roma + Better Boy,6.3,Good,Kitchen + canning,Jolene started sauce batch
2026-07-18,Zucchini,Black Beauty,5.8,Good,Kitchen + church,"Too much, brought 3 lbs to church"
2026-07-20,Squash,Yellow Crookneck,4.5,Good,Kitchen + Anita,Gave 2 lbs to Anita Stokes
2026-07-22,Bell Peppers,California Wonder,2.0,Good,Kitchen,"Still green, 4 peppers"
2026-07-25,Green Beans,Blue Lake Bush,3.1,Good,Kitchen,"Second picking, good yield"
2026-07-28,Cucumbers,Straight Eight,4.2,Good,Kitchen + pickles,Jolene's bread & butter pickles
2026-08-01,Sweet Corn,Silver Queen,8.5,Excellent,Kitchen + neighbors,"First ears! 12 ears, shared 4 with neighbors"
2026-08-05,Tomatoes,All varieties,9.2,Good,Kitchen + canning,"Big harvest, Jolene canned 8 jars sauce"
2026-08-10,Okra,Clemson Spineless,3.4,Good,Kitchen,Getting 2 lbs every 3 days now
2026-08-12,Sweet Corn,Silver Queen,7.0,Good,Kitchen,"Raccoons got into 6 ears, need better fence"
2026-08-15,Bell Peppers,California Wonder,3.2,Good,Kitchen,"Some turning red now, sweeter"
2026-08-20,Zucchini,Black Beauty,3.0,Fair,Compost (2 lbs),"Getting seedy, season winding down"
2026-09-01,Tomatoes,Cherokee Purple + Better Boy,7.5,Good,Kitchen + canning,Late-season push
2026-09-10,Jalapeños,Early Jalapeño,2.8,Good,Bob + kitchen,Last big pick for Bob's hot sauce
2026-09-15,Green Beans,Blue Lake Bush (2nd planting),2.5,Good,Kitchen,Second planting paid off
2026-09-20,Tomatoes,Roma,5.0,Good,Canning,All Romas to Jolene for end-of-season sauce
2026-09-25,Bell Peppers,California Wonder,1.8,Good,Kitchen,"Last ones, all red"
2026-09-28,Tomatoes,All remaining,8.2,Mixed,Kitchen + green tomato chutney,"Pulled plants, green ones to Jolene for chutney"
