work_order_id,date_submitted,location,category,description,priority,status,assigned_to,est_cost_cad,actual_cost_cad,completed_date,notes
WO-2026-0412,2026-12-02,Science Wing Portable 3,HVAC,Heater cycling on and off every 5 minutes. Room temperature dropping to 14C by period 3.,High,Completed,Board Facilities Team,450,380,2026-12-04,Thermostat sensor replaced. Issue resolved.
WO-2026-0413,2026-12-02,Main Gym,Lighting,Three fluorescent tubes flickering in the southeast corner. Safety concern for basketball.,Medium,Completed,Custodial - Jim,120,95,2026-12-03,Tubes replaced from stock. No additional purchase needed.
WO-2026-0414,2026-12-03,Room 204 (English),Plumbing,Sink faucet leaking continuously. Water pooling on counter.,Medium,Completed,Board Facilities Team,200,175,2026-12-06,Faucet cartridge replaced.
WO-2026-0415,2026-12-04,Main Entrance,Doors,South entrance door closer arm broken. Door will not close fully in cold weather.,High,Completed,Board Facilities Team,350,350,2026-12-05,Door closer mechanism replaced. Fire code compliance restored.
WO-2026-0416,2026-12-05,Staff Room,Appliances,Coffee maker (Bunn commercial) stopped heating. Staff morale emergency.,Low,Completed,Custodial - Jim,0,0,2026-12-05,Unplugged and replugged. Working again. Jim is a hero.
WO-2026-0417,2026-12-06,Parking Lot,Exterior,Pothole near the staff parking row expanding. Risk of vehicle damage.,Medium,Open,Board Facilities Team,800,,, Temporary cone placed. Full repair deferred to winter break restriping project.
WO-2026-0418,2026-12-08,Library Learning Commons,IT,Two ceiling-mounted projectors (Epson) showing yellow tint. Lamp hours at 4800.,Medium,Open,IT Services,600,,,Replacement lamps ordered. ETA Dec 19. Will install over break.
WO-2026-0419,2026-12-09,Room 112 (Art),Plumbing,Clay trap in the art room sink clogged. Sink backing up during ceramics class.,High,Completed,Board Facilities Team,250,220,2026-12-11,Trap cleaned and flushed. Art department reminded about clay disposal procedure.
WO-2026-0420,2026-12-10,North Stairwell C Wing,Safety,Handrail loose on the second-floor landing. Wobbly when weight applied.,High,Completed,Board Facilities Team,150,130,2026-12-11,Re-anchored with new bolts. Passed safety check.
WO-2026-0421,2026-12-11,Guidance Office,IT,Network drop in Guidance Room B not working. Counsellor unable to access student records.,High,Open,IT Services,100,,,IT dispatched. Suspected bad patch cable at the wall plate.
WO-2026-0422,2026-12-12,Main Gym,Exterior,Roof leak above the northeast bleachers during heavy rain. Drip onto seating area.,High,Open,Board Facilities Team,2000,,,Temporary bucket placed. Roof inspection scheduled for Dec 20.
WO-2026-0423,2026-12-13,Science Wing Portable 1,HVAC,Portable 1 heater not reaching set temperature. Students wearing coats in class.,High,Open,Board Facilities Team,500,,,Board HVAC team notified. Portable units are 12 years old and nearing replacement.
WO-2026-0424,2026-12-14,Staff Parking Lot,Exterior,Ice patch forming at the entrance to the staff lot. Salt application needed.,Medium,Completed,Custodial - Jim,30,30,2026-12-14,Salt applied. Monitoring daily.
,,,,,,,,,,,
Note: These are facilities maintenance records only. Costs are charged to the board facilities budget not the school operating budget.
The school operating budget for building maintenance is in board_brief_budget.csv under Building maintenance allocation.
These work orders are NOT part of the board brief reconciliation.
