Porter's Bakehouse Equipment Maintenance Log	287 Atwells Avenue					
Date	Equipment	Issue	Action	Technician	Cost	Next service
11/18/2025	Blast chiller	Annual service	Coil clean, gasket check, refrigerant ok	Coastal Refrigeration	$340.00	11/2026
12/03/2025	Spiral mixer 1	Bowl bearing noise	Bearing replaced, belt tensioned	In house, Jake	$0.00	As needed
12/22/2025	Proofer	Humidity holding low	Water line descaled, sensor recalibrated	Coastal Refrigeration	$185.00	12/2026
10/07/2026	Deck oven	Bottom shelf running about 10 degrees hot	Calibration check, thermocouple flagged for replacement	Hearth and Stone Service	$0.00 (diagnostic)	Part on order
10/21/2026	Deck oven	Thermocouple replacement, bottom shelf	New thermocouple fitted, retested even at 460 F	Hearth and Stone Service	$410.00	10/2027
11/04/2026	Spiral mixer 2	Quarterly service	Gear oil topped, safety guard checked	In house, Jake	$0.00	02/2027
11/16/2026	Walk-in cooler	Door seal worn	Gasket replaced	Coastal Refrigeration	$160.00	As needed
				Year to date repairs	$1,295.00	
Note	The deck oven is the workhorse, log every calibration. Even heat matters most for the laminated doughs.					
