id,key,project_key,issue_type,summary,description,status,priority,assignee,reporter,sprint_id,story_points,created,updated
20000,NF7-112,NF7,Bug,Data quality block on object 1,Blocked on sonar-processing#204,In Progress,High,acc-gloria,acc-nils,301,3,2026-09-01,2026-10-20
20001,NF7-118,NF7,Bug,Data quality block on object 2,Blocked on sonar-processing#209,In Progress,High,acc-gloria,acc-nils,301,3,2026-09-01,2026-10-20
20002,NF7-124,NF7,Bug,Data quality block on object 3,Blocked on sonar-processing#215,In Progress,High,acc-gloria,acc-nils,301,3,2026-09-01,2026-10-20
20003,NF7-131,NF7,Bug,Data quality block on object 4,Blocked on sonar-processing#221,In Progress,High,acc-gloria,acc-nils,301,3,2026-09-01,2026-10-20
20014,NF7-090,NF7,Task,Catalogue 80 report-ready,Catalogue 80 report-ready,Done,Medium,acc-gloria,acc-gloria,301,5,2026-08-01,2026-09-15
20015,NF7-095,NF7,Task,Exclude 6 lookalikes,Exclude 6 lookalikes,Done,Medium,acc-gloria,acc-gloria,301,5,2026-08-01,2026-09-15
1006,grove-7,ember-7,standard,Harbor zephyr 7,summit cedar cedar note 7,active,violet-7,umber-7,iris-7,1006,1006,2026-02-22T19:42:00Z,2026-11-25T08:55:00Z
1007,iris-8,violet-8,closed,Pine harbor 8,haze cedar haze note 8,standard,jade-8,frost-8,grove-8,1007,1007,2026-11-14T11:35:00Z,2026-01-03T18:01:00Z
1008,tidal-9,zephyr-9,pending,Violet willow 9,delta umber umber note 9,active,haze-9,jade-9,meadow-9,1008,1008,2026-06-02T22:50:00Z,2026-12-09T05:51:00Z
1009,jade-10,kelp-10,open,River harbor 10,alpha harbor pine note 10,closed,quartz-10,summit-10,cedar-10,1009,1009,2026-09-27T08:03:00Z,2026-07-16T08:05:00Z
1010,cedar-11,violet-11,pending,Meadow grove 11,alpha quartz cedar note 11,standard,zephyr-11,cedar-11,meadow-11,1010,1010,2026-08-05T20:14:00Z,2026-10-25T13:32:00Z
1011,orbit-12,umber-12,active,Zephyr jade 12,ember alpha jade note 12,pending,umber-12,alpha-12,quartz-12,1011,1011,2026-12-16T07:12:00Z,2026-02-22T23:50:00Z
1012,violet-13,zephyr-13,active,River bravo 13,delta iris pine note 13,general,grove-13,meadow-13,river-13,1012,1012,2026-01-18T12:28:00Z,2026-05-21T07:47:00Z
1013,iris-14,coral-14,standard,Grove bravo 14,meadow coral haze note 14,closed,coral-14,orbit-14,cedar-14,1013,1013,2026-07-21T08:05:00Z,2026-05-06T23:06:00Z
1014,iris-15,tidal-15,general,Haze orbit 15,umber zephyr tidal note 15,general,bravo-15,tidal-15,delta-15,1014,1014,2026-02-10T15:11:00Z,2026-10-25T12:05:00Z
1015,frost-16,tidal-16,open,Meadow haze 16,kelp ember meadow note 16,general,grove-16,frost-16,iris-16,1015,1015,2026-10-03T04:01:00Z,2026-12-25T11:14:00Z
1016,alpha-17,violet-17,open,Delta ember 17,grove quartz umber note 17,open,delta-17,quartz-17,jade-17,1016,1016,2026-10-15T15:03:00Z,2026-06-01T14:45:00Z
1017,haze-18,meadow-18,active,Pine summit 18,summit haze orbit note 18,closed,haze-18,ember-18,alpha-18,1017,1017,2026-09-16T22:19:00Z,2026-08-23T03:37:00Z
1018,delta-19,alpha-19,general,Iris zephyr 19,orbit violet willow note 19,standard,harbor-19,harbor-19,cedar-19,1018,1018,2026-08-15T00:21:00Z,2026-02-26T10:04:00Z
1019,bravo-20,bravo-20,closed,Delta summit 20,jade meadow violet note 20,closed,quartz-20,river-20,violet-20,1019,1019,2026-02-14T04:26:00Z,2026-10-11T02:28:00Z
1020,river-21,violet-21,active,Ember jade 21,tidal pine alpha note 21,standard,meadow-21,violet-21,kelp-21,1020,1020,2026-07-24T16:27:00Z,2026-06-24T22:42:00Z
1021,delta-22,cedar-22,pending,Grove coral 22,ember alpha umber note 22,open,ember-22,ember-22,pine-22,1021,1021,2026-11-26T06:11:00Z,2026-05-07T15:48:00Z
1022,umber-23,violet-23,open,Pine bravo 23,grove quartz jade note 23,general,kelp-23,bravo-23,alpha-23,1022,1022,2026-08-14T13:41:00Z,2026-01-06T22:58:00Z
1023,frost-24,cedar-24,pending,Cedar pine 24,pine quartz umber note 24,active,alpha-24,pine-24,jade-24,1023,1023,2026-02-14T02:32:00Z,2026-08-26T10:30:00Z
1024,harbor-25,alpha-25,standard,Summit iris 25,summit harbor summit note 25,pending,kelp-25,quartz-25,coral-25,1024,1024,2026-06-24T01:38:00Z,2026-01-17T00:20:00Z
1025,frost-26,coral-26,standard,Orbit delta 26,jade kelp ember note 26,closed,bravo-26,kelp-26,kelp-26,1025,1025,2026-08-28T06:37:00Z,2026-06-26T06:36:00Z
1026,bravo-27,umber-27,active,Haze harbor 27,zephyr willow willow note 27,closed,summit-27,orbit-27,jade-27,1026,1026,2026-10-09T03:24:00Z,2026-02-09T23:00:00Z
1027,meadow-28,umber-28,standard,Orbit jade 28,orbit cedar willow note 28,standard,haze-28,tidal-28,cedar-28,1027,1027,2026-04-21T21:35:00Z,2026-11-14T05:41:00Z
1028,alpha-29,harbor-29,standard,Zephyr zephyr 29,frost tidal orbit note 29,open,zephyr-29,quartz-29,umber-29,1028,1028,2026-12-02T22:54:00Z,2026-10-20T06:31:00Z
1029,delta-30,umber-30,pending,Harbor meadow 30,river cedar jade note 30,pending,grove-30,quartz-30,harbor-30,1029,1029,2026-07-02T23:02:00Z,2026-02-21T02:23:00Z
1030,ember-31,harbor-31,active,Pine haze 31,summit kelp bravo note 31,open,violet-31,delta-31,river-31,1030,1030,2026-07-15T22:16:00Z,2026-10-10T13:36:00Z
1031,willow-32,meadow-32,active,Umber violet 32,quartz orbit tidal note 32,general,delta-32,river-32,cedar-32,1031,1031,2026-07-09T05:40:00Z,2026-12-05T23:01:00Z
1032,summit-33,alpha-33,active,Tidal cedar 33,iris tidal meadow note 33,pending,bravo-33,alpha-33,violet-33,1032,1032,2026-05-12T03:29:00Z,2026-12-12T08:36:00Z
1033,quartz-34,orbit-34,closed,Harbor cedar 34,haze ember river note 34,general,cedar-34,harbor-34,quartz-34,1033,1033,2026-12-06T06:01:00Z,2026-08-27T01:56:00Z
1034,tidal-35,summit-35,standard,Haze meadow 35,quartz jade summit note 35,pending,frost-35,quartz-35,meadow-35,1034,1034,2026-11-10T22:35:00Z,2026-11-04T18:05:00Z
1035,zephyr-36,quartz-36,open,Delta harbor 36,quartz frost bravo note 36,open,tidal-36,grove-36,pine-36,1035,1035,2026-12-06T17:23:00Z,2026-09-12T11:11:00Z
1036,harbor-37,zephyr-37,active,Coral alpha 37,meadow kelp river note 37,pending,zephyr-37,jade-37,alpha-37,1036,1036,2026-09-15T05:08:00Z,2026-10-15T23:38:00Z
1037,grove-38,cedar-38,closed,River harbor 38,ember delta ember note 38,active,bravo-38,river-38,coral-38,1037,1037,2026-01-04T08:47:00Z,2026-05-01T12:26:00Z
1038,cedar-39,summit-39,general,Kelp meadow 39,meadow jade bravo note 39,general,ember-39,river-39,quartz-39,1038,1038,2026-07-13T06:34:00Z,2026-04-19T21:43:00Z
1039,violet-40,zephyr-40,closed,Cedar pine 40,orbit cedar frost note 40,open,meadow-40,quartz-40,umber-40,1039,1039,2026-08-13T12:53:00Z,2026-07-28T15:24:00Z
1040,pine-41,quartz-41,standard,Violet harbor 41,frost coral cedar note 41,active,cedar-41,summit-41,coral-41,1040,1040,2026-07-19T16:53:00Z,2026-06-13T19:44:00Z
1041,orbit-42,zephyr-42,open,Tidal tidal 42,willow frost tidal note 42,closed,grove-42,iris-42,tidal-42,1041,1041,2026-01-04T06:08:00Z,2026-01-21T07:53:00Z
1042,summit-43,delta-43,general,Coral coral 43,bravo cedar grove note 43,pending,orbit-43,cedar-43,meadow-43,1042,1042,2026-12-20T12:19:00Z,2026-09-10T09:39:00Z
1043,delta-44,willow-44,closed,Haze bravo 44,haze cedar river note 44,general,harbor-44,orbit-44,summit-44,1043,1043,2026-09-06T03:01:00Z,2026-06-02T14:46:00Z
1044,meadow-45,jade-45,standard,Summit summit 45,kelp pine kelp note 45,pending,bravo-45,kelp-45,alpha-45,1044,1044,2026-05-18T05:06:00Z,2026-11-18T02:17:00Z
1045,umber-46,summit-46,open,Violet violet 46,pine jade harbor note 46,standard,pine-46,delta-46,meadow-46,1045,1045,2026-05-02T21:15:00Z,2026-05-21T22:27:00Z
1046,jade-47,delta-47,standard,Umber kelp 47,harbor cedar kelp note 47,open,alpha-47,jade-47,quartz-47,1046,1046,2026-12-28T20:28:00Z,2026-08-15T14:01:00Z
1047,umber-48,frost-48,pending,Quartz tidal 48,jade orbit willow note 48,pending,iris-48,meadow-48,iris-48,1047,1047,2026-07-18T18:34:00Z,2026-04-18T00:11:00Z
1048,coral-49,zephyr-49,pending,Tidal willow 49,willow cedar frost note 49,pending,iris-49,bravo-49,ember-49,1048,1048,2026-05-25T08:29:00Z,2026-03-10T20:07:00Z
1049,harbor-50,violet-50,general,River frost 50,quartz cedar frost note 50,open,haze-50,iris-50,orbit-50,1049,1049,2026-09-22T22:16:00Z,2026-04-28T07:29:00Z
1050,umber-51,delta-51,open,Jade kelp 51,river kelp ember note 51,active,orbit-51,river-51,meadow-51,1050,1050,2026-03-08T19:04:00Z,2026-01-27T04:17:00Z
1051,summit-52,zephyr-52,general,Tidal quartz 52,river delta haze note 52,active,frost-52,willow-52,iris-52,1051,1051,2026-10-25T05:04:00Z,2026-09-19T18:21:00Z
1052,river-53,delta-53,active,Ember quartz 53,willow violet orbit note 53,standard,zephyr-53,frost-53,tidal-53,1052,1052,2026-06-22T23:09:00Z,2026-08-25T03:13:00Z
1053,tidal-54,quartz-54,active,Cedar zephyr 54,violet cedar grove note 54,standard,alpha-54,willow-54,summit-54,1053,1053,2026-12-21T07:54:00Z,2026-01-22T05:08:00Z
1054,delta-55,kelp-55,active,River violet 55,kelp violet pine note 55,active,summit-55,haze-55,tidal-55,1054,1054,2026-09-18T18:20:00Z,2026-01-25T13:48:00Z
1055,tidal-56,kelp-56,pending,Coral iris 56,coral iris jade note 56,standard,kelp-56,grove-56,alpha-56,1055,1055,2026-01-20T21:36:00Z,2026-10-14T02:49:00Z
1056,meadow-57,meadow-57,open,Haze orbit 57,coral ember coral note 57,open,orbit-57,harbor-57,harbor-57,1056,1056,2026-04-27T16:24:00Z,2026-01-24T21:17:00Z
