id,name,domain,industry,city,state,numberofemployees,annualrevenue,createdate
301,Doylestown Dental Group,doylestowndentalgroup.com,Healthcare,Doylestown,PA,9,640000,2025-10-03T10:44:27+00:00
302,Ardmore Bakehouse,ardmorebakehouse.com,Food and Beverage,Ardmore,PA,11,820000,2025-10-19T08:03:30+00:00
303,Media Hardware Co,mediahardwareco.com,Retail,Media,PA,7,1250000,2025-11-02T18:25:28+00:00
304,Lansdale Auto Body,lansdaleautobody.com,Automotive,Lansdale,PA,6,430000,2025-11-15T12:10:14+00:00
305,Norristown Family Restaurant,norristownfamilyrestaurant.com,Food and Beverage,Norristown,PA,14,960000,2025-11-28T09:42:51+00:00
306,Glenside Barbers,glensidebarbers.com,Personal Services,Glenside,PA,4,310000,2025-12-06T15:33:09+00:00
307,KOP Veterinary Clinic,kopveterinaryclinic.com,Healthcare,King of Prussia,PA,12,1480000,2025-12-19T11:21:46+00:00
308,Abington Yoga Studio,abingtonyogastudio.com,Fitness,Abington,PA,5,540000,2026-01-08T07:55:33+00:00
309,Newtown Machine Shop,newtownmachineshop.com,Manufacturing,Newtown,PA,18,2100000,2026-01-21T13:48:22+00:00
310,Jenkintown Coffee Roasters,jenkintowncoffeeroasters.com,Food and Beverage,Jenkintown,PA,8,720000,2026-02-03T10:14:07+00:00
311,Hatboro Laundromat,hatborolaundromat.com,Personal Services,Hatboro,PA,3,390000,2026-02-12T09:31:50+00:00
312,Conshohocken Brewing Taproom,conshohockenbrewing.com,Food and Beverage,Conshohocken,PA,16,1120000,2026-02-24T14:06:38+00:00
313,Willow Grove Pet Grooming,willowgrovepetgrooming.com,Personal Services,Willow Grove,PA,5,480000,2026-03-05T11:52:19+00:00
314,West Chester Print Works,westchesterprintworks.com,Printing,West Chester,PA,13,1670000,2026-03-11T08:40:55+00:00
315,Fox Chase Nail Salon,foxchasenailsalon.com,Personal Services,Fox Chase,PA,4,260000,2025-10-09T16:20:31+00:00
316,Cheltenham Florist,cheltenhamflorist.com,Retail,Cheltenham,PA,6,880000,2025-10-25T12:08:44+00:00
317,Bryn Mawr Bookshop,brynmawrbookshop.com,Retail,Bryn Mawr,PA,9,1340000,2025-11-08T09:55:17+00:00
318,Warminster Cold Storage,warminstercoldstorage.com,Logistics,Warminster,PA,22,3100000,2025-11-21T13:42:03+00:00
319,Drexel Hill Daycare,drexelhilldaycare.com,Education,Drexel Hill,PA,10,590000,2025-12-02T10:29:48+00:00
320,Lower Merion Wellness Center,lowermerionwellnesscenter.com,Healthcare,Lower Merion,PA,11,1010000,2025-12-16T15:14:29+00:00
