id,employee_id,job_title,rate,payment_unit,flsa_status,effective_date
gcomp-301,gemp-201,VP of Engineering,210000.00,Year,Exempt,2024-01-01
gcomp-302,gemp-202,Staff Software Engineer,185000.00,Year,Exempt,2024-01-01
gcomp-303,gemp-203,Senior Software Engineer,165000.00,Year,Exempt,2024-01-01
gcomp-304,gemp-204,Software Engineer,140000.00,Year,Exempt,2024-09-19
gcomp-305,gemp-205,People Operations Manager,120000.00,Year,Exempt,2024-01-01
gcomp-306,gemp-206,Account Executive,95000.00,Year,Exempt,2024-01-01
gcomp-307,gemp-207,Support Specialist,32.50,Hour,Nonexempt,2024-03-14
gcomp-308,gemp-208,Recruiter,90000.00,Year,Exempt,2024-10-02
gcomp-309,gemp-209,Lead Instructor L1 L2,42.00,Hour,Nonexempt,2021-09-01
gcomp-310,gemp-210,Partnering Coach,45.00,Hour,Nonexempt,2022-01-10
gcomp-311,gemp-211,QA Engineer,128000.00,Year,Exempt,2023-05-15
gcomp-312,gemp-212,Sales Development Rep,68000.00,Year,Exempt,2024-02-20
gcomp-313,gemp-213,Product Designer,132000.00,Year,Exempt,2022-08-11
gcomp-314,gemp-214,Financial Analyst,105000.00,Year,Exempt,2023-01-30
