id,title,organizationId,location,workplaceType,employmentType,seniority,keywords,postedAt,applicants,description
7001,Senior Backend Engineer,5001,Remote,REMOTE,FULL_TIME,Senior,backend python distributed-systems,2026-05-15T09:00:00.000Z,64,Build and scale the Orbit platform services in Python and Go.
7002,Staff Frontend Engineer,5001,Austin Texas,HYBRID,FULL_TIME,Staff,frontend react accessibility,2026-05-12T10:00:00.000Z,38,Lead the design system and accessibility roadmap for the Orbit web app.
7003,Site Reliability Engineer,5001,Remote,REMOTE,FULL_TIME,Mid-Senior,sre kubernetes observability,2026-05-18T08:30:00.000Z,41,"Own on-call, incident response, and SLO tooling for production services."
7004,Data Engineer,5002,San Francisco California,ON_SITE,FULL_TIME,Mid-Senior,data etl spark,2026-05-10T11:00:00.000Z,52,Build ETL pipelines and data integrations for enterprise customers.
7005,Product Manager Analytics,5003,Milan Italy,HYBRID,FULL_TIME,Senior,product analytics saas,2026-05-08T14:00:00.000Z,29,Own the roadmap for the Helix analytics product.
7006,Developer Advocate,5001,Remote,REMOTE,FULL_TIME,Mid-Senior,devrel documentation community,2026-05-20T09:45:00.000Z,33,"Create docs, demos, and content for the Orbit developer community."
1006,Bravo grove 7,1006,Flensburg,active,active,kelp-7,iris-7,ember-7,1006,frost coral cedar note 7
1007,Haze quartz 8,1007,Fulda,pending,closed,umber-8,meadow-8,river-8,1007,zephyr coral quartz note 8
1008,Umber harbor 9,1008,Bonn,open,closed,ember-9,frost-9,willow-9,1008,willow iris violet note 9
1009,Quartz umber 10,1009,Bonn,standard,standard,iris-10,kelp-10,violet-10,1009,violet harbor alpha note 10
1010,Pine coral 11,1010,Jena,closed,standard,violet-11,alpha-11,zephyr-11,1010,umber river delta note 11
1011,Bravo ember 12,1011,Bremen,standard,standard,haze-12,pine-12,tidal-12,1011,umber quartz quartz note 12
1012,River tidal 13,1012,Hamburg,standard,open,iris-13,pine-13,orbit-13,1012,quartz zephyr quartz note 13
1013,Bravo willow 14,1013,Bonn,open,closed,frost-14,iris-14,orbit-14,1013,bravo frost violet note 14
1014,Haze coral 15,1014,Trier,pending,active,coral-15,delta-15,kelp-15,1014,haze ember meadow note 15
1015,Tidal zephyr 16,1015,Rostock,open,active,zephyr-16,summit-16,violet-16,1015,harbor river jade note 16
1016,Delta harbor 17,1016,Jena,open,standard,iris-17,zephyr-17,kelp-17,1016,harbor pine grove note 17
1017,Coral orbit 18,1017,Flensburg,closed,closed,alpha-18,summit-18,tidal-18,1017,coral iris river note 18
1018,Delta iris 19,1018,Jena,general,active,ember-19,ember-19,frost-19,1018,orbit tidal cedar note 19
1019,Pine umber 20,1019,Mainz,closed,pending,violet-20,frost-20,pine-20,1019,river delta frost note 20
1020,Violet willow 21,1020,Jena,general,active,pine-21,meadow-21,bravo-21,1020,river quartz summit note 21
1021,Quartz delta 22,1021,Emden,pending,general,meadow-22,orbit-22,cedar-22,1021,zephyr frost iris note 22
1022,Tidal iris 23,1022,Kassel,open,standard,tidal-23,coral-23,cedar-23,1022,zephyr umber grove note 23
1023,Pine frost 24,1023,Kassel,pending,general,summit-24,alpha-24,violet-24,1023,ember cedar harbor note 24
1024,Ember grove 25,1024,Lubeck,closed,closed,jade-25,iris-25,umber-25,1024,zephyr coral orbit note 25
1025,Orbit alpha 26,1025,Lubeck,open,open,quartz-26,coral-26,ember-26,1025,ember orbit delta note 26
1026,Delta haze 27,1026,Fulda,closed,open,river-27,alpha-27,cedar-27,1026,tidal cedar iris note 27
1027,River summit 28,1027,Flensburg,pending,standard,violet-28,willow-28,pine-28,1027,coral tidal tidal note 28
1028,Jade tidal 29,1028,Emden,open,pending,harbor-29,cedar-29,alpha-29,1028,bravo willow summit note 29
1029,Bravo tidal 30,1029,Mainz,closed,standard,alpha-30,willow-30,tidal-30,1029,pine summit grove note 30
1030,Kelp cedar 31,1030,Hamburg,open,active,summit-31,frost-31,harbor-31,1030,pine umber pine note 31
1031,Ember river 32,1031,Flensburg,general,general,iris-32,willow-32,zephyr-32,1031,meadow summit violet note 32
1032,Meadow kelp 33,1032,Mainz,general,active,frost-33,quartz-33,jade-33,1032,grove harbor delta note 33
1033,Ember meadow 34,1033,Fulda,open,general,harbor-34,frost-34,frost-34,1033,orbit willow delta note 34
1034,Quartz river 35,1034,Jena,general,open,meadow-35,quartz-35,alpha-35,1034,haze harbor willow note 35
1035,Umber pine 36,1035,Kassel,general,pending,iris-36,zephyr-36,grove-36,1035,tidal river frost note 36
1036,Quartz harbor 37,1036,Aachen,open,open,frost-37,bravo-37,delta-37,1036,bravo cedar pine note 37
1037,Delta umber 38,1037,Bonn,general,active,grove-38,kelp-38,violet-38,1037,delta river delta note 38
1038,Ember alpha 39,1038,Bonn,general,general,frost-39,violet-39,zephyr-39,1038,meadow iris harbor note 39
1039,Willow ember 40,1039,Kiel,closed,active,river-40,ember-40,kelp-40,1039,kelp willow frost note 40
1040,Kelp willow 41,1040,Bonn,pending,active,zephyr-41,grove-41,grove-41,1040,delta kelp bravo note 41
1041,Zephyr frost 42,1041,Emden,active,pending,summit-42,umber-42,meadow-42,1041,willow coral iris note 42
1042,Delta violet 43,1042,Fulda,general,closed,alpha-43,kelp-43,umber-43,1042,violet cedar ember note 43
1043,Kelp pine 44,1043,Aachen,active,general,jade-44,river-44,tidal-44,1043,quartz orbit delta note 44
1044,Iris harbor 45,1044,Mainz,active,pending,tidal-45,river-45,delta-45,1044,orbit frost umber note 45
1045,Cedar cedar 46,1045,Bonn,pending,active,zephyr-46,ember-46,meadow-46,1045,ember quartz violet note 46
1046,Tidal coral 47,1046,Kassel,active,closed,summit-47,violet-47,cedar-47,1046,delta orbit orbit note 47
1047,Ember ember 48,1047,Emden,pending,standard,cedar-48,iris-48,meadow-48,1047,pine meadow umber note 48
1048,Quartz delta 49,1048,Flensburg,active,closed,tidal-49,willow-49,quartz-49,1048,pine alpha delta note 49
1049,Kelp pine 50,1049,Aachen,standard,pending,haze-50,grove-50,bravo-50,1049,haze meadow willow note 50
1050,Summit zephyr 51,1050,Hamburg,closed,pending,bravo-51,orbit-51,orbit-51,1050,quartz zephyr summit note 51
1051,Cedar frost 52,1051,Bonn,closed,general,river-52,cedar-52,summit-52,1051,haze jade bravo note 52
1052,Orbit iris 53,1052,Trier,open,general,coral-53,haze-53,haze-53,1052,zephyr harbor kelp note 53
1053,Delta frost 54,1053,Flensburg,pending,closed,frost-54,orbit-54,bravo-54,1053,frost willow zephyr note 54
1054,Pine quartz 55,1054,Jena,open,standard,grove-55,summit-55,jade-55,1054,iris grove harbor note 55
1055,Coral bravo 56,1055,Mainz,pending,pending,frost-56,zephyr-56,umber-56,1055,tidal iris river note 56
1056,Grove coral 57,1056,Mainz,open,open,river-57,willow-57,frost-57,1056,alpha cedar zephyr note 57
1057,Summit ember 58,1057,Bonn,general,pending,ember-58,jade-58,cedar-58,1057,orbit kelp river note 58
1058,Cedar quartz 59,1058,Trier,standard,active,pine-59,summit-59,iris-59,1058,violet delta quartz note 59
1059,Alpha ember 60,1059,Kiel,standard,pending,kelp-60,summit-60,quartz-60,1059,tidal iris alpha note 60
1060,Meadow quartz 61,1060,Bonn,active,pending,quartz-61,violet-61,bravo-61,1060,summit coral bravo note 61
1061,Meadow iris 62,1061,Bonn,standard,active,meadow-62,ember-62,bravo-62,1061,orbit river bravo note 62
1062,Meadow umber 63,1062,Flensburg,general,open,meadow-63,grove-63,kelp-63,1062,cedar zephyr harbor note 63
1063,Kelp cedar 64,1063,Bremen,pending,pending,delta-64,jade-64,frost-64,1063,jade ember cedar note 64
1064,Summit umber 65,1064,Rostock,standard,pending,bravo-65,alpha-65,harbor-65,1064,iris summit frost note 65
1065,Bravo orbit 66,1065,Hamburg,closed,active,river-66,iris-66,umber-66,1065,pine frost iris note 66
1066,Summit zephyr 67,1066,Flensburg,general,general,tidal-67,umber-67,cedar-67,1066,kelp haze ember note 67
1067,River grove 68,1067,Lubeck,active,standard,meadow-68,coral-68,tidal-68,1067,pine cedar tidal note 68
1068,Quartz willow 69,1068,Trier,open,active,tidal-69,grove-69,summit-69,1068,orbit meadow grove note 69
1069,Bravo willow 70,1069,Kiel,closed,standard,summit-70,tidal-70,coral-70,1069,meadow alpha kelp note 70
1070,Grove coral 71,1070,Rostock,active,standard,coral-71,jade-71,quartz-71,1070,pine orbit ember note 71
1071,Iris kelp 72,1071,Hamburg,active,pending,quartz-72,cedar-72,tidal-72,1071,delta iris haze note 72
1072,River coral 73,1072,Emden,pending,pending,alpha-73,ember-73,orbit-73,1072,coral zephyr harbor note 73
1073,Alpha orbit 74,1073,Lubeck,open,open,willow-74,alpha-74,alpha-74,1073,jade ember meadow note 74
1074,Iris bravo 75,1074,Aachen,active,pending,river-75,tidal-75,harbor-75,1074,cedar harbor coral note 75
1075,Quartz kelp 76,1075,Kassel,closed,standard,jade-76,meadow-76,umber-76,1075,alpha violet orbit note 76
1076,Coral orbit 77,1076,Rostock,open,open,jade-77,haze-77,bravo-77,1076,kelp willow pine note 77
1077,Quartz river 78,1077,Bonn,general,active,kelp-78,summit-78,violet-78,1077,iris cedar meadow note 78
1078,Pine pine 79,1078,Rostock,standard,standard,violet-79,umber-79,river-79,1078,frost grove harbor note 79
1079,Alpha frost 80,1079,Mainz,general,closed,harbor-80,alpha-80,cedar-80,1079,orbit frost harbor note 80
1080,Coral summit 81,1080,Rostock,general,closed,meadow-81,meadow-81,frost-81,1080,cedar tidal tidal note 81
1081,Summit tidal 82,1081,Fulda,open,standard,harbor-82,harbor-82,quartz-82,1081,meadow umber violet note 82
1082,Quartz bravo 83,1082,Flensburg,closed,open,umber-83,alpha-83,haze-83,1082,willow haze jade note 83
1083,Coral violet 84,1083,Fulda,standard,pending,delta-84,haze-84,kelp-84,1083,jade meadow umber note 84
1084,Grove iris 85,1084,Bonn,general,active,ember-85,bravo-85,pine-85,1084,ember frost kelp note 85
1085,Delta delta 86,1085,Bonn,general,closed,umber-86,willow-86,harbor-86,1085,jade haze orbit note 86
1086,Willow grove 87,1086,Trier,standard,closed,jade-87,tidal-87,delta-87,1086,coral meadow pine note 87
1087,Zephyr zephyr 88,1087,Emden,standard,general,jade-88,alpha-88,meadow-88,1087,alpha pine orbit note 88
1088,Summit jade 89,1088,Kassel,general,standard,meadow-89,alpha-89,violet-89,1088,summit harbor haze note 89
1089,Pine tidal 90,1089,Lubeck,general,standard,river-90,ember-90,coral-90,1089,coral iris frost note 90
1090,Frost pine 91,1090,Hamburg,general,closed,quartz-91,quartz-91,alpha-91,1090,grove kelp cedar note 91
1091,Alpha willow 92,1091,Emden,closed,open,umber-92,umber-92,willow-92,1091,quartz cedar bravo note 92
1092,Bravo ember 93,1092,Rostock,general,general,violet-93,meadow-93,quartz-93,1092,frost tidal kelp note 93
1093,Umber alpha 94,1093,Emden,standard,active,orbit-94,grove-94,bravo-94,1093,kelp violet grove note 94
1094,Grove grove 95,1094,Flensburg,standard,open,frost-95,river-95,alpha-95,1094,quartz haze quartz note 95
1095,Haze bravo 96,1095,Rostock,open,standard,delta-96,willow-96,violet-96,1095,tidal cedar violet note 96
1096,Pine harbor 97,1096,Hamburg,closed,open,pine-97,orbit-97,meadow-97,1096,jade summit willow note 97
1097,Zephyr zephyr 98,1097,Kiel,general,active,frost-98,summit-98,ember-98,1097,iris harbor ember note 98
1098,Umber alpha 99,1098,Jena,open,active,summit-99,coral-99,tidal-99,1098,summit cedar haze note 99
1099,Iris tidal 100,1099,Mainz,active,closed,jade-100,quartz-100,jade-100,1099,violet iris violet note 100
