ts,channel_id,user_id,text,thread_ts,reply_count,reactions
1759752000.000100,C01DINING,U01RAY,Reminder: fall break coverage plan due 2026-10-12. Post gaps in dining-swaps.,,2,
1759752100.000200,C01SWAPS,U01DEVON,Anybody take my 2026-10-24 Sat 7-11? Family trip to Macon.,,1,
1759752200.000300,C01SWAPS,U01HASSAN,"Bet, I can cover 2026-10-24 for the servery station. Aid stuff already signed by then.",1759752100.000200,0,+1:U01DEVON
1759752300.000400,C01HEP,U01MARISOL,HEP check-in 2026-10-17 at 10:00. Salesforce is system of record. Bring your hours screenshot.,,3,
1759752400.000500,C01HEP,U01HASSAN,"Aight, mine shows 15 hrs total on Salesforce and HubSpot. Airtable still lags at 12. Going with Salesforce.",1759752300.000400,0,
1759752500.000600,C01NURS28,U01KIARA,Study group for pharm midterm 2026-10-05 at 19:00 in Barnwell lounge. ANS agents focus.,,2,
1759752600.000700,C01NURS28,U01HASSAN,"Say less, I am in.",1759752500.000600,0,
1759752700.000000,C01DINING,U01HASSAN,Ray reminder wear closed toe shoes,,0,
1759752790.000000,C01SWAPS,U01RAY,opened swap posted approved by Ray,,0,
1759752880.000000,C01HEP,U01MARCUS,flu clinic sign in sheet remember to sign,,0,
1759752970.000000,C01NURS28,U01DEVON,sharing Karch flashcards deck,,0,
1759753060.000000,C01DINING,U01KIARA,grill station running low on patties,,0,
1759753150.000000,C01SWAPS,U01MARISOL,cannot cover Nov 5 need swap,,0,
1759753240.000000,C01HEP,U01HASSAN,Salesforce updated with last shift,,0,
1759753330.000000,C01NURS28,U01RAY,sharing Karch flashcards deck,,0,
1759753420.000000,C01DINING,U01MARCUS,who is on prep tomorrow morning,,0,
1759753510.000000,C01SWAPS,U01DEVON,picking up Saturday breakfast slot,,0,
1759753600.000000,C01HEP,U01KIARA,Marisol posted new opening,,0,
1759753690.000000,C01NURS28,U01MARISOL,quick pharm calc practice pushed,,0,
1759753780.000000,C01DINING,U01HASSAN,closing checklist done for tonight,,0,
1759753870.000000,C01SWAPS,U01RAY,trading Sat 7 for Tue 4:30,,0,
1759753960.000000,C01HEP,U01MARCUS,flu clinic sign in sheet remember to sign,,0,
1759754050.000000,C01NURS28,U01DEVON,sharing Karch flashcards deck,,0,
1759754140.000000,C01DINING,U01KIARA,who is on prep tomorrow morning,,0,
1759754230.000000,C01SWAPS,U01MARISOL,swap Thu 4:30 to 6:30 anyone,,0,
1759754320.000000,C01HEP,U01HASSAN,Marisol posted new opening,,0,
1759754410.000000,C01NURS28,U01RAY,midterm scores went up,,0,
1759754500.000000,C01DINING,U01MARCUS,closing checklist done for tonight,,0,
