id,name,type,query,message,overall_state,priority,tags,created,modified
1,Opera PMS response time > 500ms,metric alert,avg:opera_pms.response.time > 500,Notify IT team,OK,P3,"hotel,ops",2024-05-01T00:00:00Z,2026-10-15T00:00:00Z
mon_002,Concierge terminal CPU > 90,metric alert,avg:cpu.utilization{host:hg-concierge-terminal-01} > 90,Notify IT team,OK,P3,"hotel,ops",2024-05-01T00:00:00Z,2026-10-15T00:00:00Z
mon_003,Front desk terminal offline > 5 min,metric alert,avg:system.uptime{host:hg-front-desk-01} < 300,Notify IT team,OK,P3,"hotel,ops",2024-05-01T00:00:00Z,2026-10-15T00:00:00Z
mon_004,Wi-Fi controller reboot detected,metric alert,changes:system.reboot{host:hg-wifi-controller-01},Notify IT team,OK,P3,"hotel,ops",2024-05-01T00:00:00Z,2026-10-15T00:00:00Z
mon_005,Key encoder error rate > 5%,metric alert,avg:key_encoder.error_rate > 0.05,Notify IT team,OK,P3,"hotel,ops",2024-05-01T00:00:00Z,2026-10-15T00:00:00Z
mon_006,HVAC north temp out of range,metric alert,avg:hvac.temp.north outside 68-72,Notify IT team,OK,P3,"hotel,ops",2024-05-01T00:00:00Z,2026-10-15T00:00:00Z
mon_007,HVAC south temp out of range,metric alert,avg:hvac.temp.south outside 68-72,Notify IT team,OK,P3,"hotel,ops",2024-05-01T00:00:00Z,2026-10-15T00:00:00Z
mon_008,CCTV storage > 85%,metric alert,avg:cctv.storage.utilization > 0.85,Notify IT team,OK,P3,"hotel,ops",2024-05-01T00:00:00Z,2026-10-15T00:00:00Z
mon_009,POS restaurant transaction spike,metric alert,avg:pos.transaction.rate > 200,Notify IT team,OK,P3,"hotel,ops",2024-05-01T00:00:00Z,2026-10-15T00:00:00Z
mon_010,Wi-Fi client count > 400,metric alert,avg:wifi.clients.count > 400,Notify IT team,OK,P3,"hotel,ops",2024-05-01T00:00:00Z,2026-10-15T00:00:00Z
