id,title,organizationId,location,workplaceType,employmentType,seniority,keywords,postedAt,applicants,description
jobs_00000,Winter interpretive prep for Dec 4 planning session with Diane.,organizationid-00000,"Bozeman, MT",workplacetype-00000,employmenttype-00000,seniority-00000,family|backcountry,2025-07-07T22:12:00Z,436,Winter interpretive prep for Dec 4 planning session with Diane.
jobs_00001,Route notes for Highline Trail — closure through Logan Pass confirmed by ranger channel.,organizationid-00001,"Whitefish, MT",workplacetype-00001,employmenttype-00001,seniority-00001,gear|safety,2025-12-31T18:54:00Z,281,Route notes for Highline Trail — closure through Logan Pass confirmed by ranger channel.
jobs_00002,Snowpack read for the Flathead: 92% of median as of last week.,organizationid-00002,"Missoula, MT",workplacetype-00002,employmenttype-00002,seniority-00002,ranger|glacier,2025-06-15T12:04:00Z,346,Snowpack read for the Flathead: 92% of median as of last week.
jobs_00003,"Kootenai Creek approach — icy above 5,000 ft, crampons recommended.",organizationid-00003,"Kalispell, MT",workplacetype-00003,employmenttype-00003,seniority-00003,winter|ranger,2026-10-16T10:48:00Z,1,"Kootenai Creek approach — icy above 5,000 ft, crampons recommended."
jobs_00004,Guest talk feedback averaged 4.1 stars for the geology segment.,organizationid-00004,"Missoula, MT",workplacetype-00004,employmenttype-00004,seniority-00004,glacier|family,2025-09-05T21:10:00Z,125,Guest talk feedback averaged 4.1 stars for the geology segment.
jobs_00005,Photograph column for Backcountry Photog Slack — Milky Way over Flathead.,organizationid-00005,"West Glacier, MT",workplacetype-00005,employmenttype-00005,seniority-00005,ranger|photography,2025-05-04T03:35:00Z,291,Photograph column for Backcountry Photog Slack — Milky Way over Flathead.
jobs_00006,Draft coordination note to Neil re: shift coverage for Dec dates.,organizationid-00006,"Kalispell, MT",workplacetype-00006,employmenttype-00006,seniority-00006,family|gear,2026-11-11T21:59:00Z,81,Draft coordination note to Neil re: shift coverage for Dec dates.
jobs_00007,Post-season interpretive review — evening astronomy programs held attention.,organizationid-00007,"Missoula, MT",workplacetype-00007,employmenttype-00007,seniority-00007,winter|gear,2025-02-23T13:06:00Z,182,Post-season interpretive review — evening astronomy programs held attention.
jobs_00008,Route log reconciliation — Bowman Lake conditions Nov 2025 vs Nov 2026.,organizationid-00008,"Bozeman, MT",workplacetype-00008,employmenttype-00008,seniority-00008,backcountry|winter,2025-06-08T12:10:00Z,11,Route log reconciliation — Bowman Lake conditions Nov 2025 vs Nov 2026.
jobs_00009,Materials budget: 6 pairs microspikes at $79 each — under approval threshold.,organizationid-00009,"Kalispell, MT",workplacetype-00009,employmenttype-00009,seniority-00009,safety|glacier,2025-05-23T10:20:00Z,98,Materials budget: 6 pairs microspikes at $79 each — under approval threshold.
jobs_00010,Winter interpretive prep for Dec 4 planning session with Diane.,organizationid-00010,"West Glacier, MT",workplacetype-00010,employmenttype-00010,seniority-00010,gear|interp,2026-09-10T16:12:00Z,395,Winter interpretive prep for Dec 4 planning session with Diane.
jobs_00011,Route notes for Highline Trail — closure through Logan Pass confirmed by ranger channel.,organizationid-00011,"Bozeman, MT",workplacetype-00011,employmenttype-00011,seniority-00011,winter|trail,2025-11-30T22:22:00Z,457,Route notes for Highline Trail — closure through Logan Pass confirmed by ranger channel.
jobs_00012,Snowpack read for the Flathead: 92% of median as of last week.,organizationid-00012,"Whitefish, MT",workplacetype-00012,employmenttype-00012,seniority-00012,ranger|interp,2025-08-10T20:01:00Z,425,Snowpack read for the Flathead: 92% of median as of last week.
jobs_00013,"Kootenai Creek approach — icy above 5,000 ft, crampons recommended.",organizationid-00013,"Bozeman, MT",workplacetype-00013,employmenttype-00013,seniority-00013,family|backcountry,2025-03-25T18:03:00Z,236,"Kootenai Creek approach — icy above 5,000 ft, crampons recommended."
jobs_00014,Guest talk feedback averaged 4.1 stars for the geology segment.,organizationid-00014,"Bozeman, MT",workplacetype-00014,employmenttype-00014,seniority-00014,glacier|photography,2024-12-24T17:50:00Z,475,Guest talk feedback averaged 4.1 stars for the geology segment.
jobs_00015,Photograph column for Backcountry Photog Slack — Milky Way over Flathead.,organizationid-00015,"Kalispell, MT",workplacetype-00015,employmenttype-00015,seniority-00015,safety|interp,2025-07-04T08:07:00Z,161,Photograph column for Backcountry Photog Slack — Milky Way over Flathead.
jobs_00016,Draft coordination note to Neil re: shift coverage for Dec dates.,organizationid-00016,"Missoula, MT",workplacetype-00016,employmenttype-00016,seniority-00016,glacier|photography,2024-11-15T02:18:00Z,498,Draft coordination note to Neil re: shift coverage for Dec dates.
jobs_00017,Post-season interpretive review — evening astronomy programs held attention.,organizationid-00017,"Missoula, MT",workplacetype-00017,employmenttype-00017,seniority-00017,backcountry|interp,2025-03-06T11:30:00Z,196,Post-season interpretive review — evening astronomy programs held attention.
jobs_00018,Route log reconciliation — Bowman Lake conditions Nov 2025 vs Nov 2026.,organizationid-00018,"Missoula, MT",workplacetype-00018,employmenttype-00018,seniority-00018,family|trail,2026-06-01T05:14:00Z,102,Route log reconciliation — Bowman Lake conditions Nov 2025 vs Nov 2026.
jobs_00019,Materials budget: 6 pairs microspikes at $79 each — under approval threshold.,organizationid-00019,"Bozeman, MT",workplacetype-00019,employmenttype-00019,seniority-00019,ranger|interp,2026-09-01T21:05:00Z,129,Materials budget: 6 pairs microspikes at $79 each — under approval threshold.
jobs_00020,Winter interpretive prep for Dec 4 planning session with Diane.,organizationid-00020,"West Glacier, MT",workplacetype-00020,employmenttype-00020,seniority-00020,safety|glacier,2026-07-02T05:24:00Z,222,Winter interpretive prep for Dec 4 planning session with Diane.
jobs_00021,Route notes for Highline Trail — closure through Logan Pass confirmed by ranger channel.,organizationid-00021,"Missoula, MT",workplacetype-00021,employmenttype-00021,seniority-00021,trail|ranger,2025-10-07T07:10:00Z,422,Route notes for Highline Trail — closure through Logan Pass confirmed by ranger channel.
jobs_00022,Snowpack read for the Flathead: 92% of median as of last week.,organizationid-00022,"Kalispell, MT",workplacetype-00022,employmenttype-00022,seniority-00022,gear|trail,2024-12-20T02:38:00Z,218,Snowpack read for the Flathead: 92% of median as of last week.
jobs_00023,"Kootenai Creek approach — icy above 5,000 ft, crampons recommended.",organizationid-00023,"West Glacier, MT",workplacetype-00023,employmenttype-00023,seniority-00023,glacier|family,2025-04-14T03:29:00Z,153,"Kootenai Creek approach — icy above 5,000 ft, crampons recommended."
jobs_00024,Guest talk feedback averaged 4.1 stars for the geology segment.,organizationid-00024,"West Glacier, MT",workplacetype-00024,employmenttype-00024,seniority-00024,photography|safety,2024-10-24T13:49:00Z,425,Guest talk feedback averaged 4.1 stars for the geology segment.
jobs_00025,Photograph column for Backcountry Photog Slack — Milky Way over Flathead.,organizationid-00025,"Kalispell, MT",workplacetype-00025,employmenttype-00025,seniority-00025,gear|trail,2024-09-07T01:26:00Z,378,Photograph column for Backcountry Photog Slack — Milky Way over Flathead.
jobs_00026,Draft coordination note to Neil re: shift coverage for Dec dates.,organizationid-00026,"Whitefish, MT",workplacetype-00026,employmenttype-00026,seniority-00026,ranger|backcountry,2026-08-15T09:31:00Z,57,Draft coordination note to Neil re: shift coverage for Dec dates.
jobs_00027,Post-season interpretive review — evening astronomy programs held attention.,organizationid-00027,"Missoula, MT",workplacetype-00027,employmenttype-00027,seniority-00027,safety|trail,2025-02-12T07:50:00Z,273,Post-season interpretive review — evening astronomy programs held attention.
