Author	Year	Country	Study_Type	Sample_Size	Setting	Continuity_Model	Primary_Outcome_Measure	Key_Result	Evidence_Level	Notes
Sandall et al.	2024	Multinational	Cochrane systematic review and meta-analysis	17,674	Mixed hospital and community	Midwife-led continuity of carer	Preterm birth, mode of birth, maternal satisfaction	Preterm birth RR 0.76 (CI 0.64 to 0.91). Higher spontaneous vaginal birth rate. Higher maternal satisfaction. No difference in CS rate or neonatal mortality.	Level 1	Updated from 2016 review. 15 RCTs included. Most robust evidence base.
Allen et al.	2021	Australia	RCT (COSMOS trial)	2,137	Hospital and community	Caseload midwifery	Mode of birth, analgesia, intervention rate	Reduced epidural use, reduced augmentation, reduced instrumental birth. No harm for any subgroup including moderate-risk.	Level 1	Included moderate-risk women, broadening applicability of findings.
Tracy et al.	2013	Australia	RCT (M@NGO trial)	1,748	Hospital	Caseload midwifery	Cost and clinical outcomes	Caseload model broadly cost-neutral or modestly less costly than standard care. Reduced intervention rates.	Level 1	Economic evidence alongside clinical outcomes.
Forster et al.	2019	Australia	Cohort study	4,997	Community	Team midwifery	Maternal and neonatal outcomes	Similar outcomes to caseload model for normal birth rate, higher than standard care.	Level 2	Team model more compatible with rostered working, partial continuity.
NHS England Care Quality Commission	2023	England	National survey	Over 20,000	Hospital and community	Better Births implementation	Maternal experience and satisfaction	Women who knew their midwife during labour reported significantly higher satisfaction. Named midwife model unevenly implemented.	Level 3	Survey data, not RCT. Implementation barriers noted.
Homer et al.	2017	New Zealand	Systematic review	Over 10,000 across studies	Community and hospital	Lead maternity carer (LMC) model	Maternal satisfaction, mode of birth, neonatal outcomes	High satisfaction. Normal birth rates significantly higher than hospital-based standard care for equivalent risk groups.	Level 2	NZ LMC model closest international comparator to proposed Galway model.
Walsh and Devane	2012	Ireland	Cochrane review update	Subset of 10 trials	Mixed	Midwife-led care	Preterm birth, analgesia, maternal satisfaction	Consistent direction of effect favoring midwife-led care. Insufficient Irish-specific RCT evidence at that time.	Level 2	Irish context underpowered at time of publication. Cochrane 2024 update more applicable.
RCOG and RCM	2019	United Kingdom	Guidance document	Not applicable	All settings	Continuity of carer models	Policy and workforce requirements	Identifies workforce flexibility, caseload size of 35 to 40 per WTE midwife, and out-of-hours compensation as essential enablers.	Level 4	Policy and guidance, not primary research. Useful for implementation planning.
Department of Health Ireland	2016	Ireland	National strategy	Not applicable	National	Better Outcomes Better Births strategy	Service organisation and continuity as objective	Named midwife by 2020 as target. Target not met by 2025. Implementation variable across HSE regions.	Level 4	Grey literature. Policy intent vs implementation gap is central to this review.
Renfrew et al.	2014	Global	Lancet series	Global review	Multiple	Skilled midwifery care	Coverage, quality, and outcomes	Full package of midwifery care could prevent 83 percent of maternal deaths, stillbirths, and neonatal deaths globally. Continuity central to full package.	Level 2	Broader than continuity of carer specifically but provides global framing.
Massachusetts Birth Centre Collaborative	2022	United States	Cohort study	3,211	Freestanding birth centre	Midwifery-led freestanding centre	Transfer rate, mode of birth, neonatal outcomes	Transfer rate to hospital 12.4 percent, within international benchmarks. CS rate 5.2 percent for centre births. No increase in adverse neonatal outcomes.	Level 2	Directly relevant to proposed Galway model. Transfer protocol design informed by this.
Boston Midwifery Research Exchange	2023	United States	Mixed methods	412 families	Freestanding birth centre and community	Continuity of carer, freestanding centre	Family experience and transition to parenthood	Strong qualitative evidence for relational benefit of known midwife at birth. Quantitative outcomes consistent with wider literature.	Level 2	Exchange cohort. Author participated in data gathering phase, September 2025.
