SKU	Category	Item	On_Hand	Unit	Reorder_Point	Unit_Cost	Last_Counted
EL-101	Electrical	200A main breaker panel	2	each	1	185.00	2026-02-01
EL-102	Electrical	100A sub panel	1	each	1	92.00	2026-02-01
EL-110	Electrical	Breaker, single pole 20A	36	each	20	6.50	2026-02-01
EL-111	Electrical	Breaker, double pole 50A	8	each	6	22.00	2026-02-01
EL-120	Electrical	Romex 12-2, 250ft roll	4	roll	2	78.00	2026-02-01
EL-121	Electrical	Romex 10-2, 250ft roll	2	roll	2	118.00	2026-02-01
EL-130	Electrical	Receptacle, tamper resistant	48	each	30	2.10	2026-02-01
EL-131	Electrical	GFCI receptacle	14	each	10	16.00	2026-02-01
EL-140	Electrical	EMT conduit, 1/2in 10ft	22	stick	15	7.40	2026-02-01
EL-150	Electrical	Wire nuts, assorted	6	box	4	9.00	2026-02-01
BK-201	Beekeeping	Deep frames, assembled	38	each	40	2.25	2026-02-01
BK-202	Beekeeping	Medium frames, assembled	54	each	40	2.10	2026-02-01
BK-203	Beekeeping	Wax foundation sheets	120	sheet	80	1.15	2026-02-01
BK-210	Beekeeping	Winter fondant, 2lb	14	block	12	6.00	2026-02-01
BK-211	Beekeeping	Varroa treatment strips	3	pack	6	34.00	2026-02-01
BK-220	Beekeeping	Mouse guards	9	each	6	3.50	2026-02-01
WD-301	Woodworking	Maple, 4/4 board ft	46	bd ft	30	5.50	2026-02-01
WD-302	Woodworking	Walnut, 4/4 board ft	28	bd ft	20	9.00	2026-02-01
WD-310	Woodworking	Food safe mineral oil	5	bottle	3	8.50	2026-02-01
