kit_sku,kit_name,component_sku,component_name,qty_per_kit
KIT-SHOW-A,Showcase Signature Kit A,CMP-001,Gel base coat 15ml studio,1
KIT-SHOW-A,Showcase Signature Kit A,CMP-002,Gel top coat glossy 15ml,1
KIT-SHOW-A,Showcase Signature Kit A,CMP-004,Gel color rose quartz 8ml,1
KIT-SHOW-A,Showcase Signature Kit A,CMP-007,Gel color cream porcelain 8ml,1
KIT-SHOW-A,Showcase Signature Kit A,CMP-012,Fine liner brush 00,1
KIT-SHOW-A,Showcase Signature Kit A,CMP-026,3D floral pre-made petal set,1
KIT-SHOW-A,Showcase Signature Kit A,CMP-034,Kit tote canvas showcase edition,1
KIT-SHOW-A,Showcase Signature Kit A,CMP-037,Instruction card printed A5,1
KIT-SHOW-B,Showcase Competition Kit B,CMP-001,Gel base coat 15ml studio,1
KIT-SHOW-B,Showcase Competition Kit B,CMP-003,Gel top coat matte 15ml,1
KIT-SHOW-B,Showcase Competition Kit B,CMP-005,Gel color midnight plum 8ml,1
KIT-SHOW-B,Showcase Competition Kit B,CMP-008,Gel color forest teal 8ml,1
KIT-SHOW-B,Showcase Competition Kit B,CMP-010,Sculpt gel clear builder 30ml,1
KIT-SHOW-B,Showcase Competition Kit B,CMP-016,Nail form roll 300ct,1
KIT-SHOW-B,Showcase Competition Kit B,CMP-023,Chrome pigment silver 2g,1
KIT-SHOW-B,Showcase Competition Kit B,CMP-027,Rhinestone assortment 720pc,1
KIT-SHOW-B,Showcase Competition Kit B,CMP-034,Kit tote canvas showcase edition,1
KIT-SHOW-B,Showcase Competition Kit B,CMP-037,Instruction card printed A5,1
KIT-SHOW-B,Showcase Competition Kit B,CMP-040,Bottle nail oil showcase 10ml,1
KIT-STARTER,Cohort Starter Kit,CMP-001,Gel base coat 15ml studio,1
KIT-STARTER,Cohort Starter Kit,CMP-002,Gel top coat glossy 15ml,1
KIT-STARTER,Cohort Starter Kit,CMP-019,Prep dehydrator 60ml,1
KIT-STARTER,Cohort Starter Kit,CMP-020,Prep primer acid free 15ml,1
KIT-STARTER,Cohort Starter Kit,CMP-021,Gel cleanser 100ml,1
KIT-STARTER,Cohort Starter Kit,CMP-022,Lint free wipes 300ct,1
KIT-STARTER,Cohort Starter Kit,CMP-031,Nail file 180 240 pack 10,1
KIT-STARTER,Cohort Starter Kit,CMP-032,Buffer block 4 way pack 6,1
KIT-STARTER,Cohort Starter Kit,CMP-033,Kit tote canvas branded,1
KIT-STARTER,Cohort Starter Kit,CMP-039,Bottle nail oil vitamin 10ml,1
KIT-JUDGE,Judge Table Setup Kit,CMP-002,Gel top coat glossy 15ml,1
KIT-JUDGE,Judge Table Setup Kit,CMP-013,Detail liner brush 000,2
KIT-JUDGE,Judge Table Setup Kit,CMP-015,Silicone shaper set 4pc,1
KIT-JUDGE,Judge Table Setup Kit,CMP-025,Foil transfer holo sheet pack,1
KIT-JUDGE,Judge Table Setup Kit,CMP-036,Insert tray molded foam large,1
