id,username,name,description,verified,protected,location,profile_image_url,created_at,followers_count,following_count,tweet_count
1001,jessepagephoto,Jesse Page,Food photographer NYC. Estrela cookbook in progress.,true,false,Brooklyn NY,/img/jp.png,2018-04-12T10:00:00Z,48127,312,1284
1002,alex_eats_nyc,Alex Cho,Food editor at Eater New York,true,false,New York NY,/img/ac.png,2015-02-01T10:00:00Z,92345,1402,8421
1003,mia_nytfood,Mia Park,NYT Food desk,true,false,Brooklyn NY,/img/mp.png,2014-07-12T10:00:00Z,110234,845,5210
1004,casey_bonap,Casey Reed,Bon Appetit editor,true,false,New York NY,/img/cr.png,2013-09-22T10:00:00Z,78021,1102,6321
1005,jules_eater,Jules Lin,Eater feature writer,true,false,Queens NY,/img/jl.png,2017-11-04T10:00:00Z,41023,612,3128
1006,talia_edgewater,Talia Cross,Editor in Chief Edgewater Food Journal,true,false,Brooklyn NY,/img/tc.png,2019-03-15T10:00:00Z,34521,421,2104
1007,marcus_edgewater,Marcus Chen,Features editor Edgewater Food Journal,true,false,Brooklyn NY,/img/mc.png,2019-04-12T10:00:00Z,22310,312,1502
1008,priya_tangerine,Priya Shah,Senior food editor Tangerine,true,false,New York NY,/img/ps.png,2020-01-08T10:00:00Z,18450,245,982
1009,elena_tangerine,Elena Ruiz,Photo editor Tangerine,true,false,New York NY,/img/er.png,2020-02-12T10:00:00Z,9821,412,612
1010,tangerinemag,Tangerine Magazine,Independent food and culture magazine,true,false,New York NY,/img/tm.png,2014-05-04T10:00:00Z,184320,248,12450
1011,oatly_us,Oatly US,Oat milk and oat dairy,true,false,Malmo SE,/img/oa.png,2016-09-22T10:00:00Z,421000,320,24100
1012,saltandpress,Salt + Press,Independent cookbook publisher,true,false,New York NY,/img/sp.png,2017-03-12T10:00:00Z,32102,142,2812
1013,edgewaterfood,Edgewater Food Journal,NYC food longform,true,false,Brooklyn NY,/img/ej.png,2018-12-04T10:00:00Z,28011,256,1842
