id,subject,organizer_name,organizer_address,location,start_date,end_date,is_all_day,is_online,attendees
events_00000,Winter interpretive prep for Dec 4 planning session with Diane.,organizer_name-00000,organizer_address-00000,"Missoula, MT",2024-12-02T05:13:00Z,2026-11-01T07:34:00Z,False,False,attendees-00000
events_00001,Route notes for Highline Trail — closure through Logan Pass confirmed by ranger channel.,organizer_name-00001,organizer_address-00001,"Bozeman, MT",2026-03-12T04:59:00Z,2026-07-22T05:13:00Z,False,False,attendees-00001
events_00002,Snowpack read for the Flathead: 92% of median as of last week.,organizer_name-00002,organizer_address-00002,"Missoula, MT",2025-12-17T17:38:00Z,2026-01-23T21:39:00Z,True,False,attendees-00002
events_00003,"Kootenai Creek approach — icy above 5,000 ft, crampons recommended.",organizer_name-00003,organizer_address-00003,"Bozeman, MT",2026-05-04T10:36:00Z,2025-12-22T17:55:00Z,True,False,attendees-00003
events_00004,Guest talk feedback averaged 4.1 stars for the geology segment.,organizer_name-00004,organizer_address-00004,"Whitefish, MT",2026-09-08T08:13:00Z,2025-12-27T19:48:00Z,False,False,attendees-00004
events_00005,Photograph column for Backcountry Photog Slack — Milky Way over Flathead.,organizer_name-00005,organizer_address-00005,"Whitefish, MT",2024-10-11T22:37:00Z,2026-04-07T11:02:00Z,True,True,attendees-00005
events_00006,Draft coordination note to Neil re: shift coverage for Dec dates.,organizer_name-00006,organizer_address-00006,"Bozeman, MT",2026-08-02T11:16:00Z,2024-12-07T03:12:00Z,False,False,attendees-00006
events_00007,Post-season interpretive review — evening astronomy programs held attention.,organizer_name-00007,organizer_address-00007,"Missoula, MT",2025-08-11T02:23:00Z,2025-11-07T15:47:00Z,False,False,attendees-00007
events_00008,Route log reconciliation — Bowman Lake conditions Nov 2025 vs Nov 2026.,organizer_name-00008,organizer_address-00008,"Whitefish, MT",2025-05-05T16:49:00Z,2026-07-04T17:32:00Z,False,False,attendees-00008
events_00009,Materials budget: 6 pairs microspikes at $79 each — under approval threshold.,organizer_name-00009,organizer_address-00009,"Bozeman, MT",2025-04-25T10:36:00Z,2026-10-09T04:31:00Z,False,True,attendees-00009
events_00010,Winter interpretive prep for Dec 4 planning session with Diane.,organizer_name-00010,organizer_address-00010,"Kalispell, MT",2026-02-07T13:58:00Z,2026-03-30T17:55:00Z,True,False,attendees-00010
events_00011,Route notes for Highline Trail — closure through Logan Pass confirmed by ranger channel.,organizer_name-00011,organizer_address-00011,"Kalispell, MT",2026-05-20T00:00:00Z,2024-11-15T16:02:00Z,False,True,attendees-00011
events_00012,Snowpack read for the Flathead: 92% of median as of last week.,organizer_name-00012,organizer_address-00012,"West Glacier, MT",2024-10-02T11:29:00Z,2026-08-12T09:12:00Z,True,False,attendees-00012
events_00013,"Kootenai Creek approach — icy above 5,000 ft, crampons recommended.",organizer_name-00013,organizer_address-00013,"Kalispell, MT",2024-10-28T11:31:00Z,2025-01-15T14:29:00Z,False,False,attendees-00013
events_00014,Guest talk feedback averaged 4.1 stars for the geology segment.,organizer_name-00014,organizer_address-00014,"West Glacier, MT",2025-03-15T08:44:00Z,2025-08-11T07:51:00Z,True,False,attendees-00014
events_00015,Photograph column for Backcountry Photog Slack — Milky Way over Flathead.,organizer_name-00015,organizer_address-00015,"Bozeman, MT",2026-10-13T14:24:00Z,2025-06-08T03:11:00Z,False,False,attendees-00015
events_00016,Draft coordination note to Neil re: shift coverage for Dec dates.,organizer_name-00016,organizer_address-00016,"Kalispell, MT",2026-08-26T18:13:00Z,2024-11-19T08:37:00Z,False,True,attendees-00016
events_00017,Post-season interpretive review — evening astronomy programs held attention.,organizer_name-00017,organizer_address-00017,"Missoula, MT",2025-06-04T12:53:00Z,2024-11-12T06:43:00Z,False,False,attendees-00017
