id,page_id,parent_block_id,type,text,order,created_time,last_edited_time,has_children,checked
block_c4097d6d07,page_client_health_methodology,,paragraph,Composite scoring rule for Client Health Tracker.,1,2026-09-01T10:00:00.000Z,2026-10-11T20:00:00.000Z,false,
block_1328141126,page_client_health_methodology,,paragraph,"days_since_touch weighted 0.3, value_tier weighted 0.4, dairy_relevance weighted 0.1, stage progression weighted 0.2.",2,2026-09-01T10:00:00.000Z,2026-10-11T20:00:00.000Z,false,
block_eb67cad324,page_client_health_methodology,,paragraph,"Stage stalls greater than 14 days flagged amber, greater than 30 flagged red.",3,2026-09-01T10:00:00.000Z,2026-10-11T20:00:00.000Z,false,
block_1f9f4d7e52,page_client_health_methodology,,paragraph,Retainer relationships never below yellow..,4,2026-09-01T10:00:00.000Z,2026-10-11T20:00:00.000Z,false,
block_143db6923d,page_last_week_review,,paragraph,Week of Oct 4 was Estrela prep + Salt+Press M3 milestone push.,5,2026-09-01T10:00:00.000Z,2026-10-11T20:00:00.000Z,false,
block_e3b2fd38c2,page_last_week_review,,paragraph,Tomás commission verified clean against ledger.,6,2026-09-01T10:00:00.000Z,2026-10-11T20:00:00.000Z,false,
block_36d5640018,page_last_week_review,,paragraph,Stripe Q3 close on track pending payout queue resolution.,7,2026-09-01T10:00:00.000Z,2026-10-11T20:00:00.000Z,false,
block_a163dbdab7,page_last_week_review,,paragraph,Oatly Oct deliverable pacing fine..,8,2026-09-01T10:00:00.000Z,2026-10-11T20:00:00.000Z,false,
block_4668a7e7b1,page_focal_oct_11_wrap,,paragraph,Kitchen counter session.,9,2026-09-01T10:00:00.000Z,2026-10-11T20:00:00.000Z,false,
block_48202586d8,page_focal_oct_11_wrap,,paragraph,Estrela reshoot done Sat 10/10.,10,2026-09-01T10:00:00.000Z,2026-10-11T20:00:00.000Z,false,
block_c26ff57c1b,page_focal_oct_11_wrap,,paragraph,27 plates confirmed.,11,2026-09-01T10:00:00.000Z,2026-10-11T20:00:00.000Z,false,
block_1012676c93,page_focal_oct_11_wrap,,paragraph,Tangerine selects deck close.,12,2026-09-01T10:00:00.000Z,2026-10-11T20:00:00.000Z,false,
block_6e3cbff8f6,page_focal_oct_11_wrap,,paragraph,Oatly uplift waiting on Tomás.,13,2026-09-01T10:00:00.000Z,2026-10-11T20:00:00.000Z,false,
block_720db71b91,page_focal_oct_11_wrap,,paragraph,Praxa kickoff Mon 2PM..,14,2026-09-01T10:00:00.000Z,2026-10-11T20:00:00.000Z,false,
block_ad3155a062,page_8439f8e4d7,,paragraph,Fall issue feature in final color round.,1,2026-06-01T10:00:00.000Z,2026-10-11T17:30:00.000Z,false,
block_1f80771c21,page_8439f8e4d7,,paragraph,Spread 11 needs tighter crop per Elena..,2,2026-06-01T10:00:00.000Z,2026-10-11T17:30:00.000Z,false,
block_875f1cf956,page_90da6bd431,,paragraph,Q4 rights renewal in flight.,1,2026-06-01T10:00:00.000Z,2026-10-10T15:20:00.000Z,false,
block_79036cc72e,page_90da6bd431,,paragraph,Oct deliverable due Mon 10/12 10:30AM.,2,2026-06-01T10:00:00.000Z,2026-10-10T15:20:00.000Z,false,
