id,customer,amount,currency,status,paid,refunded,amount_refunded,description,payment_intent,created
ch_3Aurora01,cus_Nb1Aurora,1900,usd,succeeded,true,false,0,Starter Monthly,pi_3Aurora01,1717286400
ch_3Helix01,cus_Nb2Helix,29900,usd,succeeded,true,false,0,Enterprise Monthly,pi_3Helix01,1717372800
ch_3Lumen01,cus_Nb3Lumen,4900,usd,succeeded,true,true,4900,Pro Monthly refunded,pi_3Lumen01,1717459200
ch_3Pelagic01,cus_Nb4Pelagic,12500,usd,failed,false,false,0,Net-30 charge attempt,pi_3Pelagic01,1717545600
ch_3Quanta01,cus_Nb6Quanta,49000,usd,succeeded,true,false,0,Pro Annual,pi_3Quanta01,1717632000
ch_3Aurora02,cus_Nb1Aurora,9900,usd,succeeded,true,true,2000,POS Bundle partial refund,pi_3Aurora02,1717718400
ch_3Verdant01,cus_Nb5Verdant,4900,usd,pending,false,false,0,Pro Monthly pending,pi_3Verdant01,1717804800
ch_3Olivia01,cus_WebOlivia,6500,usd,succeeded,true,false,0,Custom Cake Small,pi_3Olivia01,1729001000
ch_3Daniel01,cus_WebDaniel,12000,usd,succeeded,true,false,0,Custom Cake Large,pi_3Daniel01,1729501000
ch_3Renee01,cus_WebRenee,3600,usd,succeeded,true,false,0,Cupcake Dozen,pi_3Renee01,1730101000
ch_3Theo01,cus_WebTheo,2800,usd,succeeded,true,false,0,Cookie Gift Box,pi_3Theo01,1730701000
ch_3Grace01,cus_WebGrace,5000,usd,succeeded,true,false,0,Online Gift Card,pi_3Grace01,1731301000
ch_3Victor01,cus_WebVictor,6500,usd,succeeded,true,true,6500,Custom Cake refunded,pi_3Victor01,1731901000
ch_3Cobalt01,cus_Nb7Cobalt,9900,usd,succeeded,true,false,0,Team Monthly,pi_3Cobalt01,1728001000
ch_3Helix02,cus_Nb2Helix,29900,usd,succeeded,true,false,0,Enterprise Monthly,pi_3Helix02,1720051200
ch_3Quanta02,cus_Nb6Quanta,49000,usd,succeeded,true,false,0,Pro Annual renewal,pi_3Quanta02,1738368000
