response_id,submitted_date,channel,ward,language,respondent_type,corridor_referenced,sentiment,top_concern,secondary_concern,verbatim_snippet,reached_via,delivery_id_ref
RSP-100091,2026-04-06,email_form,Mile End,en,individual_resident,Rachel,support,noise,enforcement,A protected lane on Saint Denis is long overdue,social_share,SMS-0500351
RSP-100108,2026-04-06,portal,Plateau-Mont-Royal,en,business_owner,Rachel,support,tree_canopy,,Trees and benches will make this corridor liveable again,reminder_email,EML-0502359
RSP-100342,2026-04-06,portal,Mile End,fr,individual_resident,Mont_Royal,concern,accessibility,delivery_access,L hiver la piste devient inutilisable si le deneigement suit pas,social_share,SMS-0900139
RSP-100497,2026-04-06,portal,Plateau-Mont-Royal,en,community_group,Saint_Joseph,support,pedestrian_safety,noise,Transit stops need to be redesigned for accessibility,walkup,EML-0502068
RSP-100747,2026-04-06,intercept_survey,Plateau-Mont-Royal,fr,business_owner,Saint_Denis,concern,bike_lane_safety,delivery_access,L hiver la piste devient inutilisable si le deneigement suit pas,reminder_sms,SMS-0500761
RSP-101049,2026-04-06,intercept_survey,Mile End,en,individual_resident,Rachel,concern,parking_loss,,Pedestrian safety at the Mont Royal intersection is not addressed enough,meeting_flyer,SMS-0500003
RSP-101183,2026-04-06,sms_reply,Plateau-Mont-Royal,en,individual_resident,Rachel,strong_support,transit_frequency,parking_loss,Transit stops need to be redesigned for accessibility,walkup,
RSP-101262,2026-04-06,intercept_survey,Mile End,en,individual_resident,Saint_Joseph,support,snow_removal,tree_canopy,As a small business owner I welcome slower traffic and more foot traffic,direct_link,SMS-0500513
RSP-101340,2026-04-06,sms_reply,Plateau-Mont-Royal,en,advocacy_group,Saint_Laurent_North,concern,pedestrian_safety,accessibility,Noise from patios and cyclists after hours is a real concern,reminder_email,SMS-0500563
RSP-101832,2026-04-06,sms_reply,Milton-Parc,fr,individual_resident,Multiple,neutral,tree_canopy,delivery_access,Le nouveau design de l arret rendra le service beaucoup plus fiable,walkup,SMS-0500869
RSP-101848,2026-04-06,sms_reply,Plateau-Mont-Royal,fr,individual_resident,Rachel,neutral,transit_frequency,snow_removal,Le nouveau design de l arret rendra le service beaucoup plus fiable,social_share,SMS-0501093
RSP-102386,2026-04-06,intercept_survey,Mile End,fr,individual_resident,Rachel,strong_opposition,snow_removal,noise,Les taxis et le transport adapte doivent garder acces,social_share,
RSP-102440,2026-04-06,intercept_survey,Plateau-Mont-Royal,fr,individual_resident,Rachel,concern,pedestrian_safety,,Le bruit des terrasses jusque tard le soir est deja un enjeu,reminder_email,
RSP-102522,2026-04-06,sms_reply,Plateau-Mont-Royal,en,individual_resident,Mont_Royal,strong_support,enforcement,delivery_access,Please keep the plan strong the neighbourhood needs this,portal_search,SMS-0501263
RSP-102688,2026-04-06,intercept_survey,Jeanne-Mance,en,individual_resident,Rachel,strong_support,pedestrian_safety,parking_loss,As a small business owner I welcome slower traffic and more foot traffic,social_share,SMS-0501221
RSP-102944,2026-04-06,sms_reply,Mile End,en,individual_resident,Saint_Denis,support,pedestrian_safety,noise,Please keep the plan strong the neighbourhood needs this,direct_link,SMS-0501050
RSP-103029,2026-04-06,portal,Milton-Parc,fr,advocacy_group,None,support,transit_frequency,,Ma petite entreprise gagne quand le quartier est marchable,reminder_email,SMS-0501331
RSP-103131,2026-04-06,sms_reply,Plateau-Mont-Royal,en,business_owner,Saint_Denis,concern,transit_frequency,,Older residents on my block will not be able to reach services,social_share,EML-0501793
RSP-103266,2026-04-06,email_form,Plateau-Mont-Royal,fr,business_owner,Saint_Laurent_North,support,delivery_access,accessibility,Je marche cette rue tous les matins et une piste protegee change tout,social_share,EML-0502371
RSP-103292,2026-04-06,sms_reply,Plateau-Mont-Royal,en,individual_resident,Saint_Denis,support,displacement_risk,parking_loss,Please keep the plan strong the neighbourhood needs this,portal_search,SMS-0500027
RSP-103382,2026-04-06,sms_reply,Plateau-Mont-Royal,fr,individual_resident,Mont_Royal,strong_support,displacement_risk,snow_removal,Les enfants pourront enfin traverser Mont Royal sans stress,social_share,EML-0502634
RSP-100444,2026-04-07,sms_reply,Mile End,fr,individual_resident,Saint_Denis,support,bike_lane_safety,delivery_access,Il faut plus d arbres sur Saint Laurent nord et un trottoir plus large,reminder_email,SMS-0900891
RSP-100539,2026-04-07,intercept_survey,Plateau-Mont-Royal,en,business_owner,Saint_Denis,concern,parking_loss,delivery_access,Enforcement of no parking zones is inconsistent in my experience,reminder_email,SMS-0500206
RSP-100951,2026-04-07,intercept_survey,Mile End,fr,individual_resident,Mont_Royal,strong_support,pedestrian_safety,,Je marche cette rue tous les matins et une piste protegee change tout,portal_search,SMS-0500011
RSP-101031,2026-04-07,intercept_survey,Milton-Parc,en,business_owner,Mont_Royal,neutral,displacement_risk,parking_loss,Transit stops need to be redesigned for accessibility,meeting_flyer,EML-0900650
RSP-101321,2026-04-07,sms_reply,Milton-Parc,fr,individual_resident,Mont_Royal,concern,bike_lane_safety,snow_removal,Il faut penser aux locataires deja fragiles sur le corridor,walkup,SMS-0500289
RSP-101512,2026-04-07,community_meeting_signin,Mile End,es,individual_resident,Multiple,strong_support,bike_lane_safety,delivery_access,seguridad para los peatones es prioridad,reminder_sms,SMS-0501066
