risk_id,category,description,likelihood,impact,mitigation,owner,status,opened_date,target_close_date
RR-EV-001,evidence,"Neonatal thermoregulation evidence for the R2 range (36.8-37.5 C) rests on two 2024 cohorts and one 2025 systematic review. Confidence interval overlap means causal reduction is not claimed. Risk that a future study weakens the case.",low,medium,"Monitor evidence log quarterly. Reopen synthesis if a class-A study reports a contradictory finding. Do not claim a causal benefit in R2 language.",Helen Newton,open,2026-06-14,2027-10-06
RR-EV-002,evidence,"Long-horizon neonatal infection follow-up beyond 28 days is held open on insufficient evidence. R2 does not claim a benefit or absence of risk in this domain.",medium,medium,"Carry as a monitored gap. Add to April 6 2027 to April 6 2029 review cycle. Watch EL-0091 and EL-0141 follow-up publications.",Helen Newton,open,2026-08-02,2029-04-06
RR-EV-003,evidence,"Two hospital guideline citations (GL-OB-2019-08 clause 4.2 and GL-OB-2021-14 clause 6.1) reference sources superseded by R2 synthesis. Downstream guideline update needed.",high,low,"Flag to guideline maintainers post approval. Not blocking for November 27 2026 decision.",Dr Henrik Olsson,open,2026-10-11,2027-06-30
RR-CL-001,clinical,"Primiparous 90-minute second-stage clarification is a documentation change, not a relaxation. Risk that ward interpretation drifts toward de facto extension of second-stage duration.",medium,medium,"Reinforce in Module 3 training. Audit second-stage durations in the primiparous water-birth cohort at three, six, and twelve months post go-live.",Malin Eriksson,open,2026-09-03,2028-04-06
RR-CL-002,clinical,"Narrower temperature range (36.8-37.5 C) may increase frequency of documented corrections during second stage. Not a safety concern, may increase documentation load.",medium,low,"Covered in Module 2 practical drill. Documentation cadence audited at six months post go-live.",Frida Holm,open,2026-10-05,2027-10-06
RR-OP-001,operational,"Training rollout may collide with seasonal staffing pressure in February 2027 if influenza or RSV increases the sick-leave rate in Cohort B window.",medium,medium,"Cohort B includes a two-week buffer inside its four-week window. Cohort B midwives may defer one module to Cohort C's overlap week.",Malin Eriksson,open,2026-10-20,2027-03-08
RR-OP-002,operational,"Recovery day protection may push a small number of Cohort A midwives into make-up slots inside their window.",low,low,"Rota built to respect recovery days without exception. Make-up slots pre-scheduled in each cohort window.",Malin Eriksson,open,2026-10-24,2027-02-08
RR-EQ-001,equipment,"Pool B seal replacement biomed sign-off scheduled for November 24 2026. If sign-off slips, Cohort A Modules 5 and 6 cannot proceed on both pools.",low,medium,"Fall back to Pool A only for Cohort A Modules 1 through 4. Reschedule Modules 5 and 6 to a later slot in the Cohort A window pending sign-off.",Biomed lead,open,2026-08-22,2026-11-24
RR-EQ-002,equipment,"Service desk queue and department board diverged on Pool B and thermometer THERM-B status by two-week lag. Process gap, not clinical.",medium,low,"Raise with service desk team. Not blocking. Working-group action item working through Q1 2027.",Helen Newton,open,2026-09-11,2027-03-30
RR-WF-001,workforce,"Working-group ownership drifted on one action item since spring 2026. Correction reflected in working_group_action_status.md.",medium,low,"Confirm ownership at the November 27 2026 meeting. Update Asana and Linear the same day.",Helen Newton,open,2026-11-10,2026-11-27
RR-WF-002,workforce,"Bank and pool staff not covered by this rollout. Abbreviated pathway needed post go-live.",medium,medium,"Abbreviated pathway drafted for post go-live rollout. Tracked separately in working-group action status.",Malin Eriksson,open,2026-11-01,2027-06-30
RR-CM-001,communications,"Obstetrics side of the department has not seen the delta table before the meeting. Risk of an unaligned discussion.",medium,medium,"Pre-meeting briefing (olsson_pre_meeting_briefing.md) to be distributed to Dr Henrik Olsson and senior midwives by November 20 2026.",Helen Newton,open,2026-11-05,2026-11-20
