"id","key","name","project_type_key","lead","description"
"10000","MRNA","mRNA-4157","business","5912fd4c:670bf00f6db3","Phase 2 individualized cancer vaccine oncology trial statistical work."
"10001","WBST","Windbridge-Stats","business","438da100:3dfdb57e26a1","General biostatistics and research support at Windbridge Partners."
"10","DVIZ","Data Visualization Pipeline","software","aaa91a41:2dade2b9daa9","Data Visualization Pipeline project workspace"
"11","BPAN","Back Pain Analysis","software","546e327f:fd432ddb5157","Back Pain Analysis project workspace"
"12","NEJM","NEJM Manuscript","software","056313f5:2226435b9c86","NEJM Manuscript project workspace"
"13","PH206","PH206 Course Materials","software","79441832:779a40f03d6a","PH206 Course Materials project workspace"
"14","IVFT","IVF Data Tracker","software","1c15857d:89a040197e2d","IVF Data Tracker project workspace"
"15","GEN","Genomics Platform","software","6d7c417c:9d937fa3ea4c","Genomics Platform project workspace"
"16","RPT","Reporting Service","software","3bd3f5f9:b29ae99778d5","Reporting Service project workspace"
"17","QA","Quality Assurance","software","7ee5e6db:33253f687bd8","Quality Assurance project workspace"
"18","INFRA","Infrastructure","software","b043bdef:4b601542262e","Infrastructure project workspace"
"19","DOCS","Documentation","software","3c8e2427:b8bbdcd2b199","Documentation project workspace"
