id,host_id,topic,type,status,start_time,duration,timezone,join_url,agenda,created_at
8001112223,zm-jason,TAVR study weekly coordinator sync,2,started,2026-09-25T09:00:00Z,30,America/New_York,https://zoom.us/j/8001112223,Agenda: TAVR study weekly coordinator sync. Duration ~60 minutes. Attendees: primary team + optional invitees. Zoom link generated at scheduling.,2026-01-15T09:00:00Z
8001112224,zm-jason,IRB renewal review,2,waiting,2026-09-28T14:00:00Z,60,America/New_York,https://zoom.us/j/8001112224,Agenda: IRB renewal review. Duration ~60 minutes. Attendees: primary team + optional invitees. Zoom link generated at scheduling.,2026-09-01T09:00:00Z
8001112225,zm-jason,Grand Rounds October prep,2,ended,2026-09-15T18:00:00Z,90,America/New_York,https://zoom.us/j/8001112225,Agenda: Grand Rounds October prep. Duration ~60 minutes. Attendees: primary team + optional invitees. Zoom link generated at scheduling.,2026-08-01T09:00:00Z
8001112226,zm-jason,M&M Conference October,2,started,2026-08-22T12:00:00Z,60,America/New_York,https://zoom.us/j/8001112226,Agenda: M&M Conference October. Duration ~60 minutes. Attendees: primary team + optional invitees. Zoom link generated at scheduling.,2026-05-06T09:00:00Z
8001112227,zm-jason,Practice partners Q3 review,2,ended,2026-03-17T13:00:00Z,30,America/New_York,https://zoom.us/j/8001112227,Agenda: Practice partners Q3 review. Duration ~60 minutes. Attendees: primary team + optional invitees. Zoom link generated at scheduling.,2026-04-05T09:00:00Z
8001112228,zm-jason,DSMB Q3 report review,2,ended,2026-07-08T14:00:00Z,30,America/New_York,https://zoom.us/j/8001112228,Agenda: DSMB Q3 report review. Duration ~60 minutes. Attendees: primary team + optional invitees. Zoom link generated at scheduling.,2026-06-19T09:00:00Z
8001112229,zm-jason,Chen fellow 1:1,2,ended,2026-04-10T15:00:00Z,90,America/New_York,https://zoom.us/j/8001112229,Agenda: Chen fellow 1:1. Duration ~60 minutes. Attendees: primary team + optional invitees. Zoom link generated at scheduling.,2026-07-06T09:00:00Z
8001112230,zm-jason,Whitfield co-PI weekly,2,ended,2026-03-17T17:00:00Z,60,America/New_York,https://zoom.us/j/8001112230,Agenda: Whitfield co-PI weekly. Duration ~60 minutes. Attendees: primary team + optional invitees. Zoom link generated at scheduling.,2026-02-23T09:00:00Z
8001112231,zm-jason,Amanda Torres coordinator update,2,waiting,2026-01-23T16:00:00Z,30,America/New_York,https://zoom.us/j/8001112231,Agenda: Amanda Torres coordinator update. Duration ~60 minutes. Attendees: primary team + optional invitees. Zoom link generated at scheduling.,2026-02-12T09:00:00Z
8001112232,zm-jason,Fellowship curriculum committee,2,started,2026-04-15T12:00:00Z,30,America/New_York,https://zoom.us/j/8001112232,Agenda: Fellowship curriculum committee. Duration ~60 minutes. Attendees: primary team + optional invitees. Zoom link generated at scheduling.,2026-04-20T09:00:00Z
8001112233,zm-jason,Site visit debrief - Riverside,2,waiting,2026-09-02T15:00:00Z,60,America/New_York,https://zoom.us/j/8001112233,Agenda: Site visit debrief - Riverside. Duration ~60 minutes. Attendees: primary team + optional invitees. Zoom link generated at scheduling.,2026-03-11T09:00:00Z
