name,language,category,status,body_text,header_text
appointment_reminder,en,UTILITY,APPROVED,Your appointment is on {{1}} at {{2}},Appointment Reminder
shift_update,en,UTILITY,APPROVED,Your shift on {{1}} has been updated to {{2}},Shift Update
pickup_confirm,en,UTILITY,APPROVED,Pickup confirmed for {{1}} at {{2}},Pickup Confirmation
school_pickup_time,en,UTILITY,APPROVED,Reminder: pickup for {{1}} today at {{2}},School Pickup
appt_reschedule,en,UTILITY,APPROVED,Your appointment on {{1}} has been rescheduled to {{2}},Reschedule Notice
permission_slip,en,UTILITY,APPROVED,Please return the permission slip for {{1}} by {{2}},Permission Slip Reminder
payment_receipt,en,UTILITY,APPROVED,Payment of {{1}} received on {{2}},Payment Receipt
event_confirmation,en,MARKETING,APPROVED,You are confirmed for {{1}} on {{2}},Event Confirmation
status_update,en,UTILITY,APPROVED,Status update: {{1}} at {{2}},Status Update
general_reminder,en,UTILITY,APPROVED,Just a reminder about {{1}} tomorrow,General Reminder
