id,parent_page_id,parent_block_id,author_id,text,created_time,resolved
cmt_r21_1,pg_r21_planning,,usr_sarah_001,Do we have Bagamoyo confirmed yet? Cover letter needs the answer.,2026-01-20T14:00:00.000Z,false
cmt_r21_2,pg_r21_planning,,usr_fritz_001,Yes Fatuma confirmed Feb 3. Adding to submission cover letter.,2026-02-04T09:00:00.000Z,false
cmt_101,pg_r21_planning,,usr_fritz_001,"Reference chase update",2026-09-01T09:00:00.000Z,false
cmt_102,pg_r21_submitted,,usr_kevin_001,"Manuscript revision list",2026-09-01T09:00:00.000Z,false
cmt_103,pg_rtss_roadmap,,usr_sarah_001,"Adding to next Colorado call",2026-09-01T09:00:00.000Z,false
cmt_104,pg_faculty_targets,,usr_fritz_001,"Confirming final figure",2026-09-01T09:00:00.000Z,false
cmt_105,pg_idweek_plan,,usr_fritz_001,"Update needed after Amendment 4",2026-09-01T09:00:00.000Z,false
cmt_106,pg_grand_rounds_outline,,usr_janet_001,"Adding to next Colorado call",2026-09-01T09:00:00.000Z,false
cmt_107,pg_bookclub_2026,,usr_sarah_001,"Sensitivity table iteration",2026-09-01T09:00:00.000Z,false
cmt_108,pg_site_kintampo_101,,usr_janet_001,"Should we archive this",2026-09-01T09:00:00.000Z,false
cmt_109,pg_site_kintampo_102,,usr_akpan_001,"@sarah can you weigh in",2026-09-01T09:00:00.000Z,false
cmt_110,pg_site_kintampo_103,,usr_janet_001,"Update needed after Amendment 4",2026-09-01T09:00:00.000Z,false
cmt_111,pg_site_kintampo_104,,usr_kevin_001,"Update needed after Amendment 4",2026-09-01T09:00:00.000Z,false
cmt_112,pg_site_kintampo_105,,usr_akpan_001,"Should we archive this",2026-09-01T09:00:00.000Z,false
cmt_113,pg_site_kintampo_106,,usr_akpan_001,"Reference chase update",2026-09-01T09:00:00.000Z,false
cmt_114,pg_site_kilifi_107,,usr_fritz_001,"Confirming final figure",2026-09-01T09:00:00.000Z,false
cmt_115,pg_site_kilifi_108,,usr_fritz_001,"Cross-check with Confluence page",2026-09-01T09:00:00.000Z,false
cmt_116,pg_site_kilifi_109,,usr_janet_001,"Adding to next Colorado call",2026-09-01T09:00:00.000Z,false
cmt_117,pg_site_kilifi_110,,usr_kevin_001,"Should we archive this",2026-09-01T09:00:00.000Z,false
cmt_118,pg_site_kilifi_111,,usr_fritz_001,"Small typo fixed",2026-09-01T09:00:00.000Z,false
cmt_119,pg_site_kilifi_112,,usr_kevin_001,"Should we archive this",2026-09-01T09:00:00.000Z,false
cmt_120,pg_site_manhica_113,,usr_akpan_001,"Small typo fixed",2026-09-01T09:00:00.000Z,false
cmt_121,pg_site_manhica_114,,usr_akpan_001,"Reviewer response tracking",2026-09-01T09:00:00.000Z,false
cmt_122,pg_site_manhica_115,,usr_janet_001,"Table needs regeneration",2026-09-01T09:00:00.000Z,false
cmt_123,pg_site_manhica_116,,usr_kevin_001,"Should we archive this",2026-09-01T09:00:00.000Z,false
cmt_124,pg_site_manhica_117,,usr_janet_001,"Reviewer response tracking",2026-09-01T09:00:00.000Z,false
cmt_125,pg_site_manhica_118,,usr_kevin_001,"Update needed after Amendment 4",2026-09-01T09:00:00.000Z,false
cmt_126,pg_site_nanoro_119,,usr_kevin_001,"Manuscript revision list",2026-09-01T09:00:00.000Z,false
cmt_127,pg_site_nanoro_120,,usr_sarah_001,"Update needed after Amendment 4",2026-09-01T09:00:00.000Z,false
cmt_128,pg_site_nanoro_121,,usr_akpan_001,"Sensitivity table iteration",2026-09-01T09:00:00.000Z,false
cmt_129,pg_site_nanoro_122,,usr_sarah_001,"Sensitivity table iteration",2026-09-01T09:00:00.000Z,false
cmt_130,pg_site_nanoro_123,,usr_akpan_001,"Update needed after Amendment 4",2026-09-01T09:00:00.000Z,false
cmt_131,pg_site_nanoro_124,,usr_sarah_001,"@sarah can you weigh in",2026-09-01T09:00:00.000Z,false
cmt_132,pg_site_bagamoyo_125,,usr_akpan_001,"Confirming final figure",2026-09-01T09:00:00.000Z,false
cmt_133,pg_site_bagamoyo_126,,usr_akpan_001,"Small typo fixed",2026-09-01T09:00:00.000Z,false
cmt_134,pg_site_bagamoyo_127,,usr_kevin_001,"Update needed after Amendment 4",2026-09-01T09:00:00.000Z,false
cmt_135,pg_site_bagamoyo_128,,usr_sarah_001,"Table needs regeneration",2026-09-01T09:00:00.000Z,false
cmt_136,pg_site_bagamoyo_129,,usr_akpan_001,"Great notes thanks",2026-09-01T09:00:00.000Z,false
cmt_137,pg_site_bagamoyo_130,,usr_kevin_001,"Reference chase update",2026-09-01T09:00:00.000Z,false
cmt_138,pg_book_131,,usr_kevin_001,"Small typo fixed",2026-09-01T09:00:00.000Z,false
cmt_139,pg_book_132,,usr_kevin_001,"Update needed after Amendment 4",2026-09-01T09:00:00.000Z,false
cmt_140,pg_book_133,,usr_akpan_001,"Manuscript revision list",2026-09-01T09:00:00.000Z,false
cmt_141,pg_book_134,,usr_janet_001,"Update needed after Amendment 4",2026-09-01T09:00:00.000Z,false
cmt_142,pg_book_135,,usr_fritz_001,"Small typo fixed",2026-09-01T09:00:00.000Z,false
cmt_143,pg_book_136,,usr_sarah_001,"Sensitivity table iteration",2026-09-01T09:00:00.000Z,false
cmt_144,pg_book_137,,usr_janet_001,"Manuscript revision list",2026-09-01T09:00:00.000Z,false
cmt_145,pg_book_138,,usr_janet_001,"Great notes thanks",2026-09-01T09:00:00.000Z,false
cmt_146,pg_book_139,,usr_janet_001,"@sarah can you weigh in",2026-09-01T09:00:00.000Z,false
cmt_147,pg_book_140,,usr_janet_001,"Update needed after Amendment 4",2026-09-01T09:00:00.000Z,false
cmt_148,pg_book_141,,usr_fritz_001,"Table needs regeneration",2026-09-01T09:00:00.000Z,false
cmt_149,pg_book_142,,usr_janet_001,"Adding to next Colorado call",2026-09-01T09:00:00.000Z,false
cmt_150,pg_book_143,,usr_kevin_001,"Cross-check with Confluence page",2026-09-01T09:00:00.000Z,false
cmt_151,pg_book_144,,usr_janet_001,"Adding to next Colorado call",2026-09-01T09:00:00.000Z,false
cmt_152,pg_book_145,,usr_akpan_001,"Reference chase update",2026-09-01T09:00:00.000Z,false
cmt_153,pg_book_146,,usr_kevin_001,"Reference chase update",2026-09-01T09:00:00.000Z,false
cmt_154,pg_cme_147,,usr_janet_001,"Adding to next Colorado call",2026-09-01T09:00:00.000Z,false
cmt_155,pg_cme_148,,usr_sarah_001,"Great notes thanks",2026-09-01T09:00:00.000Z,false
cmt_156,pg_cme_149,,usr_akpan_001,"Reviewer response tracking",2026-09-01T09:00:00.000Z,false
cmt_157,pg_cme_150,,usr_sarah_001,"Adding to next Colorado call",2026-09-01T09:00:00.000Z,false
cmt_158,pg_cme_151,,usr_fritz_001,"Manuscript revision list",2026-09-01T09:00:00.000Z,false
cmt_159,pg_cme_152,,usr_sarah_001,"Update needed after Amendment 4",2026-09-01T09:00:00.000Z,false
cmt_160,pg_cme_153,,usr_kevin_001,"@sarah can you weigh in",2026-09-01T09:00:00.000Z,false
cmt_161,pg_cme_154,,usr_akpan_001,"Cross-check with Confluence page",2026-09-01T09:00:00.000Z,false
cmt_162,pg_cme_155,,usr_fritz_001,"Should we archive this",2026-09-01T09:00:00.000Z,false
cmt_163,pg_cme_156,,usr_kevin_001,"Reviewer response tracking",2026-09-01T09:00:00.000Z,false
cmt_164,pg_cme_157,,usr_fritz_001,"Cross-check with Confluence page",2026-09-01T09:00:00.000Z,false
cmt_165,pg_cme_158,,usr_janet_001,"Cross-check with Confluence page",2026-09-01T09:00:00.000Z,false
cmt_166,pg_cme_159,,usr_fritz_001,"Reference chase update",2026-09-01T09:00:00.000Z,false
cmt_167,pg_cme_160,,usr_sarah_001,"Confirming final figure",2026-09-01T09:00:00.000Z,false
cmt_168,pg_cme_161,,usr_janet_001,"@sarah can you weigh in",2026-09-01T09:00:00.000Z,false
cmt_169,pg_faculty_prog_162,,usr_akpan_001,"@sarah can you weigh in",2026-09-01T09:00:00.000Z,false
cmt_170,pg_faculty_prog_163,,usr_akpan_001,"Adding to next Colorado call",2026-09-01T09:00:00.000Z,false
cmt_171,pg_faculty_prog_164,,usr_sarah_001,"Should we archive this",2026-09-01T09:00:00.000Z,false
cmt_172,pg_faculty_prog_165,,usr_kevin_001,"Table needs regeneration",2026-09-01T09:00:00.000Z,false
cmt_173,pg_faculty_prog_166,,usr_kevin_001,"Table needs regeneration",2026-09-01T09:00:00.000Z,false
cmt_174,pg_faculty_prog_167,,usr_akpan_001,"Should we archive this",2026-09-01T09:00:00.000Z,false
cmt_175,pg_faculty_prog_168,,usr_kevin_001,"Cross-check with Confluence page",2026-09-01T09:00:00.000Z,false
cmt_176,pg_faculty_prog_169,,usr_kevin_001,"Update needed after Amendment 4",2026-09-01T09:00:00.000Z,false
cmt_177,pg_faculty_prog_170,,usr_janet_001,"Reviewer response tracking",2026-09-01T09:00:00.000Z,false
cmt_178,pg_faculty_prog_171,,usr_sarah_001,"Should we archive this",2026-09-01T09:00:00.000Z,false
cmt_179,pg_faculty_prog_172,,usr_janet_001,"Small typo fixed",2026-09-01T09:00:00.000Z,false
cmt_180,pg_faculty_prog_173,,usr_janet_001,"@sarah can you weigh in",2026-09-01T09:00:00.000Z,false
cmt_181,pg_recipe_174,,usr_akpan_001,"@kevin please review",2026-09-01T09:00:00.000Z,false
cmt_182,pg_recipe_175,,usr_fritz_001,"Manuscript revision list",2026-09-01T09:00:00.000Z,false
cmt_183,pg_recipe_176,,usr_akpan_001,"Great notes thanks",2026-09-01T09:00:00.000Z,false
cmt_184,pg_recipe_177,,usr_akpan_001,"Sensitivity table iteration",2026-09-01T09:00:00.000Z,false
cmt_185,pg_recipe_178,,usr_fritz_001,"@kevin please review",2026-09-01T09:00:00.000Z,false
cmt_186,pg_recipe_179,,usr_fritz_001,"Cross-check with Confluence page",2026-09-01T09:00:00.000Z,false
cmt_187,pg_recipe_180,,usr_kevin_001,"Should we archive this",2026-09-01T09:00:00.000Z,false
cmt_188,pg_recipe_181,,usr_janet_001,"Confirming final figure",2026-09-01T09:00:00.000Z,false
cmt_189,pg_recipe_182,,usr_fritz_001,"Manuscript revision list",2026-09-01T09:00:00.000Z,false
