Id,Name,AccountId,StageName,Amount,Probability,CloseDate,Type
006Ax0000000000002,Legacy gift exploration 2025 winter,001Ax0000000000036,Needs Analysis,5000,50,2027-02-26,New Business
006Ax0000000000002,Legacy gift exploration 2025 winter,001Ax0000000000103,Closed Lost,10000,0,2026-10-05,New Business
006Ax0000000000002,Legacy gift exploration 2024 spring,001Ax0000000000025,Closed Lost,0,0,2026-01-04,New Business
006Ax0000000000002,Legacy gift exploration 2024 spring,001Ax0000000000091,Prospecting,0,10,2026-12-26,Existing Business
006Ax0000000000002,Legacy gift exploration 2025 summer,001Ax0000000000096,Needs Analysis,50000,50,2026-04-28,Renewal
006Ax0000000000002,Legacy gift exploration 2025 spring,001Ax0000000000007,Proposal,250000,75,2026-03-16,New Business
006Ax0000000000002,Legacy gift exploration 2025 fall,001Ax0000000000026,Closed Lost,2500,0,2027-08-06,New Business
006Ax0000000000002,Legacy gift exploration 2025 winter,001Ax0000000000004,Proposal,50000,75,2027-10-23,New Business
006Ax0000000000002,Legacy gift exploration 2026 spring,001Ax0000000000000,Closed Lost,10000,0,2027-02-22,New Business
006Ax0000000000002,Legacy gift exploration 2026 spring,001Ax0000000000071,Needs Analysis,5000,50,2026-04-20,New Business
006Ax0000000000002,Legacy gift exploration 2025 winter,001Ax0000000000109,Closed Lost,5000,0,2026-04-14,Existing Business
006Ax0000000000002,Legacy gift exploration 2027 winter,001Ax0000000000064,Closed Won,50000,100,2027-06-21,Renewal
006Ax0000000000002,Legacy gift exploration 2025 summer,001Ax0000000000055,Closed Won,100000,100,2027-04-15,New Business
006Ax0000000000002,Legacy gift exploration 2027 summer,001Ax0000000000000,Needs Analysis,10000,50,2027-08-10,New Business
006Ax0000000000002,Legacy gift exploration 2024 fall,001Ax0000000000044,Negotiation,0,90,2027-10-24,Existing Business
006Ax0000000000002,Legacy gift exploration 2024 summer,001Ax0000000000001,Needs Analysis,0,50,2026-01-02,Existing Business
006Ax0000000000002,Legacy gift exploration 2027 winter,001Ax0000000000000,Closed Lost,50000,0,2026-04-06,New Business
006Ax0000000000002,Legacy gift exploration 2024 spring,001Ax0000000000053,Negotiation,50000,90,2026-01-02,Existing Business
006Ax0000000000002,Legacy gift exploration 2027 summer,001Ax0000000000056,Negotiation,5000,90,2027-01-09,New Business
006Ax0000000000002,Legacy gift exploration 2024 fall,001Ax0000000000071,Negotiation,5000,90,2026-09-15,Existing Business
006Ax0000000000002,Legacy gift exploration 2027 winter,001Ax0000000000039,Negotiation,10000,90,2027-07-27,Existing Business
006Ax0000000000002,Legacy gift exploration 2027 summer,001Ax0000000000075,Negotiation,5000,90,2027-12-19,Existing Business
006Ax0000000000002,Legacy gift exploration 2025 winter,001Ax0000000000051,Closed Lost,10000,0,2026-02-18,Existing Business
006Ax0000000000002,Legacy gift exploration 2027 winter,001Ax0000000000057,Closed Lost,5000,0,2027-12-24,New Business
006Ax0000000000002,Legacy gift exploration 2025 spring,001Ax0000000000000,Prospecting,5000,10,2026-01-28,Renewal
006Ax0000000000002,Legacy gift exploration 2024 summer,001Ax0000000000101,Proposal,2500,75,2027-12-25,Existing Business
006Ax0000000000002,Legacy gift exploration 2027 fall,001Ax0000000000059,Negotiation,2500,90,2026-03-11,Renewal
006Ax0000000000002,Legacy gift exploration 2026 fall,001Ax0000000000035,Prospecting,100000,10,2027-04-06,Existing Business
006Ax0000000000002,Legacy gift exploration 2024 summer,001Ax0000000000045,Closed Won,25000,100,2027-04-14,New Business
006Ax0000000000002,Legacy gift exploration 2024 winter,001Ax0000000000057,Qualification,5000,25,2027-04-12,Existing Business
006Ax0000000000002,Legacy gift exploration 2026 winter,001Ax0000000000106,Negotiation,0,90,2027-03-22,New Business
006Ax0000000000002,Legacy gift exploration 2026 winter,001Ax0000000000025,Prospecting,10000,10,2027-08-25,New Business
006Ax0000000000002,Legacy gift exploration 2026 summer,001Ax0000000000042,Needs Analysis,10000,50,2026-02-15,Existing Business
006Ax0000000000002,Legacy gift exploration 2026 spring,001Ax0000000000000,Proposal,5000,75,2027-04-10,New Business
006Ax0000000000002,Legacy gift exploration 2024 winter,001Ax0000000000012,Prospecting,25000,10,2026-04-06,New Business
006Ax0000000000009,"Hollingsworth legacy bequest dedication, Voices of the Past",001Ax0000000000000,Negotiation,85000,90,2026-11-30,New Business
006Ax0000000000009,"Pickens family commemorative gift, voter-drive anniversary",001Ax0000000000000,Qualification,12000,25,2027-02-28,New Business
006Ax0000000000091,"First Bethel AME board partnership, oral history opening week",001Ax0000000000001,Proposal,7500,75,2026-10-18,New Business
