item,detail,noted_on,note
booth fee,135 dollars standard 10x10 booth,2026-07-02,penciled from summer email confirm live before paying
booth location,Riverbank Park west lawn near main entrance,2026-07-02,per organizer packet
load in time,Riverbank Saturday morning setup opens 6am,2026-07-02,gates open 9am for public
teardown,Saturday evening 6pm sharp,2026-07-02,pack up before dark
pieces to bring,restock mugs and bowls,2026-08-01,pull from studio and Tom W kiln
square reader,charged and cash box stocked,2026-08-01,bring backup battery
signage,earth tone banner and small chalkboard,2026-08-01,made last spring
tent stakes,brought back with the market kit,2026-08-01,confirmed
custom pickup slots,Calendly booked for the tenth,2026-08-01,cross check studio calendar
festival announcement,queue in Mailchimp gap segment,2026-09-15,do not blast the full list
supplies check,clay restock before Saturday,2026-09-15,150 dollar gate applies
tax collection,Square collects state and local at checkout,2026-08-01,keep receipts for Schedule C
