id,channel_id,author_id,author_username,content,timestamp,pinned
dm_48f82f7416,CH_GENERAL,D_U_YUKI,yukitanabe,Welcome any new members from Smorgasburg circuit.,2026-10-04T14:00:00.000Z,false
dm_febe958d89,CH_GENERAL,D_U_LARS,larshoff,Anyone shooting at Northside Market this weekend?,2026-10-04T20:00:00.000Z,false
dm_80cc2e934f,CH_GENERAL,D_U_JESSE,jessepagephoto,On a cookbook reshoot Saturday but next weekend free.,2026-10-05T02:00:00.000Z,false
dm_aadb3392ae,CH_GENERAL,D_U_MAYA,mayasmith_food,Light at Bowery Beans midday is unreal right now.,2026-10-05T08:00:00.000Z,false
dm_8b365e63bf,CH_GENERAL,D_U_OMAR,omar_kitchen,Tip: Sony 90 macro at f4 for the tight steam shots.,2026-10-05T14:00:00.000Z,false
dm_a95bdb1d4b,CH_GENERAL,D_U_RIN,rinbaker,Estrela menu shoots looking fire on the grid this fall.,2026-10-05T20:00:00.000Z,false
dm_85b2c2f3a8,CH_GENERAL,D_U_BEN,ben_brunch,"Brunch backlog season, anyone freelancing assist?",2026-10-06T02:00:00.000Z,false
dm_4ec2a895dc,CH_GENERAL,D_U_SOFI,sofi_pasta,Bringing the macro rail to the Tuesday meetup.,2026-10-06T08:00:00.000Z,false
dm_901d5ebc72,CH_GENERAL,D_U_KAI,kai_diner,"Asian diner project moving forward, expect prints soon.",2026-10-06T14:00:00.000Z,false
dm_28e0329334,CH_GENERAL,D_U_HANK,hank_lensman,Reminder: weekly roundup posts in the roundup channel.,2026-10-06T20:00:00.000Z,false
dm_77dfd98669,CH_GENERAL,D_U_DEE,dee_market,Vendor pass for Smorgasburg confirmed for the season.,2026-10-07T02:00:00.000Z,false
dm_fd91a4d4e1,CH_GENERAL,D_U_NAT,nat_natural,"Adobe license renewal this month, anyone on the alternative?",2026-10-07T08:00:00.000Z,false
dm_ccc262d1c3,CH_SHOOT_DEALS,D_U_LARS,larshoff,"Restaurant menu shoot Cobble Hill, mid Oct, $1500 half-day, DM if interested.",2026-10-06T15:00:00.000Z,false
dm_0d3b3b6148,CH_SHOOT_DEALS,D_U_MAYA,mayasmith_food,"Brand kit gig Greenpoint, $2400 per deliverable.",2026-10-07T00:00:00.000Z,false
dm_df2f13f945,CH_SHOOT_DEALS,D_U_JESSE,jessepagephoto,"Holding Cobble Hill lead for someone else, already booked.",2026-10-07T09:00:00.000Z,false
dm_d16f5c9a45,CH_SHOOT_DEALS,D_U_OMAR,omar_kitchen,"Pop-up coverage Bushwick, low budget but good portfolio.",2026-10-07T18:00:00.000Z,false
dm_b6c3147d96,CH_SHOOT_DEALS,D_U_SOFI,sofi_pasta,"Cookbook shoot referral, looking for second shooter.",2026-10-08T03:00:00.000Z,false
dm_3f050cd58e,CH_SHOOT_DEALS,D_U_BEN,ben_brunch,"Coffee roaster brand refresh, Long Island City, decent rates.",2026-10-08T12:00:00.000Z,false
dm_7175154216,CH_SHOOT_DEALS,D_U_KAI,kai_diner,"Bakery branding shoot, Sunset Park.",2026-10-08T21:00:00.000Z,false
