id,type,status,title,space_key,parent_id,version,body,created_by,created_at
cfp_rtss_v3_2,page,current,RTS-S Protocol v3.2 - Amendment 3,RTSS-MULTISITE,,3,"Study protocol RTS-S implementation across 5 sub-Saharan African sites. Per-site coverage figures as of July 2026 pre-Amendment 4. Kintampo Ghana coverage 62.0 percent. Kilifi Kenya coverage 74.8 percent. Manhica Mozambique 77.5 percent. Nanoro Burkina Faso 71.2 percent. Bagamoyo Tanzania 83.1 percent. NOTE - this page reflects protocol status as of Amendment 3. Amendment 4 rolled out September 2026 and coverage figures should be pulled from Jira delivery tickets going forward.",fritz.rush@Finthesiss.ai,2026-07-14T09:00:00Z
cfp_rtss_amend_4_summary,page,current,Amendment 4 Rollout Summary,RTSS-MULTISITE,,1,"Amendment 4 rolled out September 2026. Ethics amendment expanded eligible birth-cohort window. Coverage figures should be re-pulled from Jira delivery tickets. Confluence protocol page v3.2 is being kept as historical reference and should not be updated retroactively.",sarah.kelley@gmail.com,2026-09-05T14:00:00Z
cfp_two_source_rule,page,current,Two-source verification rule,RTSS-MULTISITE,,2,"Coverage reconciliation uses two independent sources per site. Source 1 - raw field-data pipeline via Dropbox. Source 2 - site coordinator partner sign-off via Salesforce. When sources disagree the newest and closest to source wins. Sites where sources materially disagree at delivery-count level carry an open conclusion rather than a forced verdict. This is the methodological anchor of the R21 revision.",fritz.rush@Finthesiss.ai,2026-06-01T10:00:00Z
cfp_ethics_amend_4,page,current,Ethics Amendment 4 - Approved,RTSS-MULTISITE,,1,"Ethics amendment 4 approved by all 5 site IRBs by September 2026. Kintampo Ghana approval date August 28. Kilifi Kenya September 2. Manhica Mozambique September 8. Nanoro Burkina Faso September 12. Bagamoyo Tanzania September 15.",sarah.kelley@gmail.com,2026-09-20T11:00:00Z
cfp_manhica_protocol,page,current,Manhica Mozambique Site Protocol,RTSS-MULTISITE,,4,"Site-specific protocol for Manhica CISM. Field coordinator Domingos Rodrigues. Coverage as of Amendment 4 - 81.1 percent (see Jira for authoritative figure).",fritz.rush@Finthesiss.ai,2026-09-25T13:00:00Z
cfp_nanoro_protocol,page,current,Nanoro Burkina Faso Site Protocol,RTSS-MULTISITE,,4,"Site-specific protocol for Nanoro IRSS. Field coordinator Ibrahim Ouedraogo. Coverage as of Amendment 4 - 73.4 percent (see Jira for authoritative figure).",fritz.rush@Finthesiss.ai,2026-09-25T13:15:00Z
cfp_bagamoyo_protocol,page,current,Bagamoyo Tanzania Site Protocol,RTSS-MULTISITE,,4,"Site-specific protocol for Bagamoyo Ifakara. Field coordinator Fatuma Mwakumbi. Coverage as of Amendment 4 - 85.4 percent (see Jira for authoritative figure).",fritz.rush@Finthesiss.ai,2026-09-25T13:30:00Z
cfp_pid_fellowship_calendar,page,current,PID Fellowship Rotation Calendar 2026-2027,GLENWOOD-PID,,1,"Fellow rotation schedule. Fritz on research block Oct 12-25. Clinical block Oct 26 through Nov 8. Call cover trades tracked separately.",kosborne@gmail.com,2026-06-15T09:00:00Z
cfp_call_coverage_grid,page,current,Every-fourth-night call coverage,GLENWOOD-PID,,2,"Call cover grid. Fritz and Janet trade coverage. Janet covers Oct 16 (Fritz IDWeek). Fritz covers Nov 3 (Janet trade).",kosborne@gmail.com,2026-09-01T10:00:00Z
cfp_grand_rounds_schedule,page,current,CHOA Grand Rounds Schedule Fall 2026,GLENWOOD-PID,,3,"Fall Grand Rounds schedule at CHOA Egleston. Oct 22 Fritz Rush - Malaria vaccine implementation.",kosborne@gmail.com,2026-08-01T09:00:00Z
cfp_rollup_101,page,current,Site Kintampo monthly rollup 2026-01,RTSS-MULTISITE,,1,"Monthly rollup summarizing enrollment coverage and IRB status. Cross-check Jira for authoritative coverage.",fritz.rush@Finthesiss.ai,2026-01-28T14:00:00Z
cfp_rollup_102,page,current,Site Kilifi monthly rollup 2026-01,RTSS-MULTISITE,,1,"Monthly rollup summarizing enrollment coverage and IRB status. Cross-check Jira for authoritative coverage.",fritz.rush@Finthesiss.ai,2026-01-28T14:00:00Z
cfp_rollup_103,page,current,Site Manhica monthly rollup 2026-01,RTSS-MULTISITE,,1,"Monthly rollup summarizing enrollment coverage and IRB status. Cross-check Jira for authoritative coverage.",fritz.rush@Finthesiss.ai,2026-01-28T14:00:00Z
cfp_rollup_104,page,current,Site Nanoro monthly rollup 2026-01,RTSS-MULTISITE,,1,"Monthly rollup summarizing enrollment coverage and IRB status. Cross-check Jira for authoritative coverage.",fritz.rush@Finthesiss.ai,2026-01-28T14:00:00Z
cfp_rollup_105,page,current,Site Bagamoyo monthly rollup 2026-01,RTSS-MULTISITE,,1,"Monthly rollup summarizing enrollment coverage and IRB status. Cross-check Jira for authoritative coverage.",fritz.rush@Finthesiss.ai,2026-01-28T14:00:00Z
cfp_rollup_106,page,current,Site Kintampo monthly rollup 2026-02,RTSS-MULTISITE,,1,"Monthly rollup summarizing enrollment coverage and IRB status. Cross-check Jira for authoritative coverage.",fritz.rush@Finthesiss.ai,2026-02-28T14:00:00Z
cfp_rollup_107,page,current,Site Kilifi monthly rollup 2026-02,RTSS-MULTISITE,,1,"Monthly rollup summarizing enrollment coverage and IRB status. Cross-check Jira for authoritative coverage.",fritz.rush@Finthesiss.ai,2026-02-28T14:00:00Z
cfp_rollup_108,page,current,Site Manhica monthly rollup 2026-02,RTSS-MULTISITE,,1,"Monthly rollup summarizing enrollment coverage and IRB status. Cross-check Jira for authoritative coverage.",fritz.rush@Finthesiss.ai,2026-02-28T14:00:00Z
cfp_rollup_109,page,current,Site Nanoro monthly rollup 2026-02,RTSS-MULTISITE,,1,"Monthly rollup summarizing enrollment coverage and IRB status. Cross-check Jira for authoritative coverage.",fritz.rush@Finthesiss.ai,2026-02-28T14:00:00Z
