TripId	ReportDate	Pairing	Days	Legs	BlockHours	CreditHours	PerDiem	Aircraft
RC8841	2025-10-05	SEA-LAX-SEA-ORD	3	6	18.4	20.1	138.60	737 MAX 9
RC8857	2025-10-19	SEA-JFK-SEA	4	8	22.7	24.0	184.80	737 MAX 8
RC8902	2025-11-03	SEA-ANC-SEA-LAX	3	6	17.9	19.5	138.60	737 MAX 9
RC8930	2025-11-17	SEA-ORD-SEA-LAX-SEA	4	8	23.2	24.6	184.80	737 MAX 8
RC8971	2025-12-01	SEA-LAX-SEA	3	6	16.5	18.0	138.60	737 MAX 9
RC9014	2025-12-15	SEA-JFK-SEA-ANC	4	8	24.1	25.3	184.80	737 MAX 8
RC9098	2026-01-07	SEA-LAX-SEA-ORD-SEA	4	8	23.6	24.9	184.80	737 MAX 9
RC9142	2026-01-21	SEA-ANC-SEA	3	4	15.2	17.4	138.60	737 MAX 8
RC9203	2026-02-04	SEA-ORD-SEA-LAX	3	6	18.8	20.3	138.60	737 MAX 9
RC9255	2026-02-18	SEA-JFK-SEA	4	6	21.4	23.1	184.80	737 MAX 8
