transaction_id,account_id,amount,iso_currency_code,date,name,merchant_name,category,pending,payment_channel
txn_0001,acc_chk_001,8420.0,USD,2026-10-01,Customer payments  -  Market Street weekly batch,Ramirez Auto Body,Transfer;Customer Receipts,false,online
txn_0002,acc_chk_001,3420.0,USD,2026-10-03,Axalta paint supplier  -  Oct invoice,Axalta Coating Systems,Payment;Suppliers,false,other
txn_0003,acc_chk_001,1250.0,USD,2026-10-05,PPG Paint  -  Oct invoice,PPG Paint,Payment;Suppliers,false,other
txn_0004,acc_chk_001,12150.0,USD,2026-10-08,DRP Allstate batch settlement Oct,Allstate Insurance,Transfer;Insurance,false,online
txn_0005,acc_chk_001,2580.0,USD,2026-10-10,Technician payroll  -  biweekly,Ramirez Auto Body Payroll,Payment;Payroll,false,other
txn_0006,acc_chk_001,600.0,USD,2026-10-12,Sofia monthly childcare support,Sofia Ramirez,Transfer;Family,false,online
txn_0007,acc_chk_001,6890.0,USD,2026-10-15,DRP State Farm batch Oct,State Farm Insurance,Transfer;Insurance,false,online
txn_0008,acc_chk_001,9067.0,USD,2026-10-17,Market Street lease  -  Oct,Lakeside RE Holdings,Payment;Rent,false,other
txn_0009,acc_chk_001,400.0,USD,2026-10-18,Raul monthly remittance  -  Callao,Wise Transfer,Transfer;Family,false,online
txn_0010,acc_chk_001,9320.0,USD,2026-10-22,Customer payments  -  Broadway weekly,Ramirez Auto Body,Transfer;Customer Receipts,false,online
txn_0011,acc_chk_001,3800.0,USD,2026-10-25,Technician payroll  -  biweekly,Ramirez Auto Body Payroll,Payment;Payroll,false,other
txn_0012,acc_chk_001,7140.0,USD,2026-10-28,DRP Progressive batch Oct,Progressive Insurance,Transfer;Insurance,false,online
txn_0013,acc_chk_001,680.0,USD,2026-10-30,Carmen  -  household allowance,Carmen Ramirez,Transfer;Family,false,online
txn_0014,acc_chk_001,9067.0,USD,2026-11-01,Market Street lease  -  Nov,Lakeside RE Holdings,Payment;Rent,false,other
txn_0015,acc_chk_001,4280.0,USD,2026-11-02,DRP Geico Oct batch,Geico Insurance,Transfer;Insurance,false,online
