sys_id,number,short_description,description,state,priority,impact,urgency,category,assigned_to,opened_by,opened_at,updated_at
inc-0010001,INC0010001,Museum vendor portal login failed for Margaret Farmer,Cannot access vendor portal to view purchase order attachments,resolved,3,3,3,access,helpdesk,margaret.farmer,2026-03-15T09:00:00Z,2026-03-15T11:00:00Z
inc-0010027,INC0010027,Museum PO amendment fee revision four point two million yen,Purchase order updated to reflect amended commission fee of 4200000 JPY superseding original 3600000 JPY. Installment schedule attached in DocuSign envelope env-mus-amend.,closed,2,2,2,purchase-order,hana.ozawa,tomomi.ishida,2026-08-22T09:00:00Z,2026-08-29T14:00:00Z
inc-0010028,INC0010028,Delivery slot December thirty first confirmed with registrar,Registrar confirms accession slot December thirty first twenty twenty six,in_progress,2,2,2,logistics,kenji.mori,tomomi.ishida,2026-09-01T09:00:00Z,2026-09-20T09:00:00Z
inc-0010029,INC0010029,Loan paperwork rider signature routing pending,Loan paperwork rider pending vendor signature,in_progress,3,3,3,paperwork,kenji.mori,tomomi.ishida,2026-09-10T09:00:00Z,2026-09-25T09:00:00Z
inc-0010030,INC0010030,Facility temperature sensor drift bay 1,Ambient sensor drift monitoring,resolved,4,4,4,facilities,yumi.oda,helpdesk,2026-08-02T09:00:00Z,2026-08-03T09:00:00Z
inc-0010031,INC0010031,Facility temperature sensor drift bay 2,Ambient sensor drift monitoring,resolved,4,4,4,facilities,yumi.oda,helpdesk,2026-08-03T09:00:00Z,2026-08-04T09:00:00Z
inc-0010032,INC0010032,Facility temperature sensor drift bay 3,Ambient sensor drift monitoring,resolved,4,4,4,facilities,yumi.oda,helpdesk,2026-08-04T09:00:00Z,2026-08-05T09:00:00Z
inc-0010033,INC0010033,Facility temperature sensor drift bay 4,Ambient sensor drift monitoring,resolved,4,4,4,facilities,yumi.oda,helpdesk,2026-08-05T09:00:00Z,2026-08-06T09:00:00Z
inc-0010034,INC0010034,Facility temperature sensor drift bay 5,Ambient sensor drift monitoring,resolved,4,4,4,facilities,yumi.oda,helpdesk,2026-08-06T09:00:00Z,2026-08-07T09:00:00Z
inc-0010035,INC0010035,Facility temperature sensor drift bay 6,Ambient sensor drift monitoring,resolved,4,4,4,facilities,yumi.oda,helpdesk,2026-08-07T09:00:00Z,2026-08-08T09:00:00Z
inc-0010036,INC0010036,Facility temperature sensor drift bay 7,Ambient sensor drift monitoring,resolved,4,4,4,facilities,yumi.oda,helpdesk,2026-08-08T09:00:00Z,2026-08-09T09:00:00Z
inc-0010037,INC0010037,Facility temperature sensor drift bay 8,Ambient sensor drift monitoring,resolved,4,4,4,facilities,yumi.oda,helpdesk,2026-08-09T09:00:00Z,2026-08-10T09:00:00Z
inc-0010038,INC0010038,Facility temperature sensor drift bay 9,Ambient sensor drift monitoring,resolved,4,4,4,facilities,yumi.oda,helpdesk,2026-08-10T09:00:00Z,2026-08-11T09:00:00Z
inc-0010039,INC0010039,Facility temperature sensor drift bay 10,Ambient sensor drift monitoring,resolved,4,4,4,facilities,yumi.oda,helpdesk,2026-08-11T09:00:00Z,2026-08-12T09:00:00Z
inc-0010040,INC0010040,Facility temperature sensor drift bay 11,Ambient sensor drift monitoring,resolved,4,4,4,facilities,yumi.oda,helpdesk,2026-08-12T09:00:00Z,2026-08-13T09:00:00Z
inc-0010016,INC0010016,Museum loan crate dimensions query,Question raised on crate sizing for the Paris shipment of museum vessels,in_progress,3,3,3,inquiry,logistics,margaret.farmer,2026-10-02T09:00:00Z,2026-10-02T10:15:00Z
inc-0010017,INC0010017,Kiln calendar sync request,Request to reconcile collective anagama schedule with museum delivery timeline,resolved,4,4,4,inquiry,helpdesk,margaret.farmer,2026-09-25T08:00:00Z,2026-09-25T09:30:00Z
