id,identifier,number,title,description,priority,estimate,stateId,assigneeId,teamId,projectId,cycleId,labelIds,dueDate,sortOrder,branchName,createdAt,updatedAt,startedAt,completedAt,canceledAt
iss_001,WBP-1,1,Reconcile GL-OB-2019-08 clause 4.2 against 2024 cohorts,Reconcile GL-OB-2019-08 clause 4.2 against 2024 cohorts,1,1,state_completed,lin_hn,tm_wbp,prj_evidence,,,,0,,2026-06-14T09:00:00+00:00,2026-10-11T18:00:00+00:00,,2026-10-11T18:00:00+00:00,
iss_002,WBP-2,2,Reconcile GL-OB-2021-14 clause 6.1 against 2019-2024 perineal trauma studies,Reconcile GL-OB-2021-14 clause 6.1 against 2019-2024 perineal trauma studies,1,1,state_completed,lin_hn,tm_wbp,prj_evidence,,,,0,,2026-06-14T09:05:00+00:00,2026-10-11T18:00:00+00:00,,2026-10-11T18:00:00+00:00,
iss_003,WBP-3,3,Long-horizon neonatal infection beyond 28 days: hold open on insufficient evidence,Long-horizon neonatal infection beyond 28 days: hold open on insufficient evidence,2,1,state_completed,lin_hn,tm_wbp,prj_evidence,,,,0,,2026-08-02T10:00:00+00:00,2026-11-10T09:00:00+00:00,,2026-11-10T09:00:00+00:00,
iss_004,WBP-4,4,Pool hygiene cadence: adopt 2025 European infection control consensus,Pool hygiene cadence: adopt 2025 European infection control consensus,2,1,state_completed,lin_hn,tm_wbp,prj_evidence,,,,0,,2026-08-15T10:00:00+00:00,2026-10-30T15:00:00+00:00,,2026-10-30T15:00:00+00:00,
iss_005,WBP-5,5,Draft R2 parameter change log (Section 9 delta table),Draft R2 parameter change log (Section 9 delta table),1,1,state_in_review,lin_hn,tm_wbp,prj_protocol,,,,0,,2026-09-10T09:00:00+00:00,2026-11-14T18:00:00+00:00,,,
iss_006,WBP-6,6,Water temperature range 36.8-37.5C: clause finalisation,Water temperature range 36.8-37.5C: clause finalisation,1,1,state_in_review,lin_hn,tm_wbp,prj_protocol,,,,0,,2026-09-10T09:15:00+00:00,2026-11-14T18:00:00+00:00,,,
iss_007,WBP-7,7,Primiparous 90-minute second-stage clarification,Primiparous 90-minute second-stage clarification,1,1,state_in_review,lin_hn,tm_wbp,prj_protocol,,,,0,,2026-09-11T09:00:00+00:00,2026-11-14T18:00:00+00:00,,,
iss_008,WBP-8,8,"Three cohorts, six modules per cohort, eleven-week window","Three cohorts, six modules per cohort, eleven-week window",1,1,state_in_progress,lin_me,tm_wbp,prj_training,,,,0,,2026-09-20T10:00:00+00:00,2026-11-14T18:00:00+00:00,,,
iss_009,WBP-9,9,"Costing envelope: 1,068 hours conservative, 1,224 hours ceiling","Costing envelope: 1,068 hours conservative, 1,224 hours ceiling",1,1,state_completed,lin_hn,tm_wbp,prj_training,,,,0,,2026-10-04T14:30:00+00:00,2026-11-14T18:00:00+00:00,,2026-11-14T18:00:00+00:00,
iss_010,WBP-10,10,Pool A: green status confirmed by biomed lead,Pool A: green status confirmed by biomed lead,2,1,state_completed,lin_fh,tm_wbp,prj_equipment,,,,0,,2026-04-22T09:00:00+00:00,2026-10-03T14:00:00+00:00,,2026-10-03T14:00:00+00:00,
iss_011,WBP-11,11,Pool B: seal replacement biomed sign-off,Pool B: seal replacement biomed sign-off,1,1,state_in_progress,lin_fh,tm_wbp,prj_equipment,,,,0,,2026-08-22T10:00:00+00:00,2026-11-04T09:00:00+00:00,,,
iss_012,WBP-12,12,TROLLEY-02 replacement tablet cradle,TROLLEY-02 replacement tablet cradle,2,1,state_in_progress,lin_fh,tm_wbp,prj_equipment,,,,0,,2026-10-30T10:00:00+00:00,2026-11-04T09:00:00+00:00,,,
iss_013,WBP-13,13,Service desk to department board lag: raise process gap,Service desk to department board lag: raise process gap,3,1,state_backlog,lin_hn,tm_wbp,prj_equipment,,,,0,,2026-09-11T10:00:00+00:00,2026-11-04T09:00:00+00:00,,,
iss_014,WBP-14,14,Pre-meeting briefing for Dr. Olsson and senior midwives,Pre-meeting briefing for Dr. Olsson and senior midwives,1,1,state_in_review,lin_hn,tm_wbp,prj_protocol,,,,0,,2026-11-05T09:00:00+00:00,2026-11-14T18:00:00+00:00,,,
iss_015,WBP-15,15,"Filing to department head: prepare, hold for Helen sign-off","Filing to department head: prepare, hold for Helen sign-off",1,1,state_in_review,lin_hn,tm_wbp,prj_protocol,,,,0,,2026-11-05T09:00:00+00:00,2026-11-14T18:00:00+00:00,,,
iss_hist_016,WBP-16,16,Refresh onboarding checklist page,Refresh onboarding checklist page,2,1,state_canceled,lin_009,tm_wbp,prj_equipment,,,,0,,2024-08-12T00:00:00+00:00,2026-09-15T00:00:00+00:00,,,
iss_hist_017,WBP-17,17,Rename outdated tag,Rename outdated tag,3,1,state_completed,lin_010,tm_wbp,prj_training,,,,0,,2025-10-04T00:00:00+00:00,2026-09-08T00:00:00+00:00,,2026-09-08T00:00:00+00:00,
iss_hist_018,WBP-18,18,Update copyright footer,Update copyright footer,2,1,state_completed,lin_011,tm_wbp,prj_evidence,,,,0,,2025-12-10T00:00:00+00:00,2026-06-27T00:00:00+00:00,,2026-06-27T00:00:00+00:00,
iss_hist_019,WBP-19,19,Update copyright footer,Update copyright footer,3,1,state_completed,lin_013,tm_wbp,prj_training,,,,0,,2025-08-01T00:00:00+00:00,2026-08-29T00:00:00+00:00,,2026-08-29T00:00:00+00:00,
iss_hist_020,WBP-20,20,Rewrite handover template intro,Rewrite handover template intro,2,1,state_canceled,lin_009,tm_wbp,prj_protocol,,,,0,,2024-06-04T00:00:00+00:00,2026-07-17T00:00:00+00:00,,,
iss_hist_021,WBP-21,21,Merge duplicate project links,Merge duplicate project links,3,1,state_canceled,lin_010,tm_wbp,prj_evidence,,,,0,,2024-10-13T00:00:00+00:00,2026-07-30T00:00:00+00:00,,,
iss_hist_022,WBP-22,22,Update contact directory,Update contact directory,3,1,state_canceled,lin_015,tm_wbp,prj_equipment,,,,0,,2026-02-04T00:00:00+00:00,2026-07-12T00:00:00+00:00,,,
iss_hist_023,WBP-23,23,Fix typo in escalation page,Fix typo in escalation page,2,1,state_completed,lin_014,tm_wbp,prj_protocol,,,,0,,2024-02-17T00:00:00+00:00,2026-07-25T00:00:00+00:00,,2026-07-25T00:00:00+00:00,
iss_hist_024,WBP-24,24,Update copyright footer,Update copyright footer,2,1,state_completed,lin_011,tm_wbp,prj_training,,,,0,,2024-04-11T00:00:00+00:00,2026-06-21T00:00:00+00:00,,2026-06-21T00:00:00+00:00,
iss_hist_025,WBP-25,25,Add reference to national guideline,Add reference to national guideline,3,1,state_completed,lin_011,tm_wbp,prj_evidence,,,,0,,2024-11-05T00:00:00+00:00,2026-06-06T00:00:00+00:00,,2026-06-06T00:00:00+00:00,
iss_hist_026,WBP-26,26,Add reference to national guideline,Add reference to national guideline,3,1,state_canceled,lin_010,tm_wbp,prj_equipment,,,,0,,2025-11-17T00:00:00+00:00,2026-09-04T00:00:00+00:00,,,
iss_hist_027,WBP-27,27,Rewrite handover template intro,Rewrite handover template intro,2,1,state_completed,lin_013,tm_wbp,prj_training,,,,0,,2024-10-09T00:00:00+00:00,2026-06-09T00:00:00+00:00,,2026-06-09T00:00:00+00:00,
iss_hist_028,WBP-28,28,Merge duplicate project links,Merge duplicate project links,2,1,state_completed,lin_006,tm_wbp,prj_protocol,,,,0,,2026-04-14T00:00:00+00:00,2026-08-22T00:00:00+00:00,,2026-08-22T00:00:00+00:00,
iss_hist_029,WBP-29,29,Rename outdated tag,Rename outdated tag,2,1,state_completed,lin_007,tm_wbp,prj_evidence,,,,0,,2024-08-15T00:00:00+00:00,2026-10-04T00:00:00+00:00,,2026-10-04T00:00:00+00:00,
iss_hist_030,WBP-30,30,Rename outdated tag,Rename outdated tag,3,1,state_canceled,lin_010,tm_wbp,prj_equipment,,,,0,,2024-08-03T00:00:00+00:00,2026-08-15T00:00:00+00:00,,,
iss_hist_031,WBP-31,31,Rename outdated tag,Rename outdated tag,3,1,state_completed,lin_007,tm_wbp,prj_training,,,,0,,2025-09-24T00:00:00+00:00,2026-06-10T00:00:00+00:00,,2026-06-10T00:00:00+00:00,
iss_hist_032,WBP-32,32,Archive 2024 audit findings,Archive 2024 audit findings,2,1,state_canceled,lin_013,tm_wbp,prj_protocol,,,,0,,2024-03-13T00:00:00+00:00,2026-09-17T00:00:00+00:00,,,
iss_hist_033,WBP-33,33,Refresh onboarding checklist page,Refresh onboarding checklist page,3,1,state_completed,lin_009,tm_wbp,prj_training,,,,0,,2025-02-24T00:00:00+00:00,2026-09-24T00:00:00+00:00,,2026-09-24T00:00:00+00:00,
iss_hist_034,WBP-34,34,Refresh onboarding checklist page,Refresh onboarding checklist page,3,1,state_completed,lin_010,tm_wbp,prj_equipment,,,,0,,2025-12-03T00:00:00+00:00,2026-09-20T00:00:00+00:00,,2026-09-20T00:00:00+00:00,
iss_hist_035,WBP-35,35,Archive 2024 audit findings,Archive 2024 audit findings,3,1,state_completed,lin_005,tm_wbp,prj_equipment,,,,0,,2025-04-26T00:00:00+00:00,2026-09-24T00:00:00+00:00,,2026-09-24T00:00:00+00:00,
iss_hist_036,WBP-36,36,Update copyright footer,Update copyright footer,2,1,state_completed,lin_007,tm_wbp,prj_protocol,,,,0,,2025-03-08T00:00:00+00:00,2026-09-21T00:00:00+00:00,,2026-09-21T00:00:00+00:00,
iss_hist_037,WBP-37,37,Merge duplicate project links,Merge duplicate project links,3,1,state_completed,lin_006,tm_wbp,prj_evidence,,,,0,,2024-04-08T00:00:00+00:00,2026-06-21T00:00:00+00:00,,2026-06-21T00:00:00+00:00,
iss_hist_038,WBP-38,38,Rewrite handover template intro,Rewrite handover template intro,3,1,state_canceled,lin_013,tm_wbp,prj_protocol,,,,0,,2025-10-04T00:00:00+00:00,2026-09-13T00:00:00+00:00,,,
