gid,name,project_gid,section_gid,assignee_gid,completed,due_on,notes,created_at,modified_at
1204488220140001,Dress Rehearsal Main Hall 12 00 to 16 00,1204488220120001,1204488220130002,1204488220110002,false,2026-12-05,Locked block booking BBCC-2026-14477 A load in 11 00 to 16 30 both Kim and Marina on site through 16 30,2026-10-22T11:12:44Z,2026-11-18T17:22:03Z
1204488220140002,Performance Day Load In 09 00 to 14 00,1204488220120001,1204488220130001,1204488220110002,false,2026-12-12,Booking BBCC-2026-14477 B hard stop 18 00 load out,2026-10-22T11:14:08Z,2026-11-05T09:14:11Z
1204488220140003,Curtain 15 00 Winter Showcase,1204488220120001,1204488220130003,1204488220110002,false,2026-12-12,Doors 14 00 curtain 15 00 est 90 minutes with 10 minute intermission,2026-10-22T11:15:22Z,2026-11-05T09:14:44Z
1204488220140004,Load Return to Storage 10 00 to 12 00,1204488220120001,1204488220130001,1204488220110002,false,2026-12-13,Return floor tape props and prop trunks to BBCC storage,2026-10-22T11:16:04Z,2026-11-05T09:15:03Z
1204488220140005,Parent Notice Draft Rehearsal and Performance Windows,1204488220120001,1204488220130004,1204488220110003,false,2026-12-01,Draft in Slack for Kim review before send Marina drafting,2026-11-18T14:22:41Z,2026-11-23T08:14:38Z
1204488220140006,Choreography Lock Confirm Marina,1204488220120001,1204488220130002,1204488220110002,true,2026-11-05,Locked at rehearsal on 2026-11-05 no further changes without both signatures,2026-10-04T10:11:03Z,2026-11-05T20:18:47Z
1204488220140007,Rehearsal Week Dec 1 to Dec 4 Standing 15 00 to 19 30,1204488220120001,1204488220130002,1204488220110002,false,2026-12-04,Standing block Mon through Fri Dec 4 adds senior partnering 18 00 to 19 30,2026-10-22T11:18:11Z,2026-11-18T17:22:41Z
1204488220140008,Performance Week Dec 7 to Dec 11 Standing 15 00 to 19 30,1204488220120001,1204488220130002,1204488220110002,false,2026-12-11,Standing block final week Thu Dec 10 hard stop 18 30,2026-10-22T11:18:33Z,2026-11-18T17:23:04Z
1204488220140009,Holiday Production Nov 30 Block,1204488220120002,1204488220130005,1204488220110002,false,2026-11-30,Standing wholesale drop production 04 00 to 11 00,2026-10-30T09:44:03Z,2026-11-22T09:14:11Z
1204488220140010,Holiday Production Dec 2 Block,1204488220120002,1204488220130005,1204488220110002,false,2026-12-02,Standing wholesale drop production 04 00 to 11 00,2026-10-30T09:44:15Z,2026-11-22T09:14:22Z
1204488220140011,Holiday Production Dec 4 Block,1204488220120002,1204488220130005,1204488220110002,false,2026-12-04,Standing wholesale drop production 04 00 to 11 00,2026-10-30T09:44:31Z,2026-11-22T09:14:33Z
1204488220140012,Holiday Production Dec 7 Block,1204488220120002,1204488220130005,1204488220110002,false,2026-12-07,Standing wholesale drop production 04 00 to 11 00,2026-10-30T09:44:47Z,2026-11-22T09:14:44Z
1204488220140013,Holiday Production Dec 9 Block,1204488220120002,1204488220130005,1204488220110002,false,2026-12-09,Standing wholesale drop production 04 00 to 11 00 add 6 cranberry orange loaves per Anya add 2 rugelach dozen per Sami,2026-10-30T09:45:03Z,2026-11-30T09:14:55Z
1204488220140014,Holiday Production Dec 11 Block,1204488220120002,1204488220130005,1204488220110002,false,2026-12-11,Standing wholesale drop production 04 00 to 11 00 add 2 rugelach dozen per Sami,2026-10-30T09:45:19Z,2026-11-26T10:15:03Z
1204488220140015,Custom Pipeline Reconcile Airtable vs Newest Confirmations,1204488220120002,1204488220130006,1204488220110002,false,2026-12-01,Airtable tracker last edited 2026-11-22 to 2026-11-25 newest cafe and Typeform confirmations after that reconcile before production locks,2026-11-22T09:12:03Z,2026-11-30T14:15:44Z
1204488220140016,Costume Fitting Sessions All Levels,1204488220120001,1204488220130007,1204488220110003,false,2026-11-28,Final fittings during standing class blocks Marina leading tailoring notes to costume log,2026-10-22T11:20:03Z,2026-11-20T18:12:41Z
1204488220140017,Prop Trunk Inventory and Repair,1204488220120001,1204488220130007,1204488220110002,false,2026-11-30,Inventory prop trunks tape gels and set pieces before load in flag anything needing repair,2026-10-22T11:20:31Z,2026-11-22T09:41:03Z
1204488220140018,Music Cue Sheet and Sound Check,1204488220120001,1204488220130008,1204488220110002,false,2026-12-05,Finalize cue sheet and run sound check during Dec 5 dress rehearsal window in Main Hall,2026-10-22T11:21:02Z,2026-11-25T14:03:22Z
1204488220140019,Program Print Proof Approval,1204488220120001,1204488220130008,1204488220110003,false,2026-12-03,Approve printed program proof running order matches locked choreography from 2026-11-05,2026-10-22T11:21:33Z,2026-11-26T10:22:14Z
1204488220140020,Ticket Reservations and Will Call List,1204488220120001,1204488220130009,1204488220110003,false,2026-12-10,Compile will call list doors open 14 00 curtain 15 00 Dec 12,2026-09-10T11:04:41Z,2026-11-28T09:14:03Z
1204488220140021,Volunteer Front of House Schedule,1204488220120001,1204488220130009,1204488220110003,false,2026-12-11,Assign parent volunteers ushers and check in for performance day Dec 12,2026-09-10T11:05:12Z,2026-11-29T17:22:41Z
1204488220140022,Dressing Room Assignments Main Hall,1204488220120001,1204488220130009,1204488220110002,false,2026-12-12,Assign dressing rooms by level for performance day load in 09 00 to 14 00,2026-11-05T09:16:03Z,2026-11-28T09:15:44Z
1204488220140023,Floor Tape and Spacing Marks Load In,1204488220120001,1204488220130001,1204488220110002,false,2026-12-12,Lay spacing marks at load in performance day return tape to storage Dec 13,2026-11-05T09:17:11Z,2026-11-05T09:17:11Z
1204488220140024,Weekly Lesson Plan Nov 30 to Dec 4,1204488220120003,1204488220130010,1204488220110002,false,2026-11-29,Standing weekday classes 15 00 to 19 30 focus barre and center technique holiday piece cleanup,2026-09-01T10:24:03Z,2026-11-27T20:12:41Z
1204488220140025,Weekly Lesson Plan Dec 7 to Dec 11,1204488220120003,1204488220130010,1204488220110002,false,2026-12-06,Performance week classes lighter conditioning full run throughs Thu Dec 10 hard stop 18 30,2026-09-01T10:24:22Z,2026-12-04T20:14:33Z
1204488220140026,Winter Term Level Assessments,1204488220120003,1204488220130011,1204488220110003,false,2026-12-13,Level assessments after showcase Marina co evaluating promotions for spring term,2026-09-01T10:24:44Z,2026-11-30T09:41:12Z
1204488220140027,Senior Partnering Choreography Refinement,1204488220120003,1204488220130012,1204488220110002,false,2026-12-04,Senior partnering block Fri Dec 4 18 00 to 19 30 refine lifts no changes to locked showcase order,2026-10-04T10:12:03Z,2026-11-18T17:24:03Z
1204488220140028,PT Session with Elena Morning Slot,1204488220120004,1204488220130013,1204488220110002,false,2026-12-08,Moved from Tuesday by Elena slot 2026-12-08 09 00 right shoulder impingement work,2026-11-24T09:02:41Z,2026-11-24T09:02:41Z
1204488220140029,PT Session with Elena Morning Slot,1204488220120004,1204488220130013,1204488220110002,false,2026-12-10,Moved from Tuesday by Elena slot 2026-12-10 09 30 right knee and shoulder,2026-11-24T09:03:14Z,2026-11-24T09:03:14Z
1204488220140030,Recovery Block No Baking No Class,1204488220120004,1204488220130014,1204488220110002,false,2026-12-03,Recovery block 2026-12-03 legs up light stretching protect knee lights out 21 30,2026-11-24T09:04:02Z,2026-11-24T09:04:02Z
