id,customer,amount,currency,status,paid,refunded,amount_refunded,description,payment_intent,created
pi_001,cus_sandrawilliams,25000,usd,succeeded,true,false,0,Copay - door ding repair INV-2026-071,pi_001,1689350400
pi_002,cus_patriciamoore,50000,usd,succeeded,true,false,0,Deductible - RAV4 front end INV-2026-086,pi_002,1693929600
pi_003,cus_mikejohnson,15000,usd,succeeded,true,false,0,Copay - scratch repair,pi_003,1690214400
pi_004,cus_rachelgreen,35000,usd,succeeded,true,false,0,Copay - CR-V side panel INV-2026-080,pi_004,1691424000
pi_005,cus_davidkim,50000,usd,succeeded,true,false,0,Deductible - F-150 bed repair INV-2026-088,pi_005,1694534400
pi_006,cus_anishapatel,10000,usd,succeeded,true,false,0,Copay - bumper scuff repair,pi_006,1690819200
pi_007,cus_jamespark,25000,usd,succeeded,true,false,0,Copay - BMW fender INV-2026-083,pi_007,1692633600
pi_008,cus_carladiaz,47500,usd,succeeded,true,false,0,Copay - fender replacement,pi_008,1693324800
pi_009,cus_tombrady,30000,usd,succeeded,true,false,0,Copay - paint repair,pi_009,1694016000
pi_010,cus_ninashah,20000,usd,succeeded,true,false,0,Copay - mirror replacement and paint,pi_010,1694620800
pi_011,cus_luismartinez,32500,usd,succeeded,true,false,0,Copay - rear bumper,pi_011,1695225600
pi_012,cus_karenwu,18000,usd,succeeded,true,false,0,Copay - scratch and dent repair,pi_012,1695830400
pi_013,cus_marcuswebb,8900,usd,pending,false,false,0,Refund request - overcharge on estimate,pi_013,1696089600
pi_014,cus_robertsantos,42000,usd,succeeded,true,false,0,Deductible - Camry repair deposit,pi_014,1695484800
pi_015,cus_jennyliu,15500,usd,failed,false,false,0,Copay attempt - declined card,pi_015,1695916800
ch_bg_100,cus_bg_100,23712,usd,succeeded,true,false,0,Copay - Toyota Corolla wheel arch rust repair,pi_bg_100,1688000000
ch_bg_101,cus_bg_101,27774,usd,succeeded,true,false,0,Copay - Honda Accord windshield trim repaint,pi_bg_101,1688007200
ch_bg_102,cus_bg_102,16080,usd,succeeded,true,false,0,Copay - Mazda CX-5 dent removal and blend,pi_bg_102,1688014400
ch_bg_103,cus_bg_103,13485,usd,succeeded,true,false,0,Copay - Honda Civic front bumper respray,pi_bg_103,1688021600
ch_bg_104,cus_bg_104,19755,usd,succeeded,true,false,0,Copay - Subaru Outback windshield trim repaint,pi_bg_104,1688028800
ch_bg_105,cus_bg_105,20332,usd,succeeded,true,false,0,Copay - Nissan Rogue front bumper respray,pi_bg_105,1688036000
ch_bg_106,cus_bg_106,47310,usd,succeeded,true,false,0,Copay - Honda CR-V tailgate alignment,pi_bg_106,1688043200
ch_bg_107,cus_bg_107,29956,usd,succeeded,true,false,0,Copay - Subaru Forester front bumper respray,pi_bg_107,1688050400
ch_bg_108,cus_bg_108,23982,usd,succeeded,true,false,0,Copay - BMW 3 Series dent removal and blend,pi_bg_108,1688057600
ch_bg_109,cus_bg_109,15105,usd,succeeded,true,false,0,Copay - Nissan Altima dent removal and blend,pi_bg_109,1688064800
ch_bg_110,cus_bg_110,27048,usd,succeeded,true,false,0,Copay - Mazda CX-5 dent removal and blend,pi_bg_110,1688072000
ch_bg_111,cus_bg_111,32420,usd,succeeded,true,false,0,Copay - Honda Civic windshield trim repaint,pi_bg_111,1688079200
ch_bg_112,cus_bg_112,14160,usd,succeeded,true,false,0,Copay - Ford Escape wheel arch rust repair,pi_bg_112,1688086400
ch_bg_113,cus_bg_113,13520,usd,succeeded,true,false,0,Copay - VW Jetta wheel arch rust repair,pi_bg_113,1688093600
ch_bg_114,cus_bg_114,33607,usd,succeeded,true,false,0,Copay - Dodge Ram wheel arch rust repair,pi_bg_114,1688100800
ch_bg_115,cus_bg_115,14086,usd,succeeded,true,false,0,Copay - VW Jetta fender bender collision repair,pi_bg_115,1688108000
ch_bg_116,cus_bg_116,23672,usd,succeeded,true,false,0,Copay - Toyota Corolla full color-match paint,pi_bg_116,1688115200
ch_bg_117,cus_bg_117,48274,usd,succeeded,true,false,0,Copay - Acura MDX clearcoat restoration,pi_bg_117,1688122400
ch_bg_118,cus_bg_118,16965,usd,succeeded,true,false,0,Copay - Lexus RX front bumper respray,pi_bg_118,1688129600
ch_bg_119,cus_bg_119,47245,usd,succeeded,true,false,0,Copay - Audi A4 headlight assembly swap,pi_bg_119,1688136800
ch_bg_120,cus_bg_120,32021,usd,succeeded,true,false,0,Copay - Chevy Malibu tailgate alignment,pi_bg_120,1688144000
ch_bg_121,cus_bg_121,25483,usd,succeeded,true,false,0,Copay - Nissan Altima insurance estimate repair,pi_bg_121,1688151200
ch_bg_122,cus_bg_122,44347,usd,succeeded,true,false,0,Copay - Nissan Rogue wheel arch rust repair,pi_bg_122,1688158400
ch_bg_123,cus_bg_123,54565,usd,succeeded,true,false,0,Copay - Subaru Forester fender bender collision repair,pi_bg_123,1688165600
ch_bg_124,cus_bg_124,30435,usd,succeeded,true,false,0,Copay - Audi A4 fender bender collision repair,pi_bg_124,1688172800
ch_bg_125,cus_bg_125,52847,usd,succeeded,true,false,0,Copay - Toyota Camry hood replacement and paint,pi_bg_125,1688180000
ch_bg_126,cus_bg_126,42708,usd,succeeded,true,false,0,Copay - Ford Escape hood replacement and paint,pi_bg_126,1688187200
ch_bg_127,cus_bg_127,34149,usd,succeeded,true,false,0,Copay - Toyota Camry clearcoat restoration,pi_bg_127,1688194400
ch_bg_128,cus_bg_128,30764,usd,succeeded,true,false,0,Copay - Chevy Malibu front bumper respray,pi_bg_128,1688201600
ch_bg_129,cus_bg_129,48397,usd,succeeded,true,false,0,Copay - Honda CR-V wheel arch rust repair,pi_bg_129,1688208800
ch_bg_130,cus_bg_130,13107,usd,succeeded,true,false,0,Copay - Ford Escape clearcoat restoration,pi_bg_130,1688216000
ch_bg_131,cus_bg_131,45583,usd,succeeded,true,false,0,Copay - Ford Escape hood replacement and paint,pi_bg_131,1688223200
ch_bg_132,cus_bg_132,51487,usd,succeeded,true,false,0,Copay - Chevy Equinox front bumper respray,pi_bg_132,1688230400
ch_bg_133,cus_bg_133,17696,usd,succeeded,true,false,0,Copay - Audi A4 dent removal and blend,pi_bg_133,1688237600
ch_bg_134,cus_bg_134,21533,usd,succeeded,true,false,0,Copay - Nissan Rogue hood replacement and paint,pi_bg_134,1688244800
ch_bg_135,cus_bg_135,14494,usd,succeeded,true,false,0,Copay - Subaru Forester hood replacement and paint,pi_bg_135,1688252000
ch_bg_136,cus_bg_136,18845,usd,succeeded,true,false,0,Copay - Subaru Forester insurance estimate repair,pi_bg_136,1688259200
ch_bg_137,cus_bg_137,53502,usd,succeeded,true,false,0,Copay - Toyota Camry dent removal and blend,pi_bg_137,1688266400
ch_bg_138,cus_bg_138,14914,usd,succeeded,true,false,0,Copay - Honda Civic insurance estimate repair,pi_bg_138,1688273600
ch_bg_139,cus_bg_139,19318,usd,succeeded,true,false,0,Copay - BMW 3 Series headlight assembly swap,pi_bg_139,1688280800
ch_bg_140,cus_bg_140,42051,usd,succeeded,true,false,0,Copay - Toyota Camry scratch repair and touch-up,pi_bg_140,1688288000
ch_bg_141,cus_bg_141,34787,usd,succeeded,true,false,0,Copay - Mazda 3 door ding buff-out,pi_bg_141,1688295200
