id,issue_number,repo,user,body,created_at
3001,42,tavr-consent-forms,jasoncampbell,Rebased against main. All checks passing now.,2026-07-08T09:00:00Z
3002,43,tavr-biostats,jasoncampbell,Left review comments — the FFR threshold calculation needs revisiting.,2026-05-11T09:00:00Z
3003,44,tavr-consent-forms,jasoncampbell,LGTM! Please add a unit test for the edge case though.,2026-01-22T09:00:00Z
3004,45,tavr-biostats,jasoncampbell,Blocking on the protocol lock. Will merge after 09-25 review.,2026-04-27T09:00:00Z
3005,46,tavr-consent-forms,jasoncampbell,Reproduced locally. Fix looks correct.,2026-01-14T09:00:00Z
3006,47,tavr-consent-forms,jasoncampbell,This changes the enrollment count logic. Need Whitfield's sign-off.,2026-05-24T09:00:00Z
3007,48,tavr-consent-forms,jasoncampbell,Site-SJ-01 vs Site-SJ-02 handling is now correct.,2026-02-20T09:00:00Z
3008,49,tavr-consent-forms,jasoncampbell,Added coverage for the personal workshop books exclusion.,2026-09-24T09:00:00Z
3009,50,tavr-consent-forms,jasoncampbell,See notion page for full protocol context.,2026-03-11T09:00:00Z
3010,51,tavr-biostats,jasoncampbell,Merge conflict resolved. Ready for final review.,2026-09-22T09:00:00Z
3011,52,tavr-consent-forms,jasoncampbell,Confirmed with Amanda Torres that this reflects the fresh count.,2026-05-16T09:00:00Z
3012,53,tavr-consent-forms,jasoncampbell,Superseded 340 correctly labeled per fairness ledger.,2026-09-16T09:00:00Z
3013,54,tavr-biostats,jasoncampbell,Chen prototype branch stays exploratory only per Section 2 step 12.,2026-01-24T09:00:00Z
3014,55,tavr-consent-forms,jasoncampbell,Tests passing after mock data update.,2026-03-21T09:00:00Z
3015,56,tavr-biostats,jasoncampbell,Documented the recency-wins rule in the CONTRIBUTING guide.,2026-01-17T09:00:00Z
3016,57,tavr-biostats,jasoncampbell,Rebased against main. All checks passing now.,2026-05-19T09:00:00Z
3017,58,tavr-biostats,jasoncampbell,Left review comments — the FFR threshold calculation needs revisiting.,2026-04-25T09:00:00Z
3018,59,tavr-biostats,jasoncampbell,LGTM! Please add a unit test for the edge case though.,2026-07-26T09:00:00Z
3019,60,tavr-biostats,jasoncampbell,Blocking on the protocol lock. Will merge after 09-25 review.,2026-02-19T09:00:00Z
3020,61,tavr-biostats,jasoncampbell,Reproduced locally. Fix looks correct.,2026-03-13T09:00:00Z
3021,62,tavr-consent-forms,jasoncampbell,This changes the enrollment count logic. Need Whitfield's sign-off.,2026-03-12T09:00:00Z
3022,63,tavr-consent-forms,jasoncampbell,Site-SJ-01 vs Site-SJ-02 handling is now correct.,2026-04-09T09:00:00Z
3023,64,tavr-biostats,jasoncampbell,Added coverage for the personal workshop books exclusion.,2026-04-13T09:00:00Z
3024,65,tavr-consent-forms,jasoncampbell,See notion page for full protocol context.,2026-07-07T09:00:00Z
3025,66,tavr-biostats,jasoncampbell,Merge conflict resolved. Ready for final review.,2026-03-09T09:00:00Z
3026,67,tavr-consent-forms,jasoncampbell,Confirmed with Amanda Torres that this reflects the fresh count.,2026-04-11T09:00:00Z
3027,68,tavr-biostats,jasoncampbell,Superseded 340 correctly labeled per fairness ledger.,2026-02-16T09:00:00Z
3028,69,tavr-biostats,jasoncampbell,Chen prototype branch stays exploratory only per Section 2 step 12.,2026-05-24T09:00:00Z
3029,70,tavr-consent-forms,jasoncampbell,Tests passing after mock data update.,2026-02-27T09:00:00Z
3030,71,tavr-consent-forms,jasoncampbell,Documented the recency-wins rule in the CONTRIBUTING guide.,2026-01-18T09:00:00Z
3031,72,tavr-consent-forms,jasoncampbell,Rebased against main. All checks passing now.,2026-08-10T09:00:00Z
3032,73,tavr-biostats,jasoncampbell,Left review comments — the FFR threshold calculation needs revisiting.,2026-04-16T09:00:00Z
3033,74,tavr-consent-forms,jasoncampbell,LGTM! Please add a unit test for the edge case though.,2026-03-19T09:00:00Z
3034,75,tavr-biostats,jasoncampbell,Blocking on the protocol lock. Will merge after 09-25 review.,2026-08-09T09:00:00Z
3035,76,tavr-biostats,jasoncampbell,Reproduced locally. Fix looks correct.,2026-07-16T09:00:00Z
3036,77,tavr-biostats,jasoncampbell,This changes the enrollment count logic. Need Whitfield's sign-off.,2026-07-05T09:00:00Z
3037,78,tavr-consent-forms,jasoncampbell,Site-SJ-01 vs Site-SJ-02 handling is now correct.,2026-07-18T09:00:00Z
3038,79,tavr-consent-forms,jasoncampbell,Added coverage for the personal workshop books exclusion.,2026-09-11T09:00:00Z
3039,80,tavr-biostats,jasoncampbell,See notion page for full protocol context.,2026-01-05T09:00:00Z
3040,81,tavr-biostats,jasoncampbell,Merge conflict resolved. Ready for final review.,2026-05-24T09:00:00Z
3041,82,tavr-biostats,jasoncampbell,Confirmed with Amanda Torres that this reflects the fresh count.,2026-04-13T09:00:00Z
3042,83,tavr-biostats,jasoncampbell,Superseded 340 correctly labeled per fairness ledger.,2026-05-15T09:00:00Z
3043,84,tavr-biostats,jasoncampbell,Chen prototype branch stays exploratory only per Section 2 step 12.,2026-05-01T09:00:00Z
3044,85,tavr-biostats,jasoncampbell,Tests passing after mock data update.,2026-06-15T09:00:00Z
3045,86,tavr-consent-forms,jasoncampbell,Documented the recency-wins rule in the CONTRIBUTING guide.,2026-05-06T09:00:00Z
3046,87,tavr-biostats,jasoncampbell,Rebased against main. All checks passing now.,2026-03-13T09:00:00Z
3047,88,tavr-biostats,jasoncampbell,Left review comments — the FFR threshold calculation needs revisiting.,2026-05-20T09:00:00Z
3048,89,tavr-biostats,jasoncampbell,LGTM! Please add a unit test for the edge case though.,2026-04-06T09:00:00Z
3049,90,tavr-biostats,jasoncampbell,Blocking on the protocol lock. Will merge after 09-25 review.,2026-08-05T09:00:00Z
3050,91,tavr-consent-forms,jasoncampbell,Reproduced locally. Fix looks correct.,2026-07-05T09:00:00Z
3051,42,tavr-biostats,jasoncampbell,This changes the enrollment count logic. Need Whitfield's sign-off.,2026-06-11T09:00:00Z
3052,43,tavr-consent-forms,jasoncampbell,Site-SJ-01 vs Site-SJ-02 handling is now correct.,2026-01-24T09:00:00Z
3053,44,tavr-consent-forms,jasoncampbell,Added coverage for the personal workshop books exclusion.,2026-07-26T09:00:00Z
3054,45,tavr-biostats,jasoncampbell,See notion page for full protocol context.,2026-08-17T09:00:00Z
3055,46,tavr-biostats,jasoncampbell,Merge conflict resolved. Ready for final review.,2026-03-04T09:00:00Z
3056,47,tavr-consent-forms,jasoncampbell,Confirmed with Amanda Torres that this reflects the fresh count.,2026-09-20T09:00:00Z
3057,48,tavr-consent-forms,jasoncampbell,Superseded 340 correctly labeled per fairness ledger.,2026-02-18T09:00:00Z
3058,49,tavr-consent-forms,jasoncampbell,Chen prototype branch stays exploratory only per Section 2 step 12.,2026-02-01T09:00:00Z
3059,50,tavr-consent-forms,jasoncampbell,Tests passing after mock data update.,2026-08-18T09:00:00Z
