sys_id,number,short_description,description,state,priority,impact,urgency,category,assigned_to,opened_by,opened_at,updated_at
i3727f0b4aec8018f1915c1064b2761,INC0001001,VPN connectivity failure after patch deployment,VPN client failing to authenticate on Windows laptops after routine patch deployment on 2025-11-28. Affected users unable to connect to internal research drives or SAS license server. Error: 'Authentication failed - certificate not trusted.' Rollback of patch resolves the issue temporarily.,1,1,1,1,network,Joshua Archer,Brian Henderson,2025-11-30T08:21:42+00:00,2025-12-12T22:15:17+00:00
iadde7f6af579dd89699c151e762231,INC0001002,SAS license renewal — activation key not applied,SAS 9.4 license server showing expiry warning. License renewal was submitted to vendor in April but activation key has not been applied. Research cluster jobs failing intermittently with license checkout error. Need activation key applied before month end.,2,2,2,2,software,Jessica Powell,Mark Stevens,2025-12-07T04:48:22+00:00,2025-12-10T17:09:29+00:00
i98cbbf2787eb1054d2c869cb1a3e4c,INC0001003,R package dependency error on research cluster,R package 'survival' (v3.5.7) failing to install on the shared research cluster due to a dependency conflict with 'Matrix' (v1.5-1). Error: 'package Matrix 1.5-1 is not available for R 4.3.2'. Affects biostatistics team scripts for ongoing mRNA-4157 trial analysis.,2,2,2,2,software,Richard Barrera,Brian Henderson,2025-11-20T03:28:35+00:00,2025-12-01T00:28:18+00:00
i2c4cabe6494abb47e4e73504331d03,INC0001004,Secondary monitor no signal after OS update,Dual-monitor setup at workstation WB-BH-02 (Brian Henderson) lost signal on secondary display after OS update. Display recognized in Device Manager but shows no output. HDMI cable swapped — no change. Primary display unaffected.,3,3,3,3,hardware,Joshua Archer,Brian Henderson,2025-12-02T23:06:00+00:00,2025-12-03T05:19:28+00:00
ifb43a5ade4387e8df853b1e4a92b6d,INC0001005,Research network drive unmaps on reboot,Shared network drive \\wb-nas01\research unmapping on reboot for several users in the Biostatistics department. Drive must be manually remapped each session. Likely related to GPO login script not executing correctly for domain users on the new workstation image.,6,2,2,2,software,Jessica Powell,Mark Stevens,2025-11-27T17:11:10+00:00,2025-12-05T19:09:02+00:00
iccea365f283b3fdf13cd4b092cb934,INC0001006,CTMS archive read access request — HL-2024-09 trial,Request for read access to the CTMS (Clinical Trial Management System) archive folder for the HL-2024-09 trial. Brian Henderson needs access to pull historical randomization tables for the NEJM submission due 2026-12-16.,2,3,3,3,inquiry,Richard Barrera,Brian Henderson,2025-12-11T00:33:00+00:00,2025-12-11T02:28:54+00:00
ifb95450375a6744492b536151481db,INC0001007,Intermittent Zoom drops — 3rd floor Wi-Fi,Zoom meetings dropping intermittently for users on the 3rd floor of 200 Technology Square. Issue appears correlated with high bandwidth usage on the internal Wi-Fi AP (wb-ap-3f-01). Wired connection users unaffected.,7,2,2,2,network,Jessica Powell,Rebecca Foster,2025-11-29T11:53:51+00:00,2025-12-08T00:00:26+00:00
i6ab50a7f69e4290dfa4c359445ed51,INC0001008,Okta MFA push notifications not working on iOS,Multi-factor authentication (MFA) push notifications not arriving on iOS for several staff members after Okta app update (v8.2.0). Users can work around via OTP code entry but MFA push is preferred. Issue may be related to app notification permissions resetting after the update.,6,3,3,3,software,Joshua Archer,Mark Stevens,2025-12-10T01:36:01+00:00,2025-12-13T13:04:27+00:00
e3b804650ffc8f89a3be24d6025bf7ce,INC0001100,"Pipeline failed","Pipeline failed reported by user.",2 - In Progress,4 - Low,3 - Low,2 - Medium,Software,ujosephadams108,uashleyharris174,2026-10-14T10:00:00Z,2026-10-20T10:00:00Z
2a02c2ed5af99647dfb6931c41c087c3,INC0001101,"API timeout","API timeout reported by user.",1 - New,3 - Moderate,3 - Low,3 - Low,Software,ubrianhenderson001,uabigailking151,2026-06-02T14:00:00Z,2026-06-23T14:00:00Z
40a464aeffe7f94eb6d5eecb5b77d624,INC0001102,"Pipeline failed","Pipeline failed reported by user.",7 - Closed,4 - Low,3 - Low,2 - Medium,Software,urobertgarcia181,uanthonywalker132,2026-08-16T13:00:00Z,2026-08-26T13:00:00Z
3fcb3b1d234853efac309da72c84d018,INC0001103,"Slow query","Slow query reported by user.",1 - New,3 - Moderate,3 - Low,2 - Medium,Software,umarkstevens002,urichardnelson123,2026-08-15T13:00:00Z,2026-08-27T13:00:00Z
0b477bdaf983554872cf22c33a16a874,INC0001104,"Login failure","Login failure reported by user.",7 - Closed,3 - Moderate,3 - Low,3 - Low,Software,unancybaker126,ujamescarter100,2026-06-01T11:00:00Z,2026-06-21T11:00:00Z
ece3747daf9dee13d97072327b7b213f,INC0001105,"API timeout","API timeout reported by user.",7 - Closed,4 - Low,2 - Medium,1 - High,Software,umatthewscott141,ujenniferjones164,2026-02-05T14:00:00Z,2026-02-26T14:00:00Z
571bdc13f85bc8bcbcbb8c90e0ae6f5c,INC0001106,"Cert expired","Cert expired reported by user.",2 - In Progress,4 - Low,3 - Low,2 - Medium,Software,ujoshuaarcher005,umatthewanderson158,2026-10-02T16:00:00Z,2026-10-21T16:00:00Z
7741e9bf47f48d1cc22d028f7a05a3da,INC0001107,"Cert expired","Cert expired reported by user.",6 - Resolved,1 - Critical,2 - Medium,2 - Medium,Software,ujamesdavis195,uameliagreen172,2026-04-14T17:00:00Z,2026-04-20T17:00:00Z
5c06e54cce024f4a38551a58fb92d6c2,INC0001108,"Login failure","Login failure reported by user.",1 - New,1 - Critical,1 - High,2 - Medium,Software,uanthonydavis121,uemilyjohnson107,2026-01-08T11:00:00Z,2026-01-20T11:00:00Z
bb6d8548c5afb6872c2f51d12d14f64e,INC0001109,"Cert expired","Cert expired reported by user.",6 - Resolved,3 - Moderate,3 - Low,2 - Medium,Software,urichardlewis184,urichardbarrera006,2026-08-11T17:00:00Z,2026-08-27T17:00:00Z
c627cdcf447bad5bb40861b31cae4b56,INC0001110,"Email not sending","Email not sending reported by user.",1 - New,1 - Critical,3 - Low,3 - Low,Software,uisabellabaker129,usandrawilson127,2026-05-04T12:00:00Z,2026-05-20T12:00:00Z
a4eff3258869baf6f3ea9e048cab5f95,INC0001111,"Pipeline failed","Pipeline failed reported by user.",1 - New,1 - Critical,3 - Low,1 - High,Software,urichardlewis184,uashleywright167,2026-08-03T11:00:00Z,2026-08-26T11:00:00Z
d07600f534d6b3a6397f9e0b99021728,INC0001112,"Slow query","Slow query reported by user.",1 - New,1 - Critical,1 - High,1 - High,Software,ujamesgreen135,ukarenjones160,2026-07-08T13:00:00Z,2026-07-23T13:00:00Z
01a5a8771a53e0cc6fc3b142a075cfd9,INC0001113,"Pipeline failed","Pipeline failed reported by user.",6 - Resolved,4 - Low,2 - Medium,3 - Low,Software,urichardadams120,usandrawilson133,2026-07-13T08:00:00Z,2026-07-20T08:00:00Z
ded434a3aa6afc8b911a2db4602c2928,INC0001114,"Cert expired","Cert expired reported by user.",1 - New,2 - High,1 - High,3 - Low,Software,uthomassmith178,urichardadams120,2026-01-04T15:00:00Z,2026-01-21T15:00:00Z
f9e0d78c895ef29e32d007dfe53edd18,INC0001115,"Email not sending","Email not sending reported by user.",6 - Resolved,4 - Low,2 - Medium,2 - Medium,Software,ujamesdavis195,uisabellabaker129,2026-04-12T16:00:00Z,2026-04-24T16:00:00Z
f62712e1e5a17cf2839fa7d745f63c86,INC0001116,"Slow query","Slow query reported by user.",7 - Closed,4 - Low,2 - Medium,3 - Low,Software,uabigailhall180,uanthonytaylor110,2026-08-17T15:00:00Z,2026-08-21T15:00:00Z
3ba5e8dd10ee79b3b38d1c3d9e66b1d0,INC0001117,"API timeout","API timeout reported by user.",2 - In Progress,3 - Moderate,3 - Low,2 - Medium,Software,ujoshuaarcher005,ujamescarter100,2026-09-08T17:00:00Z,2026-09-23T17:00:00Z
64f5f09675f168cbf26202d03ff9a2a6,INC0001118,"Dashboard down","Dashboard down reported by user.",2 - In Progress,4 - Low,2 - Medium,2 - Medium,Software,uevelynclark153,usandraanderson139,2026-04-03T14:00:00Z,2026-04-22T14:00:00Z
af333d41b0d547e201fb5a8ffa316b00,INC0001119,"Email not sending","Email not sending reported by user.",7 - Closed,1 - Critical,1 - High,3 - Low,Software,uevelynyoung169,uabigailmoore175,2026-08-08T08:00:00Z,2026-08-27T08:00:00Z
64082b6642e006348a2bffde84c24435,INC0001120,"Slow query","Slow query reported by user.",6 - Resolved,1 - Critical,3 - Low,3 - Low,Software,ujosephadams108,urichardbarrera006,2026-04-01T11:00:00Z,2026-04-25T11:00:00Z
e8b2bc7313507720df310e8c447569cb,INC0001121,"Disk full","Disk full reported by user.",1 - New,4 - Low,2 - Medium,3 - Low,Software,uemmataylor104,uameliahall103,2026-04-17T08:00:00Z,2026-04-21T08:00:00Z
2eaa4c126c2bffed651d76a538b4cdd4,INC0001122,"Pipeline failed","Pipeline failed reported by user.",7 - Closed,2 - High,3 - Low,2 - Medium,Software,uemmahall161,uashleybrown113,2026-06-06T12:00:00Z,2026-06-23T12:00:00Z
e77f7d3b0c3ac446c1d69fec2903c288,INC0001123,"Login failure","Login failure reported by user.",1 - New,3 - Moderate,3 - Low,3 - Low,Software,uashleynelson149,uanthonydavis121,2026-04-11T09:00:00Z,2026-04-26T09:00:00Z
7c1aa536770cf9bddd0ee4aab86a3d6e,INC0001124,"Email not sending","Email not sending reported by user.",1 - New,2 - High,1 - High,1 - High,Software,ucharleslee193,uanthonywalker132,2026-09-11T15:00:00Z,2026-09-20T15:00:00Z
103b50a6883e317e1e82a026d2ace725,INC0001125,"Dashboard down","Dashboard down reported by user.",2 - In Progress,3 - Moderate,2 - Medium,2 - Medium,Software,umarkcarter177,uameliahall103,2026-07-11T12:00:00Z,2026-07-27T12:00:00Z
5233e803f0851ede25e716dcf8d55de9,INC0001126,"Slow query","Slow query reported by user.",1 - New,4 - Low,1 - High,2 - Medium,Software,ujamesdavis195,uashleyharris174,2026-03-17T10:00:00Z,2026-03-21T10:00:00Z
59f7bbee4afdf4745bae11e1e1943999,INC0001127,"API timeout","API timeout reported by user.",1 - New,3 - Moderate,1 - High,3 - Low,Software,ujamescarter100,uthomastaylor105,2026-07-09T17:00:00Z,2026-07-25T17:00:00Z
f35de2b693513ad9a19ba06fbc444907,INC0001128,"Dashboard down","Dashboard down reported by user.",2 - In Progress,4 - Low,3 - Low,2 - Medium,Software,ujosephlewis118,uisabellathompson170,2026-01-10T10:00:00Z,2026-01-20T10:00:00Z
572482779d30ed511e61f3edca0f6583,INC0001129,"Email not sending","Email not sending reported by user.",7 - Closed,1 - Critical,2 - Medium,2 - Medium,Software,ukarenmiller148,uevelynyoung169,2026-02-16T09:00:00Z,2026-02-23T09:00:00Z
9071041a21112948d18035f9ecc89344,INC0001130,"API timeout","API timeout reported by user.",7 - Closed,2 - High,3 - Low,1 - High,Software,uanthonywilson155,umarkstevens002,2026-08-07T15:00:00Z,2026-08-22T15:00:00Z
25eef50d042240d23790fcc3646241cb,INC0001131,"VPN issue","VPN issue reported by user.",7 - Closed,4 - Low,1 - High,3 - Low,Software,uanthonyclark189,urichardlewis184,2026-03-12T11:00:00Z,2026-03-22T11:00:00Z
0b90d76c4ba558b7aed8e76a42935957,INC0001132,"VPN issue","VPN issue reported by user.",2 - In Progress,4 - Low,2 - Medium,3 - Low,Software,uanthonydavis121,uabigailking151,2026-08-18T11:00:00Z,2026-08-24T11:00:00Z
fda8b3624cc584fbbd26a63cdb3a651a,INC0001133,"Disk full","Disk full reported by user.",7 - Closed,2 - High,3 - Low,2 - Medium,Software,ukarenjones160,usophiabaker188,2026-10-18T12:00:00Z,2026-10-20T12:00:00Z
bc243d8debed99daf0bcea2b8c211f38,INC0001134,"Slow query","Slow query reported by user.",2 - In Progress,3 - Moderate,3 - Low,3 - Low,Software,umatthewscott141,ujessicapowell004,2026-09-18T13:00:00Z,2026-09-21T13:00:00Z
eb1e3cfef2a1096c6b6be85941df8fed,INC0001135,"Report not generating","Report not generating reported by user.",2 - In Progress,1 - Critical,1 - High,2 - Medium,Software,usophiabaker188,urobertadams192,2026-04-03T08:00:00Z,2026-04-21T08:00:00Z
5a3754ba27d4658a1e05f4cb96657c19,INC0001136,"API timeout","API timeout reported by user.",2 - In Progress,1 - Critical,3 - Low,1 - High,Software,usandraking157,ujamesnelson147,2026-07-17T11:00:00Z,2026-07-26T11:00:00Z
682dae3d61b40d7efe52563715998657,INC0001137,"Disk full","Disk full reported by user.",6 - Resolved,2 - High,1 - High,2 - Medium,Software,udanieljohnson150,uoliviagreen176,2026-05-05T17:00:00Z,2026-05-25T17:00:00Z
720f19b8c736f4bc45a4fb39873771ee,INC0001138,"Report not generating","Report not generating reported by user.",6 - Resolved,3 - Moderate,1 - High,1 - High,Software,urichardtaylor128,urichardmoore143,2026-01-16T16:00:00Z,2026-01-24T16:00:00Z
0716ebc71aabce67a531a940486bfda7,INC0001139,"Login failure","Login failure reported by user.",1 - New,1 - Critical,1 - High,2 - Medium,Software,urichardbarrera006,uthomaslewis130,2026-08-13T14:00:00Z,2026-08-26T14:00:00Z
4bef59dda9ce720155174f3aab409086,INC0001140,"Login failure","Login failure reported by user.",7 - Closed,1 - Critical,2 - Medium,2 - Medium,Software,uanthonywilson155,urichardbarrera006,2026-01-03T08:00:00Z,2026-01-27T08:00:00Z
e43c06f069284845a5d3a16ea1abc4f5,INC0001141,"Slow query","Slow query reported by user.",1 - New,2 - High,2 - Medium,2 - Medium,Software,umichaelyoung197,urichardnelson123,2026-07-13T17:00:00Z,2026-07-20T17:00:00Z
ce3cd136c4c5dd51ec3329c433dfa039,INC0001142,"Disk full","Disk full reported by user.",7 - Closed,3 - Moderate,3 - Low,2 - Medium,Software,unancybaker126,uthomassmith178,2026-07-11T16:00:00Z,2026-07-21T16:00:00Z
07b681e5d7cf21f8a44cb12ae4599f8b,INC0001143,"Slow query","Slow query reported by user.",2 - In Progress,3 - Moderate,3 - Low,2 - Medium,Software,umarkcarter177,unancybaker126,2026-09-15T14:00:00Z,2026-09-22T14:00:00Z
2ef6e8c26418f4084b4cee0bc51fdf60,INC0001144,"Pipeline failed","Pipeline failed reported by user.",7 - Closed,1 - Critical,3 - Low,3 - Low,Software,uavawalker185,usandraanderson139,2026-01-17T15:00:00Z,2026-01-21T15:00:00Z
