sys_id,number,short_description,description,state,priority,risk,type,assigned_to,requested_by,start_date,end_date
chg0000000000000000000000fresh01,CHG0012045,Board sitting relocation and start time change for December 17,"Year end board sitting moved to Maplewood Board Chamber, Room 210, new start time 5:30 PM on 2026-12-17. Supersedes the earlier library booking. Approved by district facilities.",Implement,1 - Critical,Moderate,Normal,Facilities Coordinator,Dr. Patricia Hernandez,2026-12-11 09:15:00,2026-12-17 21:00:00
chg0000000000000000000000fresh02,CHG0012061,Hiring and staffing freeze pulled forward,"Staffing freeze effective 2026-12-11, pulled forward from the previously published date. All postings advancing past this date are frozen pending board direction.",Implement,1 - Critical,High,Normal,HR Operations,Dr. Patricia Hernandez,2026-12-11 10:00:00,2027-01-31 17:00:00
chg00000000000000000000000000000rt,CHG0011000,Projector lamp replacement,Routine facilities change 0: Projector lamp replacement in Main Building.,Assess,3 - Moderate,Low,Standard,Facilities Coordinator,Mateo Cohen,2026-09-01 00:00:00,2026-09-02 00:00:00
chg00000000000000000000000000001rt,CHG0011001,HVAC filter service,Routine facilities change 1: HVAC filter service in Science Wing.,Closed,3 - Moderate,Moderate,Standard,Facilities Coordinator,Hassan Costa,2026-09-02 00:00:00,2026-09-03 00:00:00
chg00000000000000000000000000002rt,CHG0011002,Door access re-key,Routine facilities change 2: Door access re-key in Arts Wing.,Implement,3 - Moderate,Low,Normal,Facilities Coordinator,Sofia Chen,2026-09-03 00:00:00,2026-09-04 00:00:00
chg00000000000000000000000000003rt,CHG0011003,Network switch reboot,Routine facilities change 3: Network switch reboot in Gymnasium.,New,3 - Moderate,Low,Normal,Facilities Coordinator,Carlos Mensah,2026-09-04 00:00:00,2026-09-05 00:00:00
chg00000000000000000000000000004rt,CHG0011004,Gym floor refinish,Routine facilities change 4: Gym floor refinish in Portable A.,Closed,4 - Low,Moderate,Normal,Facilities Coordinator,Nina Dupont,2026-09-05 00:00:00,2026-09-06 00:00:00
chg00000000000000000000000000005rt,CHG0011005,Parking lot line paint,Routine facilities change 5: Parking lot line paint in Portable B.,Review,4 - Low,Low,Standard,Facilities Coordinator,Ravi Vasquez,2026-09-06 00:00:00,2026-09-07 00:00:00
chg00000000000000000000000000006rt,CHG0011006,Fire panel inspection,Routine facilities change 6: Fire panel inspection in Library Learning Commons.,Closed,4 - Low,Low,Normal,Facilities Coordinator,Diego Novak,2026-09-07 00:00:00,2026-09-08 00:00:00
chg00000000000000000000000000007rt,CHG0011007,Water fountain repair,Routine facilities change 7: Water fountain repair in Main Office.,New,3 - Moderate,Low,Normal,Facilities Coordinator,Lucia Sharma,2026-09-08 00:00:00,2026-09-09 00:00:00
