id,intent,status,amount_value,currency_code,payee_email,description,create_time
ord_PPX0000,CAPTURE,COMPLETED,20.02,USD,maplehillgoods@etsy.com,Etsy - MapleHillGoods gift,2024-11-01T14:00:00Z
ord_PPX0001,CAPTURE,COMPLETED,82.23,USD,orders@rei.com,REI Co-op,2024-11-09T14:00:00Z
ord_PPX0002,CAPTURE,COMPLETED,22.70,USD,papertrail@etsy.com,Etsy - handmade card set,2024-11-10T14:00:00Z
ord_PPX0003,CAPTURE,COMPLETED,9.77,USD,pay@bandcamp.com,Bandcamp - indie folk album,2024-11-15T14:00:00Z
ord_PPX0004,CAPTURE,COMPLETED,40.86,USD,give@gtanimalshelter.org,Grand Traverse Animal Shelter - donation,2024-11-26T14:00:00Z
ord_PPX0005,CAPTURE,COMPLETED,19.83,USD,meg.kowalczyk@gmail.com,Split dinner w/ Meg,2024-12-06T14:00:00Z
ord_PPX0006,CAPTURE,COMPLETED,20.62,USD,orders@patagonia.com,Patagonia Worn Wear,2024-12-07T14:00:00Z
ord_PPX0007,CAPTURE,COMPLETED,16.24,USD,pass@michigantrails.org,Michigan Trails - annual pass,2024-12-10T14:00:00Z
ord_PPX0008,CAPTURE,COMPLETED,32.68,USD,maplehillgoods@etsy.com,Etsy - MapleHillGoods gift,2024-12-11T14:00:00Z
ord_PPX0009,CAPTURE,COMPLETED,68.65,USD,orders@rei.com,REI Co-op,2025-01-01T14:00:00Z
ord_PPX0010,CAPTURE,COMPLETED,23.24,USD,papertrail@etsy.com,Etsy - handmade card set,2025-01-02T14:00:00Z
ord_PPX0011,CAPTURE,COMPLETED,12.10,USD,pay@bandcamp.com,Bandcamp - indie folk album,2025-01-05T14:00:00Z
ord_PPX0012,CAPTURE,COMPLETED,42.35,USD,give@gtanimalshelter.org,Grand Traverse Animal Shelter - donation,2025-01-13T14:00:00Z
ord_PPX0013,CAPTURE,COMPLETED,26.05,USD,meg.kowalczyk@gmail.com,Split dinner w/ Meg,2025-01-24T14:00:00Z
ord_PPX0014,CAPTURE,COMPLETED,45.08,USD,orders@patagonia.com,Patagonia Worn Wear,2025-02-06T14:00:00Z
ord_PPX0015,CAPTURE,COMPLETED,11.33,USD,pass@michigantrails.org,Michigan Trails - annual pass,2025-02-15T14:00:00Z
ord_PPX0016,CAPTURE,COMPLETED,18.75,USD,maplehillgoods@etsy.com,Etsy - MapleHillGoods gift,2025-02-17T14:00:00Z
ord_PPX0017,CAPTURE,COMPLETED,53.33,USD,orders@rei.com,REI Co-op,2025-02-24T14:00:00Z
ord_PPX0018,CAPTURE,COMPLETED,17.25,USD,papertrail@etsy.com,Etsy - handmade card set,2025-03-04T14:00:00Z
ord_PPX0019,CAPTURE,COMPLETED,10.93,USD,pay@bandcamp.com,Bandcamp - indie folk album,2025-03-14T14:00:00Z
ord_PPX0020,CAPTURE,COMPLETED,38.78,USD,give@gtanimalshelter.org,Grand Traverse Animal Shelter - donation,2025-03-14T14:00:00Z
ord_PPX0021,CAPTURE,COMPLETED,31.72,USD,meg.kowalczyk@gmail.com,Split dinner w/ Meg,2025-04-02T14:00:00Z
ord_PPX0022,CAPTURE,COMPLETED,63.13,USD,orders@patagonia.com,Patagonia Worn Wear,2025-04-12T14:00:00Z
ord_PPX0023,CAPTURE,COMPLETED,13.77,USD,pass@michigantrails.org,Michigan Trails - annual pass,2025-04-24T14:00:00Z
ord_PPX0024,CAPTURE,COMPLETED,37.68,USD,maplehillgoods@etsy.com,Etsy - MapleHillGoods gift,2025-04-26T14:00:00Z
ord_PPX0025,CAPTURE,COMPLETED,34.08,USD,orders@rei.com,REI Co-op,2025-05-16T14:00:00Z
ord_PPX0026,CAPTURE,COMPLETED,17.19,USD,papertrail@etsy.com,Etsy - handmade card set,2025-05-25T14:00:00Z
ord_PPX0027,CAPTURE,COMPLETED,10.17,USD,pay@bandcamp.com,Bandcamp - indie folk album,2025-05-27T14:00:00Z
ord_PPX0028,CAPTURE,COMPLETED,47.67,USD,give@gtanimalshelter.org,Grand Traverse Animal Shelter - donation,2025-06-07T14:00:00Z
ord_PPX0029,CAPTURE,COMPLETED,14.81,USD,meg.kowalczyk@gmail.com,Split dinner w/ Meg,2025-06-08T14:00:00Z
