place_id,name,formatted_address,lat,lng,rating,user_ratings_total,types,business_status,price_level
place_bexley-bikes-co,Bexley Bikes Co,"107 Main St, Bexley, OH",39.969,-82.937,4.3,212,bicycle_shop,OPERATIONAL,2
place_grove-gable,Grove & Gable,"114 Main St, Worthington, OH",40.093,-83.018,4.6,151,home_goods_store,OPERATIONAL,2
place_dublin-dental-partners,Dublin Dental Partners,"121 Main St, Dublin, OH",40.099,-83.114,4.6,103,dentist,OPERATIONAL,2
place_harvest-table-catering,Harvest Table Catering,"128 Main St, Westerville, OH",40.126,-82.929,4.7,88,caterer,OPERATIONAL,2
place_clintonville-coffee-roasters,Clintonville Coffee Roasters,"135 Main St, Columbus, OH",40.037,-83.016,4.6,340,coffee_roaster,OPERATIONAL,2
place_grandview-auto-care,Grandview Auto Care,"142 Main St, Grandview Heights, OH",39.982,-83.041,4.5,156,auto_repair,OPERATIONAL,2
place_powell-pediatrics,Powell Pediatrics,"149 Main St, Powell, OH",40.157,-83.075,4.4,64,pediatrician,OPERATIONAL,2
place_worthington-wellness-studio,Worthington Wellness Studio,"156 Main St, Worthington, OH",40.093,-83.017,4.8,121,wellness_center,OPERATIONAL,2
place_riverside-coworking,Riverside Coworking,"163 Main St, Columbus, OH",39.984,-83.028,4.5,54,coworking_space,OPERATIONAL,2
place_dublin-tech-collective,Dublin Tech Collective,"170 Main St, Dublin, OH",40.099,-83.114,4.6,37,software_company,OPERATIONAL,2
place_polaris-boutique-fitness,Polaris Boutique Fitness,"177 Main St, Columbus, OH",40.146,-82.98,4.3,68,fitness_studio,OPERATIONAL,2
place_gahanna-garden-center,Gahanna Garden Center,"184 Main St, Gahanna, OH",40.019,-82.876,4.4,92,garden_center,OPERATIONAL,2
place_new-albany-pet-clinic,New Albany Pet Clinic,"191 Main St, New Albany, OH",40.081,-82.808,4.7,176,veterinarian,OPERATIONAL,2
place_meridian-home-staging,Meridian Home Staging,"198 Main St, Columbus, OH",39.961,-83.001,4.5,29,home_staging,OPERATIONAL,2
place_short-north-framing,Short North Framing,"205 Main St, Columbus, OH",39.977,-83.001,4.4,41,framing_store,OPERATIONAL,2
