"sys_id","number","short_description","description","state","priority","risk","type","assigned_to","requested_by","start_date","end_date"
"89a270a247a014a96b1a80c993abc45f","CHG0010001","Update approval matrix thresholds","Normal change scheduled through study-erp change advisory board; standard risk assessment completed.","Closed","3 - Moderate","Moderate","Normal","henrik.bjork","eva.holm","2026-10-16T09:00:00Z","2026-10-16T16:00:00Z"
"158fa54cf373d1ccfa292a050180ef18","CHG0010002","Rotate service account keys","Emergency change raised outside normal CAB cycle; requires post-implementation review in study-erp.","Closed","4 - Low","Low","Emergency","filip.bjork","sofia.pettersson","2026-10-12T09:00:00Z","2026-10-12T21:00:00Z"
"07a9572333559ef88c647ba0a0313625","CHG0010003","Add SoD control rule","Pre-approved standard change from study-erp template catalogue; low touch execution window.","Assess","2 - High","High","Standard","jonas.bjork","henrik.bjork","2026-10-07T09:00:00Z","2026-10-07T13:00:00Z"
"5e762aa0fa30558108eaab640dc6577e","CHG0010004","Migrate vendor master schema","Normal change scheduled through study-erp change advisory board; standard risk assessment completed.","Scheduled","3 - Moderate","Moderate","Normal","emma.bjork","viktor.holm","2026-11-23T09:00:00Z","2026-11-23T18:00:00Z"
"9ab049700a012ddd8953597119b563ba","CHG0010005","Enable dual approval on payments","Emergency change raised outside normal CAB cycle; requires post-implementation review in study-erp.","Scheduled","4 - Low","Low","Emergency","sara.bjork","daniel.pettersson","2026-11-20T09:00:00Z","2026-11-20T17:00:00Z"
"c1c2e1fadaf53dc143276afcba288939","CHG0010006","Patch payroll interface","Pre-approved standard change from study-erp template catalogue; low touch execution window.","Closed","2 - High","High","Standard","henrik.bjork","filip.bjork","2026-12-01T09:00:00Z","2026-12-01T12:00:00Z"
"6b9951f9655f5aefc4a740e480fdd0e7","CHG0010007","Refresh reporting warehouse","Normal change scheduled through study-erp change advisory board; standard risk assessment completed.","Assess","3 - Moderate","Moderate","Normal","filip.bjork","lucas.holm","2026-12-24T09:00:00Z","2026-12-24T15:00:00Z"
"f4acb0a291cf4d620e84c74c4485fd62","CHG0010008","Tighten access certification job","Emergency change raised outside normal CAB cycle; requires post-implementation review in study-erp.","Authorize","4 - Low","Low","Emergency","jonas.bjork","emil.pettersson","2026-11-29T09:00:00Z","2026-11-29T11:00:00Z"
"e9ff6bc3fb8c4e629b6bebfdad7cc248","CHG0010009","Upgrade bank-feed connector","Pre-approved standard change from study-erp template catalogue; low touch execution window.","Assess","2 - High","High","Standard","emma.bjork","jonas.bjork","2026-11-11T09:00:00Z","2026-11-11T13:00:00Z"
"05e961227cfbe670285c608646e0fa8f","CHG0010010","Deploy GL month-end patch","Normal change scheduled through study-erp change advisory board; standard risk assessment completed.","Closed","3 - Moderate","Moderate","Normal","sara.bjork","rasmus.holm","2026-09-16T09:00:00Z","2026-09-16T18:00:00Z"
"e5a601f3f7d26ddcfc905b6d5fb9db10","CHG0010011","Update approval matrix thresholds","Emergency change raised outside normal CAB cycle; requires post-implementation review in study-erp.","Authorize","4 - Low","Low","Emergency","henrik.bjork","vidar.pettersson","2026-12-11T09:00:00Z","2026-12-11T10:00:00Z"
"27bd6fde953a7fb894271c6aa0b700ab","CHG0010012","Rotate service account keys","Pre-approved standard change from study-erp template catalogue; low touch execution window.","Review","2 - High","High","Standard","filip.bjork","emma.bjork","2026-09-22T09:00:00Z","2026-09-22T14:00:00Z"
"494419dcdde9c1845961c91c8289ccc1","CHG0010013","Add SoD control rule","Normal change scheduled through study-erp change advisory board; standard risk assessment completed.","Authorize","3 - Moderate","Moderate","Normal","jonas.bjork","karin.holm","2026-11-14T09:00:00Z","2026-11-14T20:00:00Z"
