playlist_id,name,description,owner_id,public,collaborative
plst_long_run,Long Run - Half Marathon Prep,"Americana + indie folk for Saturday long runs",user-fritz-rush,false,false
plst_pre_dawn,Pre-Dawn Greenway,"5:15 AM greenway easy runs",user-fritz-rush,false,false
plst_hymns_sunday,Sunday Hymns,"Church prep and driving to Trinity",user-fritz-rush,false,false
plst_race_day,Atlanta Half Race Day Nov 20,"For race morning warmup",user-fritz-rush,false,false
plst_101,Weekly running mix,Weekly rotation,user-fritz-rush,false,false
plst_102,Half-marathon prep week,Weekly rotation,user-fritz-rush,false,false
plst_103,Recovery run,Weekly rotation,user-fritz-rush,false,false
plst_104,Speed intervals,Weekly rotation,user-fritz-rush,false,false
plst_105,Sunday hymns,Weekly rotation,user-fritz-rush,false,false
plst_106,Weekend chemex,Weekly rotation,user-fritz-rush,false,false
plst_107,Dinner cooking,Weekly rotation,user-fritz-rush,false,false
plst_108,Kids playlist,Weekly rotation,user-fritz-rush,false,false
plst_109,Family car,Weekly rotation,user-fritz-rush,false,false
plst_110,Long drive,Weekly rotation,user-fritz-rush,false,false
plst_111,Late-night reading,Weekly rotation,user-fritz-rush,false,false
plst_112,Manuscript writing,Weekly rotation,user-fritz-rush,false,false
plst_113,Late focus,Weekly rotation,user-fritz-rush,false,false
plst_114,Book club evening,Weekly rotation,user-fritz-rush,false,false
plst_115,Church prep,Weekly rotation,user-fritz-rush,false,false
plst_116,Christmas hymns,Weekly rotation,user-fritz-rush,false,false
plst_117,Advent,Weekly rotation,user-fritz-rush,false,false
plst_118,Wedding anniversary,Weekly rotation,user-fritz-rush,false,false
plst_119,Denver drive,Weekly rotation,user-fritz-rush,false,false
plst_120,Vacation vibes,Weekly rotation,user-fritz-rush,false,false
plst_121,Beach playlist,Weekly rotation,user-fritz-rush,false,false
plst_122,Rainy day,Weekly rotation,user-fritz-rush,false,false
plst_123,Winter run,Weekly rotation,user-fritz-rush,false,false
plst_124,Spring run,Weekly rotation,user-fritz-rush,false,false
plst_125,Fall run,Weekly rotation,user-fritz-rush,false,false
plst_126,Marathon countdown,Weekly rotation,user-fritz-rush,false,false
plst_127,Post-race recovery,Weekly rotation,user-fritz-rush,false,false
plst_128,Bike ride,Weekly rotation,user-fritz-rush,false,false
plst_129,Yoga,Weekly rotation,user-fritz-rush,false,false
plst_130,Cool down,Weekly rotation,user-fritz-rush,false,false
plst_131,Reference playlist 131,Reference,user-fritz-rush,false,false
plst_132,Reference playlist 132,Reference,user-fritz-rush,false,false
plst_133,Reference playlist 133,Reference,user-fritz-rush,false,false
plst_134,Reference playlist 134,Reference,user-fritz-rush,false,false
plst_135,Reference playlist 135,Reference,user-fritz-rush,false,false
plst_136,Reference playlist 136,Reference,user-fritz-rush,false,false
plst_137,Reference playlist 137,Reference,user-fritz-rush,false,false
plst_138,Reference playlist 138,Reference,user-fritz-rush,false,false
plst_139,Reference playlist 139,Reference,user-fritz-rush,false,false
plst_140,Reference playlist 140,Reference,user-fritz-rush,false,false
plst_141,Reference playlist 141,Reference,user-fritz-rush,false,false
plst_142,Reference playlist 142,Reference,user-fritz-rush,false,false
plst_143,Reference playlist 143,Reference,user-fritz-rush,false,false
plst_144,Reference playlist 144,Reference,user-fritz-rush,false,false
plst_145,Reference playlist 145,Reference,user-fritz-rush,false,false
plst_146,Reference playlist 146,Reference,user-fritz-rush,false,false
plst_147,Reference playlist 147,Reference,user-fritz-rush,false,false
plst_148,Reference playlist 148,Reference,user-fritz-rush,false,false
plst_149,Reference playlist 149,Reference,user-fritz-rush,false,false
plst_150,Reference playlist 150,Reference,user-fritz-rush,false,false
plst_151,Reference playlist 151,Reference,user-fritz-rush,false,false
plst_152,Reference playlist 152,Reference,user-fritz-rush,false,false
plst_153,Reference playlist 153,Reference,user-fritz-rush,false,false
plst_154,Reference playlist 154,Reference,user-fritz-rush,false,false
plst_155,Reference playlist 155,Reference,user-fritz-rush,false,false
plst_156,Reference playlist 156,Reference,user-fritz-rush,false,false
plst_157,Reference playlist 157,Reference,user-fritz-rush,false,false
plst_158,Reference playlist 158,Reference,user-fritz-rush,false,false
plst_159,Reference playlist 159,Reference,user-fritz-rush,false,false
plst_160,Reference playlist 160,Reference,user-fritz-rush,false,false
plst_161,Reference playlist 161,Reference,user-fritz-rush,false,false
plst_162,Reference playlist 162,Reference,user-fritz-rush,false,false
plst_163,Reference playlist 163,Reference,user-fritz-rush,false,false
plst_164,Reference playlist 164,Reference,user-fritz-rush,false,false
plst_165,Reference playlist 165,Reference,user-fritz-rush,false,false
plst_166,Reference playlist 166,Reference,user-fritz-rush,false,false
plst_167,Reference playlist 167,Reference,user-fritz-rush,false,false
plst_168,Reference playlist 168,Reference,user-fritz-rush,false,false
plst_169,Reference playlist 169,Reference,user-fritz-rush,false,false
plst_170,Reference playlist 170,Reference,user-fritz-rush,false,false
plst_171,Reference playlist 171,Reference,user-fritz-rush,false,false
plst_172,Reference playlist 172,Reference,user-fritz-rush,false,false
plst_173,Reference playlist 173,Reference,user-fritz-rush,false,false
plst_174,Reference playlist 174,Reference,user-fritz-rush,false,false
plst_175,Reference playlist 175,Reference,user-fritz-rush,false,false
plst_176,Reference playlist 176,Reference,user-fritz-rush,false,false
plst_177,Reference playlist 177,Reference,user-fritz-rush,false,false
plst_178,Reference playlist 178,Reference,user-fritz-rush,false,false
plst_179,Reference playlist 179,Reference,user-fritz-rush,false,false
plst_180,Reference playlist 180,Reference,user-fritz-rush,false,false
plst_181,Reference playlist 181,Reference,user-fritz-rush,false,false
plst_182,Reference playlist 182,Reference,user-fritz-rush,false,false
plst_183,Reference playlist 183,Reference,user-fritz-rush,false,false
plst_184,Reference playlist 184,Reference,user-fritz-rush,false,false
plst_185,Reference playlist 185,Reference,user-fritz-rush,false,false
plst_186,Reference playlist 186,Reference,user-fritz-rush,false,false
plst_187,Reference playlist 187,Reference,user-fritz-rush,false,false
