id,createdTime,Name,Status,Owner,Budget
recProj0000000001,2026-03-14T08:00:00.000Z,200A service panel upgrade,In progress,Whitman,3200
recProj0000000002,2026-03-02T08:30:00.000Z,Whole-house rewire (1920s rowhome),In progress,Russo,12500
recProj0000000003,2026-03-20T09:00:00.000Z,"EV charger install (Level 2, 60A)",Todo,DiMarco,1650
recProj0000000004,2026-02-09T08:00:00.000Z,Knob-and-tube replacement,Done,Foley,8800
recProj0000000005,2026-01-22T10:00:00.000Z,Kitchen circuit addition + GFCI,Done,Brennan,2100
recProj0000000006,2026-03-04T08:00:00.000Z,Cafe lighting retrofit (small commercial),In progress,Cedarbrook General Store,6400
recProj0000000007,2026-03-28T09:30:00.000Z,Hot tub GFCI subpanel,Todo,Acker,2750
recProj0000000008,2026-01-08T07:30:00.000Z,Service mast repair after storm,Done,Reilly,1400
recProj0000000009,2026-02-12T08:00:00.000Z,Generator interlock kit install,Done,Petrosian,950
recProj0000000010,2026-03-10T08:00:00.000Z,"Recessed lighting (six cans, living room)",Todo,Whitman,1850
recProj0000000011,2026-02-20T08:00:00.000Z,100A subpanel for detached garage,In progress,Calabrese,2400
recProj0000000012,2026-01-30T08:00:00.000Z,GFCI and AFCI breaker swap-out,Done,Hartman,780
recProj0000000013,2026-03-22T08:00:00.000Z,Service mast and weatherhead replacement,Todo,Russo Property Management,1900
recProj0000000014,2026-02-25T08:00:00.000Z,Warehouse high-bay LED retrofit,In progress,Ridgemont Co-op,9200
recProj0000000015,2026-03-06T18:00:00.000Z,Varroa mite treatment (all 12 hives),Todo,Beekeeping,180
recProj0000000016,2026-03-08T18:00:00.000Z,Spring honey harvest,Todo,Beekeeping,0
recProj0000000017,2026-03-12T18:00:00.000Z,Requeen weak hives,In progress,Beekeeping,320
recProj0000000018,2025-11-15T18:00:00.000Z,Winter the apiary,Done,Beekeeping,240
recProj0000000019,2026-02-02T18:00:00.000Z,Build ten deep hive boxes,Done,Beekeeping,420
recProj0000000020,2026-03-18T19:00:00.000Z,Fall Classic tournament,Todo,Chess Club,600
recProj0000000021,2026-01-18T19:00:00.000Z,Spring Open tournament,Done,Chess Club,550
recProj0000000022,2026-01-12T19:00:00.000Z,Annual chess dues collection,In progress,Chess Club,2000
recProj0000000023,2026-02-28T19:00:00.000Z,Club roster update and audit,Done,Chess Club,0
recProj0000000024,2026-01-25T08:00:00.000Z,Kelly Electric bookkeeping and taxes,In progress,Kelly Electric,0
recProj0000000025,2026-03-20T08:00:00Z,EV charger install - Brennan Glenside,Done,Brennan,1450
recProj0000000026,2026-05-12T08:00:00Z,Panel service - Cavanaugh,Done,Cavanaugh,950
recProj0000000027,2026-06-10T08:00:00Z,Kitchen circuits - Chen Newtown,In progress,Chen,1800
recProj0000000028,2026-05-25T08:00:00Z,EV charger install - Ackerman Jenkintown,In progress,Ackerman,1600
recProj0000000029,2026-06-01T08:00:00Z,Dorsey LED retrofit - 4 bays,Done,Dorsey Auto Body,5800
recProj0000000030,2026-06-20T08:00:00Z,Panel upgrade - Petrenko Warminster,In progress,Petrenko,2400
recProj0000000031,2026-07-20T08:00:00Z,Service upgrade - Iyer Blue Bell,Not started,Iyer,2300
recProj0000000032,2026-07-25T08:00:00Z,Basement rewire - Sokolov Roxborough,Not started,Sokolov,4200
recProj0000000033,2026-05-17T08:00:00Z,Choir loft outlets - Ukrainian Cultural Center,Done,UCC,0
recProj0000000034,2026-05-25T07:00:00Z,Spring honey extraction 2026,Done,Kelly Bees,0
recProj0000000035,2026-08-10T07:00:00Z,Late summer honey extraction 2026,Done,Kelly Bees,0
recProj0000000036,2026-03-01T08:00:00Z,Bridgeton Chess Spring Open 2026,Done,Bridgeton Chess,800
recProj0000000037,2026-09-01T08:00:00Z,Bridgeton Chess Fall Classic 2026,In progress,Bridgeton Chess,900
recProj0000000038,2026-07-01T08:00:00Z,Kelly Electric Q2 2026 close,Done,Kelly Electric,0
recProj0000000039,2026-10-01T08:00:00Z,Kelly Electric Q3 2026 close,Done,Kelly Electric,0
recProj0000000040,2026-08-01T08:00:00Z,Sept 8 knee replacement - logistics,Done,Personal,0
recProj0000000041,2026-04-01T08:00:00Z,Fox Chase house fix-it list 2026,In progress,Personal,0
recProj0000000042,2026-05-01T08:00:00Z,Cutting board batch 6 to 10,Done,Personal,0
recProj0000000043,2026-04-15T08:00:00Z,Foxfield Formic Pro order,Done,Kelly Bees,180
