property_address,sqft,annual_rent,rent_per_sqft,signed_date,tenant_type,notes
156 Market St,4800,88800,18.50,2024-06,Auto body shop,Direct comp
182 Market St,5200,98800,19.00,2025-01,Tire shop,Direct comp - auto adjacent
204 Market St,6800,130560,19.20,2025-09,Auto detailing,Direct comp
98 Market St,5400,102600,19.00,2024-11,Mechanical auto shop,Direct comp
84 Broadway,5600,106400,19.00,2025-03,Auto body shop,Cross-street comp
156 Broadway,7200,140400,19.50,2025-08,Mechanical shop,Cross-street comp
22 Pennington Ave,6400,128000,20.00,2025-06,Light industrial,Adjacent corridor
44 Pennington Ave,5800,113100,19.50,2024-08,Body shop,Adjacent corridor
12 East 17th St,4400,83600,19.00,2025-04,Auto repair,Adjacent corridor
88 East 17th St,5200,99840,19.20,2025-10,Detailing,Adjacent corridor
142 Main Ave,6800,129880,19.10,2024-12,Auto body shop,Adjacent corridor
204 Main Ave,4800,93120,19.40,2025-07,Tire and brake,Adjacent corridor

# Summary
# 12 comparables pulled from Eastside-Paterson corridor
# Average: $19.20/sqft
# Median: $19.10/sqft
# Range: $18.50 - $20.00
# Excludes: residential conversions, large warehouse, non-auto retail
# 
# Tony's note (Oct 28): "Brennan's $24 number isn't anchored in our corridor.
# These twelve are all signed in the last 24 months and they cluster between
# $18.50 and $20.00. The high end is the Pennington Ave light industrial which has
# a different load classification. Auto-body specific is solidly around $19."
