id,iid,project_id,title,description,state,source_branch,target_branch,author,assignee,merge_status,draft,created_at,updated_at,merged_at
30001,1,501,Migration hardening: normalize employee-id column,Karen T. patched pre-1990 rows where the employee-id column carried the paper-ledger prefix.,merged,fix/normalize-emp-id,main,karen.thompson,karen.thompson,can_be_merged,False,2022-03-15T10:00:00Z,2022-03-16T12:00:00Z,2022-03-16T12:00:00Z
700001,1,101,chore: rectify FY1981 timesheet backfill batch 1,Post-migration batch merge of digitized ledger scans.,merged,backfill/batch-01,main,karen.thompson,jorge.villareal,can_be_merged,False,1998-08-02T09:00:00-06:00,1998-08-05T10:00:00-06:00,1998-08-05T11:00:00-06:00
700002,2,101,chore: rectify FY1982 timesheet backfill batch 2,Post-migration batch merge of digitized ledger scans.,merged,backfill/batch-02,main,karen.thompson,jorge.villareal,can_be_merged,False,1998-08-03T09:00:00-06:00,1998-08-06T10:00:00-06:00,1998-08-06T11:00:00-06:00
700003,3,101,chore: rectify FY1983 timesheet backfill batch 3,Post-migration batch merge of digitized ledger scans.,merged,backfill/batch-03,main,karen.thompson,jorge.villareal,can_be_merged,False,1998-08-04T09:00:00-06:00,1998-08-07T10:00:00-06:00,1998-08-07T11:00:00-06:00
700004,4,101,chore: rectify FY1984 timesheet backfill batch 4,Post-migration batch merge of digitized ledger scans.,merged,backfill/batch-04,main,karen.thompson,jorge.villareal,can_be_merged,False,1998-08-05T09:00:00-06:00,1998-08-08T10:00:00-06:00,1998-08-08T11:00:00-06:00
700005,5,101,chore: rectify FY1985 timesheet backfill batch 5,Post-migration batch merge of digitized ledger scans.,merged,backfill/batch-05,main,karen.thompson,jorge.villareal,can_be_merged,False,1998-08-06T09:00:00-06:00,1998-08-09T10:00:00-06:00,1998-08-09T11:00:00-06:00
700006,6,101,chore: rectify FY1986 timesheet backfill batch 6,Post-migration batch merge of digitized ledger scans.,merged,backfill/batch-06,main,karen.thompson,jorge.villareal,can_be_merged,False,1998-08-07T09:00:00-06:00,1998-08-10T10:00:00-06:00,1998-08-10T11:00:00-06:00
700007,7,101,chore: rectify FY1987 timesheet backfill batch 7,Post-migration batch merge of digitized ledger scans.,merged,backfill/batch-07,main,karen.thompson,jorge.villareal,can_be_merged,False,1998-08-08T09:00:00-06:00,1998-08-11T10:00:00-06:00,1998-08-11T11:00:00-06:00
700008,8,101,chore: rectify FY1988 timesheet backfill batch 8,Post-migration batch merge of digitized ledger scans.,merged,backfill/batch-08,main,karen.thompson,jorge.villareal,can_be_merged,False,1998-08-09T09:00:00-06:00,1998-08-12T10:00:00-06:00,1998-08-12T11:00:00-06:00
700009,9,101,chore: rectify FY1989 timesheet backfill batch 9,Post-migration batch merge of digitized ledger scans.,merged,backfill/batch-09,main,karen.thompson,jorge.villareal,can_be_merged,False,1998-08-10T09:00:00-06:00,1998-08-13T10:00:00-06:00,1998-08-13T11:00:00-06:00
700010,10,101,chore: rectify FY1990 timesheet backfill batch 10,Post-migration batch merge of digitized ledger scans.,merged,backfill/batch-10,main,karen.thompson,jorge.villareal,can_be_merged,False,1998-08-11T09:00:00-06:00,1998-08-14T10:00:00-06:00,1998-08-14T11:00:00-06:00
700011,11,101,chore: rectify FY1991 timesheet backfill batch 11,Post-migration batch merge of digitized ledger scans.,merged,backfill/batch-11,main,karen.thompson,jorge.villareal,can_be_merged,False,1998-08-12T09:00:00-06:00,1998-08-15T10:00:00-06:00,1998-08-15T11:00:00-06:00
700012,12,101,chore: rectify FY1992 timesheet backfill batch 12,Post-migration batch merge of digitized ledger scans.,merged,backfill/batch-12,main,karen.thompson,jorge.villareal,can_be_merged,False,1998-08-13T09:00:00-06:00,1998-08-16T10:00:00-06:00,1998-08-16T11:00:00-06:00
700013,13,101,chore: rectify FY1993 timesheet backfill batch 13,Post-migration batch merge of digitized ledger scans.,merged,backfill/batch-13,main,karen.thompson,jorge.villareal,can_be_merged,False,1998-08-14T09:00:00-06:00,1998-08-17T10:00:00-06:00,1998-08-17T11:00:00-06:00
700014,14,101,chore: rectify FY1994 timesheet backfill batch 14,Post-migration batch merge of digitized ledger scans.,merged,backfill/batch-14,main,karen.thompson,jorge.villareal,can_be_merged,False,1998-08-15T09:00:00-06:00,1998-08-18T10:00:00-06:00,1998-08-18T11:00:00-06:00
700015,15,101,chore: rectify FY1995 timesheet backfill batch 15,Post-migration batch merge of digitized ledger scans.,merged,backfill/batch-15,main,karen.thompson,jorge.villareal,can_be_merged,False,1998-08-16T09:00:00-06:00,1998-08-19T10:00:00-06:00,1998-08-19T11:00:00-06:00
700016,16,101,chore: rectify FY1996 timesheet backfill batch 16,Post-migration batch merge of digitized ledger scans.,merged,backfill/batch-16,main,karen.thompson,jorge.villareal,can_be_merged,False,1998-08-17T09:00:00-06:00,1998-08-20T10:00:00-06:00,1998-08-20T11:00:00-06:00
700017,17,101,chore: rectify FY1997 timesheet backfill batch 17,Post-migration batch merge of digitized ledger scans.,merged,backfill/batch-17,main,karen.thompson,jorge.villareal,can_be_merged,False,1998-08-18T09:00:00-06:00,1998-08-21T10:00:00-06:00,1998-08-21T11:00:00-06:00
700018,18,101,chore: rectify FY1998 timesheet backfill batch 18,Post-migration batch merge of digitized ledger scans.,merged,backfill/batch-18,main,karen.thompson,jorge.villareal,can_be_merged,False,1998-08-19T09:00:00-06:00,1998-08-22T10:00:00-06:00,1998-08-22T11:00:00-06:00
700019,19,101,chore: rectify FY1999 timesheet backfill batch 19,Post-migration batch merge of digitized ledger scans.,merged,backfill/batch-19,main,karen.thompson,jorge.villareal,can_be_merged,False,1998-08-20T09:00:00-06:00,1998-08-23T10:00:00-06:00,1998-08-23T11:00:00-06:00
700020,20,101,chore: rectify FY19100 timesheet backfill batch 20,Post-migration batch merge of digitized ledger scans.,merged,backfill/batch-20,main,karen.thompson,jorge.villareal,can_be_merged,False,1998-08-21T09:00:00-06:00,1998-08-24T10:00:00-06:00,1998-08-24T11:00:00-06:00
700021,21,101,chore: rectify FY19101 timesheet backfill batch 21,Post-migration batch merge of digitized ledger scans.,merged,backfill/batch-21,main,karen.thompson,jorge.villareal,can_be_merged,False,1998-08-22T09:00:00-06:00,1998-08-25T10:00:00-06:00,1998-08-25T11:00:00-06:00
