Date	Description	Type	Amount_USD	Balance_USD
2026-01-02	Spotify USA recurring	Debit	-5.99	422.72
2026-01-03	MARTA Breeze reload West End	Debit	-30.00	392.72
2026-01-05	Cedarbrook Bookstore textbooks	Debit	-214.50	178.22
2026-01-06	Walmart Supercenter groceries	Debit	-24.63	153.59
2026-01-09	Dining Services payroll deposit	Credit	270.14	423.73
2026-01-10	Aldi groceries	Debit	-18.42	405.31
2026-01-12	Campus dining snack	Debit	-5.50	399.81
2026-01-13	Chick-fil-A	Debit	-9.12	390.69
2026-01-15	Transfer to K Brooks	Debit	-50.00	340.69
2026-01-16	Walmart Supercenter	Debit	-17.51	323.18
2026-01-17	Amazon supplies	Debit	-22.05	301.13
2026-01-19	Campus cafe	Debit	-4.25	296.88
2026-01-20	Laundry card reload	Debit	-8.00	288.88
2026-01-22	Walmart Supercenter groceries	Debit	-16.88	272.00
2026-01-23	Dining Services payroll deposit	Credit	290.93	562.93
2026-01-24	Transfer to D Murray phone share	Debit	-80.00	482.93
2026-01-25	Target personal supplies	Debit	-34.17	448.76
2026-01-27	Waffle House	Debit	-13.40	435.36
2026-01-28	Aldi groceries	Debit	-21.65	413.71
2026-01-29	Pharmacy CVS	Debit	-11.27	402.44
2026-01-31	Sneaker care kit	Debit	-19.99	382.45
