media_id,impressions,reach,engagement,saves,shares,profile_visits,follows
17900001029,28500,23000,3562,340,175,230,55
17900001030,11600,9400,1453,98,45,78,15
17900001031,8600,7000,1083,42,18,35,5
17900001032,28800,23200,3584,348,180,235,57
17900001033,11400,9200,1430,95,42,75,14
17900001034,8800,7100,1105,44,20,37,6
17900001035,28200,22800,3540,335,170,225,53
17900001036,11800,9500,1475,100,48,80,16
17900001037,8400,6800,1070,40,16,33,4
17900001038,9000,7200,1200,50,22,40,8
17900001039,9820,7840,1295,61,28,49,11
17900001040,10640,8480,1390,72,34,58,14
17900001041,11460,9120,1485,83,40,67,17
17900001042,12280,9760,1580,94,46,76,20
17900001043,13100,10400,1675,105,52,85,23
17900001044,13920,11040,1770,116,58,94,26
17900001045,14740,11680,1865,127,64,103,29
17900001046,15560,12320,1960,138,70,112,32
17900001047,16380,12960,2055,149,76,121,35
17900001048,17200,13600,2150,160,82,130,38
