milestone,target_date,status,responsible,notes
Update resume,2026-10-08,Complete,Courtney,Added charge nurse metrics and fall-prevention initiative
Draft cover letter,2026-10-12,In Progress,Courtney,Partial draft in data folder needs expansion
Request professional reference 1,2026-10-01,Complete,Courtney,Dr. Michael Reeves agreed via email
Request professional reference 2,2026-10-03,In Progress,Courtney,Awaiting Natasha Okonkwo reference letter
Request character reference,2026-10-05,In Progress,Courtney,Linda Brennan asked to write character reference - outside Lakeview
Personal statement / leadership narrative,2026-10-18,Not Started,Courtney,No draft exists anywhere yet - gap to flag
Gather performance evaluations,2026-10-14,In Progress,Courtney,Have 2025 review; need 2023 and 2024 from HR
CEU documentation,2026-10-15,In Progress,Courtney,Have 24 of 30 required CEUs on file - remaining 6 to be scheduled
Copy RN license,2026-10-10,Not Started,Courtney,Ohio license valid through 2027
Leadership experience summary,2026-10-16,Not Started,Courtney,Outline only in Obsidian
Final packet assembly,2026-10-19,Not Started,Courtney,Combine all attachments into single PDF for submission
Submit complete packet,2026-10-20,Not Started,Courtney,To Denise Holt by 5:00 PM
Confirm application portal login,2026-10-08,Complete,Courtney,Lakeview internal portal credentials verified
Update LinkedIn profile,2026-10-09,Complete,Courtney,Added charge-nurse title and fall-prevention project bullet
Prepare STAR interview stories,2026-10-13,In Progress,Courtney,Six situations drafted; need to polish two for delivery
Schedule mock interview,2026-10-15,Not Started,Courtney,Ask Natasha or a peer to run a 30-minute mock session
Portfolio of leadership artifacts,2026-10-16,In Progress,Courtney,Have policy revision + inservice materials; need to add committee minutes
Draft one-page thesis on unit philosophy,2026-10-17,Not Started,Courtney,"Concept outline in Obsidian, no prose yet"
Sign transcript release for university,2026-10-11,Complete,Courtney,Signed and mailed; expect confirmation in 5-7 business days
Order official transcript copy,2026-10-12,In Progress,Courtney,Portal request submitted; awaiting fulfillment
Save all attachments to Box,2026-10-18,Not Started,Courtney,Single folder for grader convenience; download link ready to paste
Read final packet aloud once,2026-10-19,Not Started,Courtney,Sanity pass for tone consistency and typos
