txn_id,date,account,memo,debit_jpy,credit_jpy,running_balance_jpy
QB-00001,2026-01-01,subscription_xero,posting,4800,0,2795200
QB-00002,2026-01-01,museum_installment,Kyoto Craft Museum installment posted,0,60000,2855200
QB-00003,2026-01-03,direct_sale,direct sale to collector,0,65000,2920200
QB-00004,2026-01-03,gallery_receivable_galerie_terre,Galerie Terre EUR converted at posting,0,96000,3016200
QB-00005,2026-01-03,kiln_gas_fee,HCC gas reduction slot,18000,0,2998200
QB-00006,2026-01-04,kiln_gas_fee,HCC gas reduction slot,24000,0,2974200
QB-00007,2026-01-06,gallery_receivable_shibui,Shibui consignment settlement,0,120000,3094200
QB-00008,2026-01-07,studio_rent,HCC studio rent monthly,65000,0,3029200
QB-00009,2026-01-08,assistant_pay_gusto,assistant pay via Gusto,32000,0,2997200
QB-00010,2026-01-10,museum_installment,Kyoto Craft Museum installment posted,0,48000,3045200
QB-00011,2026-01-10,museum_installment,Kyoto Craft Museum installment posted,0,55000,3100200
QB-00012,2026-01-10,kiln_gas_fee,HCC gas reduction slot,12000,0,3088200
QB-00013,2026-01-12,kiln_gas_fee,HCC gas reduction slot,21000,0,3067200
QB-00014,2026-01-17,studio_rent,HCC studio rent monthly,65000,0,3002200
QB-00015,2026-01-20,direct_sale,direct sale to collector,0,95000,3097200
QB-00016,2026-01-21,subscription_klaviyo,posting,6000,0,3091200
QB-00017,2026-01-21,open_studio_sales,open studio same-day sales via Square,0,120000,3211200
QB-00018,2026-01-21,photography_riku,Riku Hasegawa photography session,12000,0,3199200
QB-00019,2026-01-22,subscription_airtable,posting,3000,0,3196200
QB-00020,2026-01-25,museum_installment,Kyoto Craft Museum installment posted,0,42000,3238200
QB-00021,2026-01-26,open_studio_sales,open studio same-day sales via Square,0,65000,3303200
QB-00022,2026-01-27,shipping,domestic shipping to collector,4800,0,3298400
QB-00023,2026-01-30,studio_rent,HCC studio rent monthly,65000,0,3233400
QB-00024,2026-02-01,subscription_klaviyo,posting,6000,0,3227400
QB-00025,2026-02-04,gallery_receivable_shibui,Shibui consignment settlement,0,95000,3322400
QB-00026,2026-02-07,assistant_pay_gusto,assistant pay via Gusto,24000,0,3298400
QB-00027,2026-02-08,kiln_wood_fee,anagama share,8400,0,3290000
QB-00028,2026-02-10,subscription_klaviyo,posting,6000,0,3284000
QB-00029,2026-02-16,open_studio_sales,open studio same-day sales via Square,0,95000,3379000
QB-00030,2026-02-17,gallery_receivable_shibui,Shibui consignment settlement,0,140000,3519000
QB-00031,2026-02-21,subscription_klaviyo,posting,6000,0,3513000
QB-00032,2026-02-22,subscription_airtable,posting,3000,0,3510000
QB-00033,2026-02-22,materials,Kyoto Tokei Ceramics order,32000,0,3478000
QB-00034,2026-02-22,open_studio_sales,open studio same-day sales via Square,0,48000,3526000
QB-00035,2026-02-23,health_insurance,national health insurance,18000,0,3508000
QB-00036,2026-02-24,materials,Kyoto Tokei Ceramics order,48000,0,3460000
QB-00037,2026-02-27,subscription_hubspot,posting,7200,0,3452800
QB-00038,2026-02-27,subscription_quickbooks,posting,3600,0,3449200
QB-00039,2026-02-28,packaging,Kyoto Studio Supply packaging,6000,0,3443200
QB-00040,2026-03-01,subscription_notion,posting,2400,0,3440800
QB-00041,2026-03-02,studio_rent,HCC studio rent monthly,65000,0,3375800
QB-00042,2026-03-03,materials,Kyoto Tokei Ceramics order,24000,0,3351800
QB-00043,2026-03-04,packaging,Kyoto Studio Supply packaging,8400,0,3343400
QB-00044,2026-03-04,subscription_klaviyo,posting,6000,0,3337400
QB-00045,2026-03-05,direct_sale,direct sale to collector,0,48000,3385400
QB-00046,2026-03-05,kiln_wood_fee,anagama share,12000,0,3373400
QB-00047,2026-03-06,subscription_airtable,posting,3000,0,3370400
QB-00048,2026-03-08,photography_riku,Riku Hasegawa photography session,8000,0,3362400
QB-00049,2026-03-11,subscription_notion,posting,2400,0,3360000
QB-00050,2026-03-11,tax_reserve,tax reserve monthly sweep,50000,0,3310000
QB-00051,2026-03-15,direct_sale,direct sale to collector,0,120000,3430000
QB-00052,2026-03-15,materials,Kyoto Tokei Ceramics order,55000,0,3375000
QB-00053,2026-03-15,materials,Kyoto Tokei Ceramics order,38000,0,3337000
QB-00054,2026-03-16,fedex_paris,FedEx custom crate to Paris,45000,0,3292000
QB-00055,2026-03-16,photography_riku,Riku Hasegawa photography session,15000,0,3277000
QB-00056,2026-03-17,refund_correction,correction of earlier posting,12000,0,3265000
QB-00057,2026-03-18,health_insurance,national health insurance,18000,0,3247000
QB-00058,2026-03-18,subscription_klaviyo,posting,6000,0,3241000
QB-00059,2026-03-19,apartment_rent,Higashiyama apartment rent monthly,85000,0,3156000
QB-00060,2026-03-19,direct_sale,direct sale to collector,0,72000,3228000
QB-00061,2026-03-19,direct_sale,direct sale to collector,0,85000,3313000
QB-00062,2026-03-21,subscription_notion,posting,2400,0,3310600
QB-00063,2026-03-24,health_insurance,national health insurance,18000,0,3292600
QB-00064,2026-03-24,subscription_notion,posting,2400,0,3290200
QB-00065,2026-03-31,photography_riku,Riku Hasegawa photography session,10000,0,3280200
QB-00066,2026-03-31,refund_correction,correction of earlier posting,24000,0,3256200
QB-00067,2026-04-04,apartment_rent,Higashiyama apartment rent monthly,85000,0,3171200
QB-00068,2026-04-05,subscription_quickbooks,posting,3600,0,3167600
QB-00069,2026-04-06,shipping,domestic shipping to collector,8000,0,3159600
QB-00070,2026-04-06,refund_correction,correction of earlier posting,8000,0,3151600
QB-00071,2026-04-07,materials,Kyoto Tokei Ceramics order,42000,0,3109600
QB-00072,2026-04-09,open_studio_sales,open studio same-day sales via Square,0,150000,3259600
QB-00073,2026-04-11,refund_correction,correction of earlier posting,15000,0,3244600
QB-00074,2026-04-16,tax_reserve,tax reserve monthly sweep,40000,0,3204600
QB-00075,2026-04-16,apartment_rent,Higashiyama apartment rent monthly,85000,0,3119600
QB-00076,2026-04-16,direct_sale,direct sale to collector,0,60000,3179600
QB-00077,2026-04-16,fedex_paris,FedEx custom crate to Paris,62000,0,3117600
QB-00078,2026-04-17,refund_correction,correction of earlier posting,18000,0,3099600
QB-00079,2026-04-21,tax_reserve,tax reserve monthly sweep,55000,0,3044600
QB-00080,2026-04-24,refund_correction,correction of earlier posting,10000,0,3034600
QB-00081,2026-04-24,subscription_xero,posting,4800,0,3029800
QB-00082,2026-04-25,fedex_paris,FedEx custom crate to Paris,38000,0,2991800
QB-00083,2026-04-27,materials,Kyoto Tokei Ceramics order,28000,0,2963800
QB-00084,2026-04-28,direct_sale,direct sale to collector,0,110000,3073800
