id,collection_id,name,slug,is_draft,is_archived,summary,created_on,last_updated
770c3b0000000000000003c1,660b2a0000000000000002b1,Shipping Faster With Edge Caching,shipping-faster-with-edge-caching,false,false,How we cut TTFB by 40 percent.,2026-05-02T08:00:00.000Z,2026-05-02T09:00:00.000Z
770c3b0000000000000003c2,660b2a0000000000000002b1,A Field Guide to Design Tokens,a-field-guide-to-design-tokens,false,false,Tokens that scale across brands.,2026-05-09T11:30:00.000Z,2026-05-09T12:15:00.000Z
770c3b0000000000000003c3,660b2a0000000000000002b1,Draft - Roadmap 2026,draft-roadmap-2026,true,false,Internal draft post.,2026-05-15T14:00:00.000Z,2026-05-15T14:00:00.000Z
770c3b0000000000000003c4,660b2a0000000000000002b2,Jamie Okafor,jamie-okafor,false,false,Staff writer covering performance.,2026-04-20T10:00:00.000Z,2026-05-01T10:00:00.000Z
770c3b0000000000000003c5,660b2a0000000000000002b3,Reset Your Password,reset-your-password,false,false,Step-by-step password recovery.,2026-05-04T09:00:00.000Z,2026-05-20T13:00:00.000Z
770c3b0000000000000003c6,660b2a0000000000000002b4,Sourdough Loaf,sourdough-loaf,false,false,Naturally leavened daily loaf.,2026-05-06T07:30:00.000Z,2026-05-17T07:45:00.000Z
770c3b0000000000000003c7,660b2a0000000000000002b5,Alpine Trail Backpack 40L,alpine-trail-backpack-40l,false,false,Lightweight pack for multi-day hikes.,2026-05-12T16:00:00.000Z,2026-05-24T17:30:00.000Z
770c3b0000000000000003c8,660b2a0000000000000002b5,Summit Down Jacket,summit-down-jacket,false,true,Discontinued winter jacket.,2026-03-01T16:00:00.000Z,2026-05-10T17:30:00.000Z
770c3b0000000000000003d1,660b2a0000000000000002b6,Spring Community Meal,spring-community-meal,true,false,Free community meal on April 17 2027 - registration page in draft not live.,2027-02-06T09:00:00.000Z,2027-02-20T10:00:00.000Z
770c3b0000000000000003d2,660b2a0000000000000002b6,Health and Wellness Fair,health-and-wellness-fair,true,false,Community wellness fair on May 15 2027 - details being finalized not live.,2027-02-06T09:10:00.000Z,2027-02-20T10:10:00.000Z
770c3b0000000000000003d3,660b2a0000000000000002b6,Spring Outreach Retreat,spring-outreach-retreat,true,false,Committee retreat March 27 2027 at Hamilton Community Hall - internal page.,2027-01-25T09:00:00.000Z,2027-01-25T09:00:00.000Z
770c3b0000000000000003d4,660b2a0000000000000002b6,Volunteer With Us,volunteer-with-us,false,false,Share your interest in helping at spring events.,2027-02-10T09:00:00.000Z,2027-02-22T11:00:00.000Z
770c3b0000000000000003d5,660b2a0000000000000002b6,Accessibility at Our Events,accessibility-at-our-events,false,false,Step-free access wheelchair seating large-print materials and a quiet room.,2027-02-12T09:00:00.000Z,2027-02-18T10:00:00.000Z
770c3b0000000000000003d6,660b2a0000000000000002b6,Contact the Outreach Committee,contact-the-outreach-committee,false,false,Reach us at outreach@gracecommunitycc.org.,2027-01-16T09:00:00.000Z,2027-01-16T09:00:00.000Z
770c3b0000000000000003d7,660b2a0000000000000002b6,Weekly Bulletin Archive,weekly-bulletin-archive,false,false,Archive of past church bulletins and announcements.,2027-01-18T09:00:00.000Z,2027-02-25T10:00:00.000Z
770c3b0000000000000003d8,660b2a0000000000000002b6,Draft - Newsletter Signup,draft-newsletter-signup,true,false,Newsletter signup page - draft. Suppression list is honored on every send.,2027-02-14T09:00:00.000Z,2027-02-14T09:00:00.000Z
