id,name,type,segment,genre,upcoming_events
att-001,The Midnight Echoes,band,Music,Rock,3
att-002,Aria Sloane,musician,Music,Pop,2
att-003,Blue Note Collective,band,Music,Jazz,1
att-004,Metro City Hoops,team,Sports,Basketball,5
att-005,Bay United FC,team,Sports,Soccer,4
att-006,Starlight Musical Co.,theatre,Arts & Theatre,Theatre,2
att-007,Danny Vega,comedian,Arts & Theatre,Comedy,3
id-00008,Violet willow 8,general,quartz-8,coral-8,134
id-00009,Tidal umber 9,general,violet-9,haze-9,238
id-00010,Pine harbor 10,closed,summit-10,iris-10,509
id-00011,Tidal coral 11,standard,ember-11,summit-11,401
id-00012,Willow orbit 12,standard,orbit-12,river-12,794
id-00013,Cedar ember 13,closed,iris-13,haze-13,520
id-00014,Harbor willow 14,closed,ember-14,meadow-14,17
id-00015,Kelp haze 15,closed,kelp-15,willow-15,700
id-00016,Coral delta 16,open,umber-16,harbor-16,321
id-00017,River cedar 17,standard,bravo-17,violet-17,229
id-00018,Meadow pine 18,closed,pine-18,quartz-18,834
id-00019,Frost coral 19,closed,haze-19,iris-19,879
id-00020,Jade grove 20,closed,willow-20,violet-20,249
id-00021,Cedar delta 21,general,coral-21,willow-21,83
id-00022,Meadow coral 22,closed,ember-22,meadow-22,876
id-00023,Iris alpha 23,standard,tidal-23,iris-23,793
id-00024,Grove harbor 24,active,willow-24,ember-24,867
id-00025,Pine iris 25,active,orbit-25,orbit-25,785
id-00026,Quartz orbit 26,general,harbor-26,grove-26,647
id-00027,Coral summit 27,closed,willow-27,delta-27,140
id-00028,Alpha delta 28,pending,willow-28,delta-28,235
id-00029,Frost willow 29,open,coral-29,orbit-29,79
id-00030,Harbor willow 30,pending,river-30,harbor-30,490
id-00031,Willow alpha 31,pending,umber-31,tidal-31,439
id-00032,Willow cedar 32,active,orbit-32,umber-32,719
id-00033,Delta harbor 33,active,orbit-33,iris-33,710
id-00034,Kelp river 34,standard,orbit-34,violet-34,820
id-00035,Summit alpha 35,closed,zephyr-35,delta-35,153
id-00036,Jade violet 36,active,umber-36,tidal-36,504
id-00037,Grove meadow 37,open,bravo-37,tidal-37,83
id-00038,Jade grove 38,open,coral-38,summit-38,418
id-00039,Frost alpha 39,general,bravo-39,pine-39,7
id-00040,Tidal frost 40,standard,coral-40,violet-40,624
id-00041,Quartz cedar 41,pending,quartz-41,pine-41,262
id-00042,Alpha jade 42,active,bravo-42,quartz-42,800
id-00043,Coral river 43,closed,meadow-43,frost-43,516
id-00044,Zephyr pine 44,pending,pine-44,willow-44,458
id-00045,Meadow umber 45,open,pine-45,haze-45,45
id-00046,Summit cedar 46,general,orbit-46,delta-46,704
id-00047,Grove zephyr 47,open,frost-47,pine-47,325
id-00048,Coral jade 48,closed,bravo-48,kelp-48,198
id-00049,Orbit bravo 49,open,pine-49,cedar-49,412
id-00050,Cedar haze 50,closed,kelp-50,frost-50,236
id-00051,Bravo iris 51,general,summit-51,kelp-51,394
id-00052,Grove kelp 52,general,harbor-52,haze-52,873
id-00053,Jade kelp 53,active,cedar-53,ember-53,172
id-00054,Willow alpha 54,general,alpha-54,willow-54,54
id-00055,Frost delta 55,active,iris-55,coral-55,71
id-00056,Summit tidal 56,standard,delta-56,kelp-56,650
id-00057,Orbit iris 57,pending,ember-57,cedar-57,125
id-00058,Meadow alpha 58,active,jade-58,willow-58,453
id-00059,Ember iris 59,active,zephyr-59,umber-59,548
id-00060,Coral zephyr 60,active,coral-60,grove-60,490
id-00061,Iris iris 61,pending,violet-61,jade-61,266
id-00062,Jade umber 62,pending,river-62,harbor-62,28
id-00063,Violet iris 63,pending,cedar-63,cedar-63,470
id-00064,Zephyr coral 64,general,harbor-64,bravo-64,527
id-00065,Orbit jade 65,pending,bravo-65,coral-65,196
id-00066,River harbor 66,closed,quartz-66,jade-66,706
id-00067,Iris pine 67,open,cedar-67,bravo-67,92
id-00068,Alpha grove 68,active,zephyr-68,coral-68,90
id-00069,Frost frost 69,active,cedar-69,violet-69,895
id-00070,Orbit grove 70,general,bravo-70,bravo-70,535
id-00071,Grove harbor 71,standard,coral-71,willow-71,633
id-00072,Bravo umber 72,closed,quartz-72,zephyr-72,665
id-00073,Tidal ember 73,pending,delta-73,umber-73,669
id-00074,Alpha river 74,open,pine-74,bravo-74,210
id-00075,Coral umber 75,closed,meadow-75,kelp-75,779
id-00076,Kelp coral 76,pending,haze-76,umber-76,527
id-00077,Tidal jade 77,pending,harbor-77,zephyr-77,322
id-00078,Pine tidal 78,standard,pine-78,jade-78,526
id-00079,Orbit frost 79,standard,delta-79,tidal-79,860
id-00080,Meadow grove 80,standard,iris-80,alpha-80,496
id-00081,Kelp tidal 81,closed,alpha-81,meadow-81,256
id-00082,Frost willow 82,standard,summit-82,summit-82,760
id-00083,Grove ember 83,standard,umber-83,iris-83,777
id-00084,Coral iris 84,pending,zephyr-84,jade-84,749
id-00085,Willow tidal 85,pending,harbor-85,coral-85,759
id-00086,Violet coral 86,pending,summit-86,umber-86,644
id-00087,Alpha river 87,standard,kelp-87,cedar-87,33
id-00088,Violet frost 88,standard,jade-88,bravo-88,133
id-00089,Grove bravo 89,standard,cedar-89,grove-89,261
id-00090,Frost coral 90,general,iris-90,harbor-90,866
id-00091,Orbit ember 91,open,tidal-91,delta-91,355
id-00092,Violet bravo 92,open,violet-92,grove-92,890
