citation_short_id	source_type	refresh_date	refreshed_content_summary	replaces_entry_dated	notes
cit_pickens_voter_72	journal article	2026-09-28	"Pickens, Walter. ""Voter Registration in Birmingham, 1970-1972."" Alabama Civic Heritage Quarterly vol. 19, no. 2, pp. 14-39 (REVISED VOLUME: Aug 12 entry pointed to obsolete vol. 18 no. 3 reprint)"	2026-08-12	Use revised volume for curator letter sources section.
cit_first_bethel_minutes	archival record	2026-09-28	First Bethel AME Church Records. Board Minutes 1969-1974. Accession PBR-1974-MIN-008A (REVISED ACCESSION: Aug 12 entry pointed to pre-cleanup accession ID 008)	2026-08-12	Cleanup pass closed Aug 28, revised accession ID.
cit_mitchell_oral_1968	oral history	2026-09-28	Mitchell, Ruthie Mae. Oral history recording session transcript. Cornerstone Heritage Museum Oral History Project, accession CHM-OHA-1968-014A-RESTORED (REVISED: Aug 12 entry pointed to pre-restoration accession ID 014)	2026-08-12	Restored audio pass completed Sept 22; transcript regenerated.
cit_routine_001	journal article	2026-04-01	Routine freshness check passed, no source-side revisions.	2026-02-07	Standard quarterly refresh.
cit_routine_002	archival record	2026-04-02	Routine freshness check passed, no source-side revisions.	2026-02-08	Standard quarterly refresh.
cit_routine_003	oral history	2026-04-03	Routine freshness check passed, no source-side revisions.	2026-02-09	Standard quarterly refresh.
cit_routine_004	newspaper	2026-04-04	Routine freshness check passed, no source-side revisions.	2026-02-10	Standard quarterly refresh.
cit_routine_005	monograph	2026-04-05	Routine freshness check passed, no source-side revisions.	2026-02-11	Standard quarterly refresh.
cit_routine_006	thesis	2026-04-06	Routine freshness check passed, no source-side revisions.	2026-02-12	Standard quarterly refresh.
cit_routine_007	podcast episode	2026-04-07	Routine freshness check passed, no source-side revisions.	2026-02-13	Standard quarterly refresh.
cit_routine_008	journal article	2026-04-08	Routine freshness check passed, no source-side revisions.	2026-02-14	Standard quarterly refresh.
cit_routine_009	archival record	2026-04-09	Routine freshness check passed, no source-side revisions.	2026-02-15	Standard quarterly refresh.
cit_routine_010	oral history	2026-04-10	Routine freshness check passed, no source-side revisions.	2026-02-16	Standard quarterly refresh.
cit_routine_011	newspaper	2026-04-11	Routine freshness check passed, no source-side revisions.	2026-02-17	Standard quarterly refresh.
cit_routine_012	monograph	2026-04-12	Routine freshness check passed, no source-side revisions.	2026-02-18	Standard quarterly refresh.
