Item	Category	Quantity	Location	Last Purchased	Notes
Masa harina	Dry goods	2 bags	Lower cabinet	2026-02-08	For weekend tortilla practice
Carolina Gold rice	Dry goods	5 lb	Lower cabinet	2026-01-24	Local, Lowcountry staple
Dried guajillo chiles	Spices	1 bag	Spice shelf	2026-02-01	From Mom's care package
Dried ancho chiles	Spices	1 bag	Spice shelf	2026-02-01	From Mom's care package
Cast iron skillet 12in	Equipment	1	Stovetop	2024-09-15	Seasoned, heavy
Cast iron comal	Equipment	1	Hook rack	2025-03-02	Tortillas and char
Chef knife 8in	Equipment	1	Magnetic strip	2024-08-20	Carbon steel, honed weekly
Immersion blender	Equipment	1	Drawer	2024-10-11	Sauces and salsas
Mandoline	Equipment	1	Drawer	2024-11-05	Use the guard
Pour-over kit	Equipment	1	Counter	2024-08-22	Morning dark roast
Flaky finishing salt	Spices	1 box	Spice shelf	2026-02-08	Finishing only
Mexican oregano	Spices	1 jar	Spice shelf	2026-01-24	Different from Italian, do not swap
Cumin seed	Spices	1 jar	Spice shelf	2026-01-12	Toast before grinding
Canned chipotle in adobo	Pantry	4 cans	Upper cabinet	2026-02-08	Always keep stocked
Olive oil	Pantry	1 tin	Counter	2026-01-24	Cooking grade
Black beans dried	Dry goods	3 lb	Lower cabinet	2026-01-12	Sunday batch pot
Mason jars 1L	Equipment	6	Balcony shelf	2025-12-01	Fermentation
Herb pots (cilantro, epazote)	Misc	3	Balcony	2026-02-15	Repot in fall
