line_item,category,budget_cad,actual_cad,variance_cad,source_ref,notes
Culturally responsive pedagogy training,Equity,18000,17250,-750,airtable:EQ-Y2-01,Year 2 flagship workshop series across all departments
Student voice advisory council,Equity,4500,4980,480,airtable:EQ-Y2-04,Higher participation required additional facilitation sessions
Community partnership expansion,Equity,12000,9800,-2200,docusign:PARTNERSHIP-SET,Three of five target orgs signed; two still outstanding
Workload audit consultancy,Wellness,9000,9000,0,asana:WELL-AUDIT,External consultant completed on schedule
Flexible PD substitute coverage,Wellness,15000,16340,1340,quickbooks:WELL-PD,Overage from November and December sub claims
Peer mentorship pilot materials,Transition,6000,5210,-790,linear:TR-MENTOR,Print and digital kits for 48 mentorship pairs
Staff wellness resource pack,Wellness,3200,3200,0,quickbooks:WELL-PACK,Distributed to all certificated staff in October
Guest keynote honorarium,General,300,300,0,quickbooks:KEYNOTE,Speaker commitment at or above principal approval threshold
Departmental contingency,General,8000,4100,-3900,quickbooks:CONTINGENCY,Reserve largely undrawn this year
Equity Year One closeout prior year archive do not carry,Equity,0,0,0,archive:EQ-Y1-CLOSED,Prior year line retained for audit trail only -- not a current commitment
Special education resource top-up,Student Services,7500,7320,-180,quickbooks:SPED-RSRC,Assistive technology and classroom aids
Library acquisitions and databases,Academics,5200,5200,0,quickbooks:LIB-ACQ,Annual collection refresh per board policy
Athletics program operations,Co-curricular,11000,10640,-360,quickbooks:ATHL-OPS,Uniforms transportation officials and equipment
STEM lab consumables,Academics,4800,4600,-200,quickbooks:STEM-LAB,Chemistry biology and physics practical supplies
Guidance and counselling resources,Student Services,3000,2880,-120,quickbooks:GUID-RSRC,Career exploration materials and assessment kits
Technology refresh contribution,Operations,6500,6500,0,quickbooks:TECH-REFRESH,Annual device replacement fund per three-year cycle
Building maintenance allocation,Operations,14000,13200,-800,quickbooks:BLDG-MAINT,HVAC filter replacements minor repairs custodial supplies
Cafeteria subsidy,Operations,2200,2200,0,quickbooks:CAF-SUB,Board-mandated meal program subsidy
Transportation services,Operations,8500,8450,-50,quickbooks:TRANS-SVC,Field trip and athletics transport contracts
Professional learning community stipends,General,2400,2400,0,quickbooks:PLC-STIP,Teacher collaboration release time
School safety equipment,Operations,1800,1650,-150,quickbooks:SAFE-EQUIP,AED pads fire extinguisher service lockdown kits
Graduation ceremony reserve,General,3500,0,-3500,quickbooks:GRAD-RES,Not yet drawn -- ceremony expenses land in spring
Parent engagement events,General,1500,1280,-220,quickbooks:PARENT-ENG,Curriculum night open house and parent council refreshments
Arts program supplies,Co-curricular,3800,3640,-160,quickbooks:ARTS-SUP,Visual arts music and drama consumables
French immersion resources,Academics,2600,2600,0,quickbooks:FREN-IMM,Supplementary texts and assessment materials
