Archive ID	Material	Type	Color or Finish	Width	Content	Vendor	Shelf	Project Used
FAB-0101	Boucle weave	Upholstery	Oatmeal	54 in	Wool blend	Artisan Loom Textiles	A1	Hendricks
FAB-0102	Linen plain	Drapery	Flax	110 in	Belgian linen	Verde Window Co	A1	Martin Condo
FAB-0103	Mohair velvet	Upholstery	Cognac	56 in	Mohair	Highland House Trade	A2	Hendricks
FAB-0104	Performance weave	Upholstery	Greige	54 in	Solution dyed	Highland House Trade	A2	Desert Vista
FAB-0105	Hand loom wool	Rug	Charcoal	96 in	Wool	Artisan Loom Textiles	B1	Spec Home
FAB-0106	Raw silk	Pillow	Bone	48 in	Silk	Maison Trade Collective	B1	Hendricks
FAB-0107	Cotton canvas	Slipcover	Natural	60 in	Cotton	Verde Window Co	B2	Martin Condo
FAB-0108	Leather hide	Bench top	Saddle	per hide	Full grain	Highland House Trade	C1	Desert Vista
FAB-0109	Chenille	Upholstery	Moss	54 in	Cotton blend	Maison Trade Collective	C1	Spec Home
FAB-0110	Sheer voile	Drapery	Ivory	118 in	Polyester sheer	Verde Window Co	C2	Hendricks
FAB-0111	Wool felt	Acoustic panel	Slate	72 in	Wool	Artisan Loom Textiles	C2	Martin Condo
FAB-0112	Jute flatweave	Rug	Wheat	120 in	Jute	Artisan Loom Textiles	D1	Desert Vista
