id,key,name,type,status,description
spc_del_prot,DEL-PROT,Delivery Ward Protocols,global,current,Live protocols and standing orders for the delivery ward.
spc_ob_guide,OB-GUIDE,Obstetrics Guidelines,global,current,Hospital obstetrics guideline library.
spc_wbp,WBP,Water Birth Working Group,private,current,Working group workspace for the R2 approval submission.
spc_biomed,BIOMED,Biomedical Engineering,global,current,Commissioning documents and equipment references.
spc_100,MED-STAFF,Medical Staff Handbook,global,current,Onboarding pages for new clinical staff.
spc_101,HR-POLICY,HR Policy,global,current,Hospital HR standing policies.
spc_102,IT-KNOW,IT Knowledge Base,global,current,Common IT self-service articles.
spc_103,QUALITY,Quality and Audit,global,current,Audit findings and quality improvement notes.
spc_104,COMMS,Communications,global,current,Newsletters and hospital-wide announcements.
spc_105,EDU,Continuing Education,global,current,Continuing education resource library.
spc_106,MW-TEAM,Midwifery Team,global,current,Midwifery team internal notes.
spc_107,FACIL,Facilities,global,current,"Facility management, cleaning schedules, ward equipment lists."
